nfilter,t1,t2,t3,t4,t5
28,3.116,1.613,0.341,0.23,2.284
599,37.312,35.478,6.482,2.926,31.892
2788,158.726,161.161,30.97,11.362,42.652
2086,123.999,103.67,17.714,7.274,14.337
1176,72.079,59.074,9.98,3.967,4.269
323,18.947,15.851,2.625,1.132,0.551
26,1.373,1.533,0.331,0.14,0.06
31,0.981,1.733,0.341,0.18,1.573
682,32.162,33.324,5.46,3.416,32.522
2514,142.124,115.392,22.985,8.767,23.475
1643,99.572,77.65,49.776,5.5,6.693
635,35.329,30.92,5.13,2.475,1.914
156,8.095,7.896,1.272,0.591,0.211
22,0.982,1.203,0.28,0.171,1.392
444,22.454,24.798,3.356,2.014,21.212
2067,124.49,110.633,18.926,7.905,22.994
1336,86.457,68.602,13.947,4.568,6.443
501,30.549,25.138,3.968,1.793,1.082
68,3.767,3.567,0.631,0.391,0.12
17,0.481,0.741,0.281,0.13,1.413
361,14.708,15.821,2.806,1.052,16.972
1981,115.112,84.724,20.61,4.279,28.915
903,68.472,38.735,8.586,2.304,5.521
250,18.946,11.171,1.943,0.672,0.481
3,0.36,0.19,0.221,0.061,0.03
26,0.711,1.322,0.321,0.15,1.363
409,19.117,21.682,3.136,1.272,21.371
1991,116.795,104.872,20.71,5.591,30.389
1514,96.155,77.399,15.871,4.789,10.711
869,51.69,45.518,8.096,3.216,3.357
333,18.706,16.742,2.545,1.513,0.691
30,2.014,1.533,0.371,0.21,0.061
20,0.671,0.922,0.241,0.15,1.172
428,20.871,21.081,3.316,1.723,19.637
2721,148.165,131.353,27.933,9.869,25.509
1956,109.281,94.522,20.37,7.043,10.049
805,46.219,39.195,7.355,2.746,2.855
251,13.226,11.953,1.964,0.912,0.501
27,1.042,1.483,0.331,0.18,0.061
21,0.581,1.222,0.29,0.141,1.183
479,20.259,22.594,3.827,1.443,19.388
3186,170.408,144.89,32.953,8.777,39.236
2653,147.294,116.815,27.122,7.174,26.882
1920,111.245,85.305,19.858,5.411,8.116
766,44.686,36.16,17.113,2.535,2.014
190,9.388,8.817,1.523,0.771,0.351
17,0.982,0.942,0.27,0.16,0.17
12,0.501,0.611,0.19,0.13,0.05
20,0.631,0.902,0.281,0.161,1.032
338,20.69,15.37,2.605,1.523,16.862
1570,122.356,77.81,16.302,5.841,15.63
653,72.469,36.962,5.501,2.234,1.824
81,7.554,5.109,0.761,0.391,0.12
18,0.922,0.962,0.27,0.15,0.992
408,18.346,20.921,3.146,1.924,21.351
2415,135.732,113.729,24.757,8.837,25.198
1708,97.729,80.927,17.884,6.072,8.476
886,48.783,43.113,8.256,3.226,2.195
193,9.147,9.578,1.573,0.771,0.471
65,2.475,3.056,0.611,0.471,0.1
18,0.501,0.751,0.251,0.14,0.942
402,17.404,18.686,3.106,1.293,14.307
2334,129.771,108.71,24.027,6.833,26.481
1565,92.398,75.345,16.251,4.578,7.655
698,39.677,34.316,6.102,2.184,2.425
203,10.45,9.939,1.663,1.002,0.241
8,0.3,0.421,0.17,0.11,0.461
169,7.004,8.066,1.362,0.981,9.409
2961,158.416,133.738,30.279,9.638,32.662
2034,117.166,91.406,21.271,6.232,7.976
702,36.31,31.782,6.152,2.405,2.495
295,13.346,14.398,2.335,0.962,0.821
81,3.557,3.667,0.752,0.351,0.4
26,1.202,1.183,0.311,0.16,0.06
31,0.741,2.014,0.34,0.161,1.514
690,31.34,33.154,6.011,1.924,25.259
2284,124.78,104.802,23.515,5.471,22.233
1492,88.401,67.25,15.44,3.807,7.284
564,33.735,26.691,4.709,1.433,1.694
118,6.142,6.022,1.022,0.801,0.581
21,1.232,1.122,0.291,0.16,0.061
16,0.451,0.732,0.19,0.131,0.993
355,14.427,20.139,2.825,1.143,21.342
2619,139.589,115.603,25.981,5.821,24.177
1694,99.692,79.854,16.863,3.657,7.535
674,37.883,28.815,5.671,1.543,0.691
16,0.421,0.592,0.19,0.05,1.002
362,15.43,15.109,2.905,0.601,16.471
2752,147.785,113.82,27.182,6.383,28.045
2005,118.809,87.217,20.75,5.47,12.615
1067,64.745,47.462,10.841,3.657,5.01
451,26.541,23.325,3.547,2.024,1.283
67,3.918,3.266,0.661,0.361,0.101
28,3.046,1.252,0.33,0.231,1.513
559,30.268,24.848,4.589,2.174,27.803
2387,132.264,102.548,24.627,9.177,26.702
1815,108.168,80.746,18.986,6.783,8.015
763,43.794,34.276,6.803,2.585,2.114
220,10.3,10.4,1.713,0.932,0.471
38,1.653,1.773,0.421,0.241,0.071
18,0.501,1.062,0.271,0.13,1.012
305,14.127,16.231,2.445,0.802,17.985
1913,113.179,98.059,19.989,5.371,24.097
1356,86.026,69.925,14.087,4.218,7.504
610,36.411,30.669,5.13,2.024,1.764
118,6.232,6.011,1.012,0.511,0.17
26,0.741,1.443,0.301,0.13,1.443
615,26.701,27.252,5.219,1.823,24.037
2527,136.072,105.513,26.05,7.234,20.169
1485,87.649,64.254,15.52,3.707,5.14
450,24.918,19.547,3.497,1.303,0.811
45,2.114,2.185,0.471,0.24,0.08
24,0.911,1.042,0.25,0.06,1.372
567,24.097,24.297,4.729,1.333,19.748
2823,149.929,114.08,28.695,4.709,31.371
1916,108.85,76.157,20.008,3.527,8.877
823,45.658,34.407,7.505,1.814,2.234
221,10.601,9.268,1.773,0.531,0.681
57,2.425,1.944,0.561,0.17,0.22
25,0.761,1.032,0.29,0.061,0.06
27,0.571,1.203,0.33,0.17,1.513
592,25.8,27.193,4.81,2.224,25.83
2689,158.235,123.388,27.483,10.099,29.247
1991,112.497,86.908,20.55,7.234,8.085
793,45.879,36.661,7.424,3.146,2.254
199,10.26,9.599,1.683,0.782,0.23
26,0.651,0.852,0.31,0.121,1.262
526,21.712,21.381,4.539,1.112,19.738
2409,131.343,93.27,24.858,4.098,25.029
1575,92.188,63.673,16.582,3.377,7.274
721,39.286,29.537,6.774,1.483,1.853
185,8.226,7.615,1.483,0.481,0.501
74,2.695,3.507,0.702,0.31,0.131
22,0.541,1.042,0.25,0.13,1.182
387,17.524,19.147,3.065,1.143,18.816
1510,96.366,70.536,15.63,3.667,16.552
932,56.909,45.127,8.205,2.255,4.078
344,19.197,16.933,2.385,1.102,0.461
11,0.531,0.681,0.23,0.13,0.04
19,0.531,0.942,0.261,0.141,0.942
409,16.091,19.337,2.885,1.663,16.602
2228,113.839,100.423,20.469,6.553,22.423
1400,78.402,62.961,13.096,3.476,6.263
539,29.236,24.407,4.108,1.463,1.423
124,5.511,5.892,0.921,0.43,0.22
18,0.501,0.872,0.25,0.141,0.06
17,0.461,1.002,0.271,0.12,0.872
320,12.514,13.677,2.264,0.742,16.372
2012,104.642,78.822,18.646,3.647,22.724
1194,69.354,49.535,11.201,2.625,6.622
450,26.351,19.667,3.246,1.222,1.092
114,5.33,4.98,0.882,0.702,0.321
13,0.681,1.012,0.211,0.12,0.04
22,0.521,0.942,0.26,0.05,1.062
466,18.726,23.375,3.376,1.122,21.081
2089,111.094,99.051,19.377,4.138,22.202
1363,77.719,67.039,12.695,3.927,9.148
777,42.873,38.805,6.382,2.465,2.475
201,10.861,10.32,1.463,0.711,0.631
66,2.625,3.287,0.562,0.27,0.091
31,0.731,0.862,0.321,0.05,1.473
647,26.501,24.858,5.22,1.664,24.618
2235,111.896,86.668,20.72,5.049,19.517
1489,79.634,70.356,13.777,7.434,8.787
707,39.897,32.002,5.841,2.365,1.543
121,6.052,5.37,0.931,0.772,0.31
25,1.103,1.282,0.261,0.15,0.05
26,0.571,1.443,0.27,0.18,1.082
581,23.035,29.336,4.528,2.695,21.02
2482,125.111,117.487,22.714,9.378,24.638
1464,85.235,67.31,13.746,5.36,6.743
508,28.725,24.076,3.688,1.954,1.103
55,3.115,2.515,0.501,0.361,0.16
9,0.481,0.461,0.17,0.351,0.04
19,0.521,0.761,0.261,0.06,1.002
397,15.029,15.991,2.846,0.932,16.972
2344,119.301,91.567,21.471,4.539,23.986
1699,91.106,67.52,15.92,4.067,8.997
1019,52.531,41.54,9.228,2.765,2.505
209,9.849,9.278,1.513,0.782,0.651
74,3.266,3.296,0.611,0.341,0.311
22,0.831,0.991,0.25,0.13,0.071
22,0.561,1.252,0.221,0.05,1.132
427,18.286,20.309,3.126,1.032,19.468
1839,101.606,86.647,17.143,4.168,20.459
1368,77.891,61.869,12.825,3.697,5.711
629,32.141,27.153,4.979,1.964,1.733
197,8.777,8.957,1.442,0.661,0.21
19,0.531,0.842,0.27,0.06,0.891
374,14.649,16.101,2.645,0.782,15.129
2280,116.434,95.674,21.051,5.751,24.277
1437,80.746,58.433,13.396,3.517,7.795
784,42.832,31.551,6.563,1.884,3.226
346,16.762,14.077,2.434,1.012,0.712
44,1.823,2.225,0.421,0.24,0.06
26,0.621,1.443,0.26,0.14,1.113
399,17.754,20.269,2.816,1.323,21.2
1201,75.806,60.617,11.241,3.487,13.687
