nfilter,t1,t2,t3,t4,t5,label_mad
28,1.513,1.694,0.381,0.211,2.084,23250
599,29.487,27.353,5.701,2.795,27.643,37032
2788,146.173,118.599,31.851,10.009,33.314,37101
2086,114.792,89.463,19.327,7.946,12.334,37716.5
1176,66.088,51.72,10.851,4.028,3.656,39672
323,16.572,14.298,2.815,1.363,0.551,34401
26,1.293,1.152,0.321,0.12,0.05,10223.5
31,0.922,1.472,0.36,0.181,1.573,11770
682,28.425,30.168,5.361,2.475,29.047,17284
2514,126.314,106.887,23.085,7.855,20.55,26102.5
1643,89.834,72.339,15.48,4.839,5.961,34011
635,31.261,28.906,10.981,2.073,1.673,39698
156,7.374,7.305,1.232,0.571,0.171,36079.5
22,1.363,1.252,0.23,0.27,1.352,3192
444,22.043,24.708,3.156,2.364,18.385,19249
2067,116.325,107.629,19.187,8.687,20.78,28365
1336,78.061,67.511,12.284,5.52,5.731,34051
501,28.424,25.38,3.587,2.255,0.962,38106
68,3.597,3.406,0.561,0.4,0.121,16851
17,0.49,0.782,0.25,0.12,1.102,4969
361,13.857,14.809,2.504,1.091,15.109,8051
1981,102.729,79.985,18.435,4.269,25.128,5797
903,60.628,36.661,7.815,2.074,4.9,8749
250,17.002,10.6,1.864,1.172,0.421,24432.5
3,0.321,0.171,0.15,0.131,0.031,3513
26,0.661,1.162,0.271,0.14,1.303,5048
409,17.123,18.886,2.885,1.432,19.528,7249
1991,106.787,93.3,18.546,5.661,26.361,11908
1514,88.171,73.893,14.117,5.28,9.118,32662.5
869,46.65,41.3,7.384,3.677,2.906,42016
333,16.452,16.502,2.344,1.363,0.691,37242
30,1.643,1.753,0.311,0.18,0.061,69277.5
20,0.712,1.282,0.23,0.15,1.052,62215
428,17.755,20.92,2.986,1.754,17.433,67265
2721,131.595,118.57,24.898,10.851,22.303,46960
1956,98.892,87.539,18.186,6.703,8.947,55009
805,40.809,37.382,6.713,2.786,2.495,40816
251,11.693,11.492,1.913,1.292,0.491,28607
27,1.343,1.272,0.34,0.17,0.071,50603
21,0.501,0.912,0.231,0.13,1.072,18452
479,17.885,21.502,3.457,1.573,17.604,28027
3186,153.767,135.181,30.068,9.158,34.276,23613.5
2653,130.432,116.235,24.568,7.915,19.508,24039
1920,99.653,82.85,17.754,5.49,7.013,28526
766,40.028,34.847,6.202,2.826,1.783,45293
190,8.786,8.887,1.774,0.922,0.36,38160.5
17,0.951,0.792,0.25,0.171,0.14,24357
12,0.471,0.561,0.17,0.13,0.04,3421
20,0.702,0.921,0.231,0.16,1.082,2925.5
338,15.46,14.879,2.345,1.683,15.04,5827.5
1570,93.681,69.825,14.658,5.461,14.307,14544
653,48.484,29.648,5.03,2.616,1.613,18684
81,5.27,3.898,0.661,0.381,0.1,8496
18,0.721,0.761,0.231,0.17,0.952,15205
408,16.783,20.6,2.866,2.034,19.297,18384
2415,123.92,110.663,22.254,8.767,22.233,18833
1708,89.373,79.373,15.981,6.412,7.484,27545
886,45.518,42.362,7.455,3.577,1.833,54519.5
193,8.366,9.448,1.443,0.831,0.42,80660
65,2.455,3.156,0.541,0.562,0.09,86520
18,0.461,0.881,0.241,0.14,0.952,14425
402,15.259,19.988,2.875,1.373,12.925,21122
2334,117.457,110.104,21.922,7.525,22.965,17344
1565,84.975,74.945,14.568,5.14,6.553,19849
698,35.699,33.104,5.531,2.355,2.165,24799.5
203,9.388,10.43,1.463,0.802,0.22,28386
8,0.221,0.421,0.14,0.121,0.461,26701.5
169,6.051,8.276,1.263,0.742,8.757,91262
2961,143.537,135.682,27.263,9.819,28.835,83359
2034,104.602,92.449,18.917,6.693,6.883,48015.5
702,33.845,33.325,5.511,2.325,2.124,48389.5
295,11.672,13.677,2.084,1.031,0.791,60086
81,3.056,3.957,0.682,0.381,0.271,51275
26,1.062,1.223,0.3,0.141,0.04,20729
31,0.622,1.553,0.331,0.16,1.472,9463
690,27.123,32.643,5.35,2.495,22.503,13593.5
2284,114.512,103.3,21.141,6.252,19.498,14167.5
1492,80.696,68.803,14.016,4.298,6.232,15615.5
564,30.209,26.11,4.128,1.774,1.543,17244
118,5.681,5.952,0.922,0.571,0.431,23238.5
21,1.182,0.872,0.26,0.121,0.04,4208
16,0.531,0.721,0.17,0.13,0.882,1003
355,13.636,16.382,2.525,1.162,19.208,9295
2619,128.769,115.904,24.027,6.222,21.131,15107
1694,90.014,77.721,15.901,3.998,6.633,17697.5
674,35.549,29.086,5.18,1.603,0.662,19994.5
16,0.321,0.681,0.171,0.11,0.942,4509.5
362,14.047,15.72,2.525,0.782,15.239,11809.5
2752,135.172,117.467,25.369,6.803,24.758,17175.5
2005,105.144,88.702,18.716,6.223,11.171,23415
1067,57.111,49.546,9.639,3.757,4.329,34000
451,24.077,21.13,3.217,1.763,1.132,37064
67,3.838,3.556,0.59,0.34,0.091,20046
28,0.982,1.353,0.28,0.22,1.302,11279.5
559,23.977,27.533,4.088,2.374,24.989,19395
2387,117.547,109.441,21.882,9.017,23.786,24126
1815,99.652,85.435,16.843,6.372,7.084,40189
763,40.829,36.721,6.072,2.936,1.844,44772
220,9.588,10.912,1.543,0.891,0.42,31767.5
38,1.403,2.184,0.401,0.291,0.06,40787
18,0.531,1.122,0.23,0.161,0.871,4523
305,13.547,17.424,2.114,0.771,16.462,24738
1913,106.556,103.32,17.844,5.08,20.961,42820
1356,81.678,74.023,12.765,5.34,6.572,43442
610,34.046,31.541,4.579,2.425,1.533,53163.5
118,5.681,6.343,0.921,0.53,0.13,32958
26,0.641,1.443,0.26,0.141,1.272,12257
615,25.129,37.483,4.779,1.633,22.073,24731
2527,123.9,112.778,23.185,6.773,17.414,25614
1485,79.093,64.335,13.937,4.138,4.689,23397
450,22.584,19.588,3.156,1.042,0.772,14434
45,1.944,2.184,0.421,0.22,0.06,10821
24,0.532,1.052,0.241,0.13,1.152,8071.5
567,22.174,24.989,4.278,1.383,17.904,12753
2823,137.506,115.323,25.97,5.3,28.445,10127
1916,101.647,76.829,17.815,4.058,7.925,9854
823,41.511,34.066,6.894,1.803,1.914,13253
221,9.579,9.549,1.633,0.572,0.622,20127
57,2.164,2.585,0.511,0.161,0.18,15360
25,0.601,1.073,0.26,0.07,0.05,14111
27,0.632,1.232,0.291,0.18,1.233,15416
592,23.526,28.956,4.518,2.565,23.946,45145.5
2689,133.869,122.347,24.598,10.551,26.221,43154
1991,101.967,90.315,18.486,7.214,7.084,42612
793,41.991,36.751,6.583,3.206,1.914,44181
199,9.518,9.568,1.493,0.801,0.21,35671
26,0.541,0.952,0.281,0.121,1.222,1794
526,19.829,21.802,3.928,1.202,17.604,9935.5
2409,120.803,93.652,22.343,4.078,22.023,9039
1575,85.415,62.42,14.729,3.056,6.452,11012
721,36.751,29.057,5.841,1.433,1.543,13608
185,7.474,7.574,1.383,0.501,0.451,22938
74,2.445,3.096,0.651,0.251,0.09,23304.5
22,0.552,1.203,0.24,0.15,1.132,20198
387,16.381,22.203,2.696,1.353,17.234,7343
1510,92.399,82.66,14.167,3.848,16.562,11166.5
932,59.886,50.137,8.286,2.805,3.907,10720.5
344,19.478,18.526,2.324,1.112,0.47,7649
11,0.511,0.631,0.24,0.14,0.04,7169
19,0.541,0.941,0.261,0.12,0.982,4113
409,16.121,18.986,2.816,1.362,16.462,10871
2228,116.416,98.31,20.64,5.751,22.364,14667
1400,80.054,61.228,13.096,3.487,6.112,13871
539,28.926,23.636,3.918,1.513,1.372,16417
124,5.561,5.881,0.942,0.451,0.23,19255.5
18,0.601,0.942,0.251,0.15,0.04,14569
17,0.47,0.762,0.21,0.12,0.872,2024
320,12.745,13.976,2.184,0.791,16.082,4211.5
2012,106.576,83.272,18.636,4.158,22.303,4661
1194,70.697,48.785,11.141,2.855,6.282,7815
450,26.802,19.387,3.136,1.403,1.142,17428.5
114,5.16,4.829,0.872,0.43,0.32,19070.5
13,0.862,0.682,0.19,0.11,0.04,10665
22,0.601,1.002,0.251,0.12,0.982,3555.5
466,19.548,24.127,3.247,1.062,21.111,17142
2089,114.05,102.809,19.408,4.448,21.382,43167
1363,79.814,66.95,12.855,3.977,8.857,39695
777,43.604,38.053,6.422,2.525,2.324,31131
201,10.781,10.349,1.432,0.991,0.651,45032
66,2.835,3.317,0.591,0.321,0.1,21935
31,0.731,1.252,0.351,0.481,1.493,2901
647,27.974,26.912,5.06,1.613,24.788,7550
2235,115.343,89.523,20.6,5.22,19.518,10974
1489,80.345,63.373,13.907,4.018,7.103,22319
707,36.611,31.711,5.651,2.315,1.643,26682
121,5.942,6.002,0.912,0.561,0.3,35337
25,1.372,1.513,0.271,0.171,0.05,26036
26,0.521,1.392,0.28,0.16,1.172,14651
581,22.894,28.004,4.339,2.405,21.151,32654
2482,127.837,112.658,22.824,9.348,24.117,35294
1464,85.115,65.637,13.577,5.661,6.462,45463.5
508,28.054,23.926,3.517,1.894,1.132,61863.5
55,2.776,2.495,0.521,0.29,0.16,93751
9,0.481,0.491,0.16,0.05,0.03,4010
19,0.501,0.821,0.251,0.06,1.052,1770
397,15.41,16.042,2.755,1.323,16.632,6093
2344,124.511,92.329,21.502,4.699,23.515,9769.5
1699,92.449,69.284,15.901,4.489,8.697,15960
1019,52.071,43.244,9.027,3.146,2.515,35333
209,9.699,9.247,1.492,0.731,0.731,42998
74,3.136,3.547,0.621,0.331,0.351,49435.5
22,0.761,0.962,0.251,0.14,0.05,34579
22,0.561,1.262,0.221,0.14,1.102,3421
427,17.965,22.444,3.116,1.112,19.948,8026
1839,105.053,91.507,17.093,4.89,20.71,19375
1368,78.542,64.104,12.825,3.777,5.651,32117
629,33.525,28.716,4.779,1.984,1.854,23174
197,8.747,9.227,1.422,0.752,0.23,34208
19,0.481,1.222,0.24,0.15,1.042,13764
374,14.658,16.122,2.565,0.902,15.34,14874.5
2280,117.067,93.22,20.981,6.382,23.947,19658.5
1437,80.175,59.545,13.486,3.958,7.795,20724
784,42.151,32.854,6.412,2.285,3.146,23346.5
346,17.153,15.12,2.434,1.011,0.692,27660.5
44,1.813,1.974,0.411,0.241,0.07,30242.5
26,0.571,1.243,0.29,0.13,1.172,4261.5
399,17.203,21.482,2.845,1.322,21.291,6832
1201,74.554,62.871,11.282,2.916,13.145,7526
542,38.555,27.964,3.928,2.054,1.393,9920.5
73,4.298,3.777,0.641,0.36,0.181,15771
14,0.501,0.932,0.18,0.051,0.04,1555
20,0.541,0.891,0.24,0.221,0.932,39838
452,17.815,20.74,3.137,1.634,18.997,40818
2591,128.147,108.359,23.796,8.266,27.463,50359
1671,94.193,69.855,15.62,5.16,7.695,40550
690,37.493,29.777,5.331,2.214,1.022,26913
34,1.674,1.603,0.33,0.16,0.11,26769
20,0.772,0.952,0.21,0.12,0.049,9401.5
25,0.53,1.112,0.27,0.161,1.182,16228
557,22.243,26.171,4.038,2.504,26.391,57735
2277,117.026,99.703,21.021,8.487,16.312,84953
1260,67.019,56.749,11.642,4.349,3.717,63842
298,14.839,19.568,2.154,1.393,0.721,33535.5
81,3.627,4.108,0.711,0.31,0.231,18313
18,0.611,0.902,0.23,0.16,0.04,31947
32,0.551,1.773,0.33,0.221,1.603,166246
737,29.787,33.725,6.062,2.735,32.533,157482
2425,120.954,103.099,22.263,8.606,22.925,90081
1556,89.152,68.964,14.608,5.691,7.976,57091
592,37.272,26.732,4.369,2.044,0.822,36680
53,2.004,2.656,0.47,0.3,0.081,18113
21,0.581,1.062,0.241,0.14,1.052,38483
422,17.163,18.957,2.926,2.084,18.085,30033
2251,118.479,95.795,20.811,8.837,21.842,36621
1710,98.14,74.103,15.951,6.263,12.815,39350.5
893,56.54,40.098,7.494,3.978,3.988,132812
231,14.889,10.731,1.643,0.892,0.782,61114
28,1.964,1.643,0.301,0.341,0.05,5998.5
32,0.752,1.393,0.28,0.25,1.513,21850
750,31.12,32.903,5.962,2.595,23.115,30602.5
2522,129.1,103.981,23.926,8.146,21.933,43080
1819,99.823,76.157,17.143,5.641,8.266,48518
781,42.191,32.764,6.443,2.354,1.413,45964
107,4.749,4.869,0.852,0.441,0.12,44748
25,0.842,1.764,0.27,0.351,1.263,46015
582,24.647,26.812,4.339,3.156,22.113,46375
2844,139.59,123.508,26.472,11.492,27.944,56858
2000,111.055,87.84,18.426,7.244,9.949,56770
936,52.061,41.31,8.036,3.266,1.874,52248.5
194,8.927,9.098,1.433,0.781,0.211,33061.5
23,0.57,1.082,0.321,0.15,1.112,26430
573,22.112,25.97,4.158,1.974,25.529,27503
3144,146.794,133.227,29.377,10.901,33.145,36943
2668,129.65,113.851,24.457,9.368,16.432,48717.5
1947,99.232,83.13,18.045,7.004,7.003,45412
720,36.931,31.892,5.642,2.534,1.442,53105
108,5.25,4.99,0.831,0.431,0.201,36274
10,0.671,0.57,0.191,0.13,0.04,21872
22,0.46,0.962,0.251,0.15,1.153,2935.5
407,16.652,17.834,2.895,1.462,18.306,6381
1826,100.695,75.526,17.233,5.611,16.702,9072
1005,58.674,41.46,8.806,3.576,3.416,13905
287,15.299,13.095,2.014,0.992,0.501,20706
39,1.453,1.964,0.391,0.25,0.07,39794
26,0.511,1.122,0.301,0.16,1.152,87955
526,20.921,23.656,3.738,2.495,18.746,94935.5
2280,117.687,96.928,21.121,8.416,20.148,44629.5
1499,84.363,65.637,14.168,5.49,6.052,38893
540,29.768,24.588,3.938,1.954,0.731,39497
36,1.483,1.684,0.341,0.251,0.06,20756.5
