nfilter,t1,t2,t3,t4,t5,label_mad
10,0.441,0.982,0.29,0.19,0.891,113346
244,11.061,26.201,2.044,1.142,14.689,265012
2658,152.884,241.534,51.759,9.969,37.392,261554
2216,134.429,114.68,27.683,8.006,19.127,289398
1462,94.802,73.05,15.47,5.781,7.243,301310
582,38.083,28.886,4.819,2.144,2.094,281784
187,10.069,9.789,1.583,0.771,0.271,282773
32,0.982,1.503,0.33,0.19,1.773,166545
793,35.579,38.854,6.572,3.106,26.16,265901
3079,149.808,147.343,31.791,11.081,34.015,289345
2536,135.671,118.358,23.465,9.067,18.264,270450
1409,83.851,66.077,13.075,5.13,4.839,249466
403,23.726,18.205,2.815,1.523,1.002,220741
85,4.078,3.877,0.712,0.411,0.101,165910
31,0.701,1.463,0.301,0.22,1.734,211516
638,27.082,30.488,4.9,2.265,24.607,238879
2112,114.25,96.455,19.487,7.625,14.869,234296
1083,63.953,50.437,9.819,4.088,2.575,237426
138,8.196,6.853,1.052,0.922,0.14,234002
30,0.861,1.363,0.281,0.171,1.653,219338
601,24.096,27.202,4.388,2.175,24.206,290771
1602,93.85,71.157,14.908,5.871,15.269,193312
667,46.841,29.507,5.15,2.575,2.144,193103
129,7.625,6.022,1.013,0.501,0.161,292076
32,0.861,1.853,0.321,0.17,1.623,244650
699,29.075,33.314,5.441,2.464,23.856,231442
2231,119.28,101.685,20.77,7.895,23.476,187019
1600,94.862,73.11,14.668,6.112,7.334,205328
701,49.034,32.993,11.693,2.504,2.405,224194
261,12.965,12.414,2.124,1.011,0.331,200484
21,0.742,1.062,0.25,0.141,0.051,146301
19,0.48,0.852,0.231,0.17,1.002,192924
429,17.163,19.998,2.975,1.583,18.846,234251
2764,138.155,125.842,25.379,9.659,26.141,258538
2287,121.654,104.912,21.211,8.106,12.574,258744
1310,70.967,61.518,12.083,4.919,4.638,266792
516,26.24,24.217,3.607,1.894,0.761,265566
42,1.804,2.304,0.421,0.241,0.201,257134
18,0.681,0.882,0.23,0.131,0.16,212856
20,0.952,1.162,0.21,0.17,0.05,266586
21,0.551,1.283,0.22,0.14,1.052,202394
452,17.113,20.92,3.066,1.693,18.706,299728
2788,137.674,123.577,25.449,9.869,27.563,272402
2416,130.16,108.608,22.674,8.476,13.516,299026
1239,68.101,56.489,11.402,4.579,3.266,307539
343,17.744,15.851,2.425,1.313,0.591,283521
42,1.814,2.104,0.361,0.23,0.08,323953
32,0.792,1.463,0.31,0.18,1.533,215990
556,24.326,25.75,3.968,2.053,21.772,293194
1373,85.254,63.472,12.674,5.029,10.891,240958
487,35.268,22.714,3.397,1.823,1.503,260239
48,3.527,2.094,0.411,0.28,0.101,194089
23,0.571,1.473,0.261,0.141,1.122,100113
579,23.014,26.841,4.439,2.365,19.998,187424
2975,144.708,134.418,27.332,10.47,26.14,228089
2060,112.817,93.84,19.057,7.965,10.09,236111
1090,59.504,49.996,10.109,4.018,2.795,231314
338,16.312,15.66,2.384,1.614,0.802,250820
74,2.806,3.978,0.601,0.341,0.231,288750
14,0.45,0.651,0.171,0.13,0.05,227713
31,0.761,1.623,0.32,0.181,1.503,146578
626,25.599,28.304,4.809,2.204,22.804,190588
2612,132.554,115.822,23.946,9.148,23.405,208940
1767,96.405,80.124,16.612,6.032,9.588,214942
787,45.688,36.861,6.552,2.735,1.754,226879
137,6.913,6.783,1.052,0.541,0.271,271389
6,0.401,0.361,0.18,0.291,0.03,172572
31,1.132,1.413,0.391,0.15,1.453,298896
590,24.136,27.563,4.368,2.135,23.334,239714
2823,138.116,126.133,26.01,10.35,28.655,257813
2462,125.842,112.696,22.644,9.258,16.541,274474
1647,88.189,75.064,15.35,6.041,6.702,258201
755,38.774,35.458,6.101,2.845,1.794,233093
186,8.447,8.787,1.392,0.722,0.531,236944
76,2.835,3.397,0.591,0.351,0.09,218324
19,0.48,0.892,0.261,0.171,1.022,144543
401,15.88,18.986,2.765,1.473,19.107,241622
2364,123.678,105.703,21.722,8.567,23.866,242743
1457,83.76,65.716,13.557,5.52,6.072,233613
558,32.192,25.829,4.117,1.963,1.533,252188
122,6.161,5.892,0.932,0.48,0.25,259578
19,0.641,0.882,0.28,0.141,0.04,182581
31,0.791,1.633,0.311,0.14,1.353,157804
735,30.128,34.657,5.901,2.534,24.267,242013
2843,139.738,129.488,26.3,9.288,26.772,288811
2068,113.868,92.558,19.177,7.624,10.46,286997
798,48.784,36.61,6.622,2.695,2.013,260730
98,5.451,4.478,0.811,0.471,0.13,329228
32,0.892,1.373,0.291,0.14,1.603,204434
785,31.731,36.56,6.403,2.745,27.784,272948
2707,137.163,147.483,24.878,9.939,25.168,294019
1892,106.505,84.974,17.473,7.274,8.967,259776
939,53.674,42.602,8.426,3.116,2.394,292140
177,9.358,7.745,1.323,0.932,0.47,289441
35,1.393,1.453,0.361,0.17,0.06,226099
10,0.26,0.501,0.17,0.201,0.551,221536
205,7.444,10.1,1.433,0.791,10.721,244510
2453,123.457,113.048,22.553,9.098,35.127,232414
2289,124.64,104.48,21.18,8.547,21.962,250201
1787,102.156,81.898,16.562,6.422,8.266,251980
894,50.287,40.869,8.085,3.637,2.364,253284
169,9.158,8.436,1.272,0.752,0.481,283004
16,0.812,0.762,0.211,0.26,0.04,203540
10,0.27,0.451,0.16,0.12,0.612,220792
229,8.246,11.151,1.613,0.902,11.151,209783
2232,116.994,100.182,20.81,8.176,29.166,227344
1686,97.257,76.487,15.64,6.062,10.971,220872
910,54.265,42.401,7.945,3.377,3.216,195998
282,14.198,13.065,2.194,1.112,0.481,175658
25,0.872,1.292,0.27,0.13,0.05,181302
30,0.892,1.563,0.3,0.171,1.432,225368
691,28.425,31.18,5.621,2.424,21.913,297155
2517,127.115,112.987,23.275,8.737,24.417,295755
1755,100.272,78.872,16.161,6.362,6.373,295605
621,34.907,28.415,4.859,2.485,1.873,275175
173,7.865,7.945,1.253,0.771,0.331,273431
8,0.371,0.701,0.34,0.11,0.04,98512.5
27,0.651,1.262,0.3,0.181,1.333,307053
546,22.694,25.188,4.308,2.254,20.189,300158
2344,121.163,104.44,21.962,8.476,22.643,301783
1647,89.211,84.272,15.36,5.651,8.496,299241
1088,56.589,49.395,9.919,3.787,3.527,294802
402,21.071,19.267,2.786,1.452,0.751,267367
67,2.555,2.975,0.611,0.25,0.1,316567
24,0.581,1.443,0.24,0.141,1.102,142784
554,22.122,26.892,4.108,2.064,20.89,259296
2705,133.476,122.175,24.867,9.728,27.133,246456
1956,106.876,89.341,18.165,7.214,10.68,253496
1029,60.136,47.271,9.298,3.647,3.257,249322
323,17.313,15.289,2.605,1.173,0.711,282346
34,1.884,1.573,0.341,0.2,0.061,270696
32,0.811,1.423,0.31,0.181,1.453,104470
716,28.915,32.061,5.971,2.415,25.939,322204
2424,121.704,106.044,22.413,7.955,24.317,294852
1900,108.399,82.649,17.554,6.603,9.157,263379
940,54.193,42.311,8.336,3.055,2.645,283406
301,15.019,13.476,2.124,1.383,0.49,312721
23,1.052,0.972,0.32,0.121,0.23,269651
17,0.852,0.782,0.21,0.13,0.04,198524
21,0.481,0.982,0.25,0.171,0.982,181798
429,17.002,20.269,3.006,1.462,19.558,228836
2012,111.665,92.017,18.616,6.753,21.471,233383
1174,75.976,54.104,11.061,4.658,6.372,260689
384,25.94,18.406,2.635,1.422,0.931,285244
21,1.944,1.373,0.29,0.14,0.18,332842
8,0.591,0.491,0.15,0.161,0.111,171606
13,0.451,0.692,0.181,0.12,0.04,297547
22,0.511,0.962,0.241,0.13,1.051,313394
472,18.707,22.443,3.356,1.643,20.51,225459
2591,133.376,115.571,23.925,9.258,26.11,230103
1805,100.313,81.798,16.972,7.124,11.292,207366
853,51.509,39.035,7.304,2.876,1.813,192237
67,4.208,2.966,0.622,0.24,0.191,203696
13,0.421,0.902,0.2,0.131,0.16,137836
19,0.601,0.912,0.25,0.14,0.071,232879
10,0.28,0.472,0.161,0.12,0.571,14224
188,6.844,8.306,1.343,0.662,9.728,161562
1315,79.773,56.799,18.936,4.118,15.38,293609
907,54.725,40.938,8.046,3.026,5.27,229250
579,31.28,26.28,4.338,2.254,1.594,235160
172,7.734,8.507,1.242,0.671,0.57,263480
54,2.124,2.705,0.491,0.241,0.08,217218
20,0.481,0.962,0.22,0.141,0.901,243318
327,14.198,15.34,2.314,1.092,14.778,247218
1996,107.115,90.254,18.475,7.575,23.345,215817
1460,87.508,65.486,13.546,5.18,10.56,193771
936,55.316,42.201,8.065,3.487,2.335,189652
185,9.418,8.416,1.353,0.741,0.33,173060
5,0.391,0.281,0.18,0.11,0.03,61531
26,0.521,1.142,0.281,0.481,1.153,58333
555,22.353,25.239,4.218,2.234,22.213,180094
2126,112.867,94.201,19.647,7.805,18.426,187064
1559,89.913,70.235,14.528,5.45,5.651,217579
572,29.827,27.223,4.278,2.254,1.022,253480
76,2.965,3.697,0.631,0.351,0.12,190426
14,0.331,0.722,0.2,0.131,0.671,241644
300,11.081,14.328,2.144,1.413,15.88,241454
2414,126.413,109.029,22.453,8.877,23.445,238262
1580,90.594,72.91,14.678,5.65,8.106,244626
761,43.885,35.919,6.232,2.645,1.433,229802
86,4.669,4.238,0.721,0.491,0.171,251462
31,0.851,1.683,0.32,0.171,1.503,178742
