nfilter,t1,t2,t3,t4,t5
23,1.082,0,0,1.342,1.343
517,23.916,0,0,33.074,29.206
2774,137.415,0,0,164.377,37.051
2235,124.009,0,0,128.478,13.005
978,57.171,0,0,57.311,3.116
267,13.596,0,0,16.762,0.611
48,1.973,0,0,3.287,0.29
40,1.413,0,0,2.315,0.14
10,0.421,0,0,0.652,0.09
12,0.491,0,0,0.832,0.2
32,1.123,0,0,2.285,0.07
31,0.922,0,0,1.784,1.794
698,28.946,0,0,50.197,29.277
2449,127.025,0,0,134.5,21.581
1698,92.118,0,0,94.342,6.312
645,32.873,0,0,37.792,1.713
169,7.695,0,0,10.48,0.32
7,0.39,0,0,0.461,0.03
25,0.771,0,0,1.494,1.153
451,20.018,0,0,25.018,18.586
2016,109.832,0,0,107.828,22.694
1356,79.734,0,0,74.905,7.154
588,33.194,0,0,32.403,1.192
83,3.828,0,0,4.448,0.11
11,0.34,0,0,0.581,0.581
186,7.084,0,0,9.358,9.278
2343,118.027,0,0,118.618,30.689
1061,68.342,0,0,53.814,7.905
353,25.169,0,0,18.636,1.011
52,3.307,0,0,2.916,0.08
27,0.771,0,0,1.422,1.172
607,24.367,0,0,32.373,28.475
2511,127.826,0,0,128.317,29.908
1646,93.66,0,0,86.657,11.953
1025,57.251,0,0,55.487,3.036
266,13.787,0,0,15.4,0.431
20,0.771,0,0,1.213,0.06
22,0.842,0,0,1.453,1.092
518,19.968,0,0,28.996,22.463
3088,148.717,0,0,159.938,33.274
2583,131.204,0,0,135.311,20.509
1976,103.329,0,0,105.513,9.298
934,50.107,0,0,51.059,3.196
346,17.243,0,0,19.968,0.862
80,3.387,0,0,4.819,0.241
12,0.471,0,0,0.691,0.04
22,0.561,0,0,1.132,1.052
518,19.357,0,0,27.212,16.753
3291,159.027,0,0,164.698,34.296
2712,140.481,0,0,139.198,21.231
2015,106.425,0,0,107.477,8.727
914,46.42,0,0,51.029,1.554
119,5.46,0,0,7.544,0.491
62,2.425,0,0,3.457,0.2
22,0.991,0,0,1.272,0.13
16,0.621,0,0,0.931,0.071
22,0.662,0,0,1.232,1.052
406,19.408,0,0,23.295,16.492
1488,92.638,0,0,81.858,13.256
630,44.466,0,0,35.799,1.322
40,3.066,0,0,2.304,0.06
17,0.642,0,0,1.242,0.822
394,15.881,0,0,22.543,19.929
2472,125.832,0,0,132.686,22.373
1644,86.718,0,0,92.388,5.701
757,37.863,0,0,44.486,1.884
179,8.015,0,0,10.47,0.261
20,0.651,0,0,1.433,0.05
15,0.301,0,0,0.811,0.762
343,12.314,0,0,19.207,11.963
2387,120.483,0,0,125.372,24.628
1736,92.819,0,0,93.21,8.877
853,46.249,0,0,47.251,2.535
228,11.773,0,0,12.534,0.241
19,0.561,0,0,1.012,0.932
464,18.075,0,0,26.41,22.193
2683,129.911,0,0,145.531,22.213
1868,96.376,0,0,101.966,7.395
962,45.888,0,0,54.805,2.675
314,14.638,0,0,17.584,0.611
59,2.484,0,0,3.226,0.17
21,0.642,0,0,1.182,0.05
22,0.571,0,0,1.132,1.082
488,18.706,0,0,27.073,19.076
2744,132.866,0,0,145.701,27.614
2022,105.022,0,0,107.217,14.488
1167,68.201,0,0,62.29,3.867
346,18.465,0,0,19.228,0.631
32,1.413,0,0,2.044,0.05
18,0.481,0,0,1.242,0.822
417,15.66,0,0,22.563,21.782
2518,135.911,0,0,127.867,20.319
1508,81.698,0,0,78.942,6.803
659,33.594,0,0,35.299,0.952
20,1.272,0,0,1.313,0.05
16,0.391,0,0,0.691,0.722
338,12.795,0,0,16.642,15.43
2567,126.123,0,0,125.482,24.397
1921,101.856,0,0,100.443,11.453
1162,61.358,0,0,63.483,4.378
466,24.327,0,0,26.04,1.533
168,8.126,0,0,9.939,0.3
18,0.702,0,0,1.002,0.06
27,0.891,0,0,1.624,1.243
497,22.083,0,0,27.563,22.864
2449,124.4,0,0,129.319,24.187
1809,95.654,0,0,96.847,7.955
968,49.926,0,0,53.974,2.224
242,11.393,0,0,13.897,0.461
19,0.871,0,0,1.062,0.13
16,0.511,0,0,0.892,0.06
18,0.431,0,0,1.001,0.871
323,13.065,0,0,17.714,17.885
1862,101.035,0,0,96.947,20.74
1411,80.025,0,0,74.303,9.048
722,39.606,0,0,39.726,2.084
168,8.756,0,0,9.698,0.311
10,0.431,0,0,0.691,0.04
25,0.541,0,0,1.293,1.112
600,23.566,0,0,32.332,22.984
2427,121.995,0,0,123.598,17.013
1373,73.933,0,0,69.895,4.068
420,21.04,0,0,22.283,1.142
93,4.308,0,0,5.21,0.17
5,0.33,0,0,0.27,0.03
30,0.651,0,0,1.443,1.393
667,27.122,0,0,34.857,24.277
2908,139.699,0,0,144.969,29.848
2116,113.338,0,0,105.083,11.141
1009,54.595,0,0,50.167,2.174
102,5.481,0,0,4.859,0.25
18,0.632,0,0,0.841,0.16
0,0.11,0,0,0.02,0.03
30,0.721,0,0,1.754,1.413
613,25.078,0,0,34.115,28.354
2616,127.035,0,0,136.954,26.321
2155,115.142,0,0,112.848,11.242
1080,56.268,0,0,58.503,2.465
224,10.38,0,0,12.524,0.501
41,1.624,0,0,2.224,0.06
16,0.321,0,0,0.721,0.861
347,12.514,0,0,16.451,16.823
2452,122.336,0,0,105.855,28.244
1868,100.675,0,0,86.416,9.198
796,42.642,0,0,38.675,1.212
112,4.108,0,0,6.152,0.12
21,0.511,0,0,1.122,0.852
387,15.53,0,0,20.45,19.687
1756,96.937,0,0,87.659,17.264
931,58.212,0,0,46.34,2.595
113,6.963,0,0,6.302,0.12
20,0.551,0,0,1.082,0.902
432,16.843,0,0,23.135,17.033
2220,113.338,0,0,110.092,23.996
1391,79.353,0,0,69.925,7.394
639,34.787,0,0,32.953,1.603
132,6.132,0,0,7.244,0.14
32,0.692,0,0,1.663,1.573
560,24.137,0,0,27.924,26.691
1653,91.327,0,0,79.223,16.081
872,53.694,0,0,43.083,4.359
383,20.71,0,0,20.079,1.162
102,4.73,0,0,5.861,0.231
30,1.232,0,0,1.784,0.07
22,0.511,0,0,1.423,0.952
452,17.634,0,0,23.756,19.908
2162,114.49,0,0,106.786,19.648
1366,76.137,0,0,68.583,8.075
820,44.926,0,0,41.691,1.924
133,7.023,0,0,7.495,0.451
17,0.762,0,0,0.982,0.051
31,0.721,0,0,1.683,1.393
693,27.513,0,0,33.545,27.052
2332,115.433,0,0,107.428,21.211
1488,80.415,0,0,72.44,8.076
816,42.442,0,0,42.292,1.553
84,4.589,0,0,4.479,0.1
21,0.51,0,0,1.203,0.932
501,25.549,0,0,26.602,18.956
2517,125.182,0,0,127.496,24.888
1552,87.288,0,0,81.087,7.264
556,31.38,0,0,31.381,0.672
16,0.691,0,0,0.862,0.04
27,0.701,0,0,1.403,1.222
623,24.628,0,0,32.773,20.239
2594,126.514,0,0,128.608,24.738
2006,105.824,0,0,96.917,13.416
1270,70.306,0,0,63.181,3.556
285,14.718,0,0,15.36,0.351
23,0.902,0,0,1.312,0.17
22,0.731,0,0,1.173,0.07
22,0.551,0,0,1.453,1.022
381,16.001,0,0,20.119,19.327
1892,102.928,0,0,93.2,21.382
1504,85.945,0,0,73.953,7.304
763,41.25,0,0,37.392,1.603
190,8.356,0,0,8.646,0.291
19,0.641,0,0,0.991,0.14
16,0.541,0,0,0.882,0.05
29,0.641,0,0,1.513,1.212
577,23.244,0,0,29.326,19.888
2016,107.627,0,0,97.377,19.147
1347,76.527,0,0,65.035,5.991
681,35.178,0,0,34.006,2.134
202,9.789,0,0,10.34,0.521
37,1.363,0,0,1.964,0.16
22,0.792,0,0,1.242,0.061
22,0.411,0,0,1.112,0.972
321,13.647,0,0,16.862,18.746
1270,77.63,0,0,63.202,15.57
564,39.797,0,0,29.016,1.914
69,4.639,0,0,4.108,0.09
32,1.122,0,0,1.754,1.473
730,30.408,0,0,37.743,25.099
2715,135.09,0,0,135.171,28.685
1812,98.741,0,0,91.346,12.114
927,54.595,0,0,48.053,2.846
249,12.534,0,0,13.276,0.691
44,1.943,0,0,2.374,0.16
21,0.601,0,0,1.092,0.07
27,0.551,0,0,1.753,1.103
597,24.358,0,0,33.064,27.673
2188,111.385,0,0,114.08,16.271
1208,64.805,0,0,74.805,3.877
312,15.3,0,0,17.244,0.511
37,1.282,0,0,2.013,0.141
9,0.39,0,0,0.51,0.03
28,0.581,0,0,1.543,1.212
657,27.022,0,0,34.938,30.318
2479,124.511,0,0,126.805,25.259
1628,94.281,0,0,83.22,8.487
680,40.738,0,0,35.598,0.832
22,1.062,0,0,1.223,0.05
17,0.581,0,0,1.372,0.782
395,16.061,0,0,21.963,18.485
2673,132.465,0,0,135.882,30.429
2124,113.89,0,0,109.251,33.144
1267,77.279,0,0,66.839,8.165
496,32.522,0,0,26.832,0.791
19,1.904,0,0,1.032,0.13
2,0.34,0,0,0.171,0.031
16,0.351,0,0,0.942,0.691
356,13.606,0,0,18.456,18.465
2606,126.825,0,0,127.886,30.8
2271,120.041,0,0,112.747,18.346
1684,90.194,0,0,85.886,6.482
715,37.172,0,0,36.981,1.443
115,5.511,0,0,6.663,0.21
16,0.561,0,0,0.872,0.05
32,1.313,0,0,1.783,1.443
722,31.16,0,0,39.076,22.123
2608,132.365,0,0,134.469,22.343
1959,104.231,0,0,100.844,9.539
833,46.199,0,0,45.147,2.554
250,12.034,0,0,14.348,0.471
20,0.932,0,0,1.482,0.14
15,0.721,0,0,1.132,0.04
29,0.881,0,0,1.563,1.263
718,27.363,0,0,38.625,24.266
2885,137.274,0,0,146.292,26.631
2448,123.027,0,0,124.881,13.085
1349,77.309,0,0,71.828,2.915
271,12.895,0,0,15.5,0.28
22,0.531,0,0,1.162,0.952
385,15.54,0,0,19.137,17.544
1815,98.56,0,0,88.5,15.82
983,57.752,0,0,50.337,2.976
269,14.197,0,0,14.027,0.481
13,0.832,0,0,1.142,0.14
9,0.401,0,0,0.531,0.03
25,0.521,0,0,1.382,1.071
496,20.119,0,0,27.212,17.855
2305,115.823,0,0,118.939,20.81
1472,81.798,0,0,76.808,5.32
406,22.574,0,0,21.953,0.652
51,2.194,0,0,2.766,0.16
18,0.772,0,0,1.102,0.05
21,0.451,0,0,1.513,1.022
377,15.73,0,0,19.978,18.266
1961,104.731,0,0,94.703,22.333
1279,75.917,0,0,63.012,8.176
550,34.206,0,0,27.293,1.282
75,3.667,0,0,3.967,0.211
9,0.411,0,0,0.561,0.13
11,0.391,0,0,0.601,0.05
27,0.581,0,0,1.433,1.222
574,23.696,0,0,30.329,24.497
2719,134.86,0,0,140.33,27.413
1772,95.604,0,0,92.138,9.799
845,50.067,0,0,45.719,2.434
150,8.597,0,0,8.256,0.251
20,0.681,0,0,1.343,0.05
22,0.461,0,0,1.573,0.962
350,14.758,0,0,18.295,16.322
1646,89.603,0,0,80.555,21.211
1036,63.852,0,0,51.269,7.574
326,22.052,0,0,16.632,0.982
71,3.486,0,0,3.717,0.16
13,0.461,0,0,0.712,0.05
24,0.641,0,0,1.262,1.071
490,19.698,0,0,25.639,19.869
2416,121.584,0,0,118.769,25.9
1901,104.562,0,0,96.757,9.959
930,49.796,0,0,49.525,2.375
219,10.901,0,0,12.364,0.431
26,1.092,0,0,1.703,0.05
23,0.552,0,0,1.222,0.992
529,20.46,0,0,28.485,19.207
2579,125.753,0,0,128.738,22.944
1829,95.514,0,0,132.937,7.304
826,41.571,0,0,43.995,1.914
199,8.827,0,0,11.202,0.932
117,4.569,0,0,6.432,0.321
32,1.142,0,0,1.854,0.07
16,0.32,0,0,0.912,0.782
252,13.696,0,0,14.407,11.452
1964,128.588,0,0,99.662,22.694
1318,102.538,0,0,66.858,5.25
447,31.821,0,0,23.225,0.792
50,2.535,0,0,2.706,0.08
16,0.341,0,0,1.102,0.752
317,12.874,0,0,18.004,17.143
1878,100.814,0,0,96.556,26.271
1633,91.807,0,0,83.311,14.558
1266,72.691,0,0,65.947,5.942
465,26.862,0,0,24.187,1.213
54,3.176,0,0,2.885,0.07
25,0.562,0,0,1.503,1.062
493,22.673,0,0,25.79,16.521
2457,136.913,0,0,121.023,30.449
1677,106.555,0,0,83.581,15.65
891,57.662,0,0,46.72,2.916
180,11.041,0,0,10.22,0.19
21,0.632,0,0,1.152,0.992
527,20.82,0,0,28.205,17.554
3191,148.757,0,0,160.079,30.85
2891,142.575,0,0,147.114,32.653
2275,118.599,0,0,115.824,12.594
1313,69.484,0,0,69.454,5.661
590,29.637,0,0,31.35,1.764
171,8.576,0,0,9.569,0.722
94,3.738,0,0,5.27,0.111
20,0.491,0,0,1.122,0.952
365,14.147,0,0,20.539,18.175
2256,112.748,0,0,114.842,24.056
1574,88.46,0,0,81.638,7.384
583,39.356,0,0,31.431,1.052
67,2.865,0,0,3.868,0.1
31,0.722,0,0,1.693,1.353
481,21.902,0,0,24.046,20.339
1476,84.032,0,0,72.52,13.115
842,49.646,0,0,42.643,2.875
256,12.865,0,0,13.526,0.53
30,1.162,0,0,1.613,0.07
13,0.261,0,0,0.711,0.662
263,9.779,0,0,14.187,13.266
2550,124.61,0,0,130.632,29.066
1803,97.187,0,0,91.907,9.378
647,38.675,0,0,34.677,1.703
125,6.813,0,0,6.673,0.14
29,0.642,0,0,1.884,1.263
587,24.487,0,0,30.91,26.501
1961,104.531,0,0,96.437,18.004
924,57.301,0,0,47.642,3.547
260,15.019,0,0,13.918,0.882
56,2.916,0,0,3.587,0.07
25,0.541,0,0,1.733,1.022
603,24.097,0,0,30.329,25.279
2450,124.58,0,0,120.782,21.791
1351,75.746,0,0,68.282,4.278
397,21.422,0,0,20.9,0.672
45,1.783,0,0,2.374,0.071
16,0.381,0,0,0.631,0.752
340,12.714,0,0,16.122,15.31
2300,115.022,0,0,111.014,23.575
1545,83.641,0,0,74.684,7.635
698,38.224,0,0,35.579,1.282
88,3.997,0,0,4.79,0.11
9,0.261,0,0,0.531,0.471
94,3.768,0,0,4.669,3.767
766,47.421,0,0,37.101,25.089
420,35.769,0,0,20.399,3.797
107,8.947,0,0,5.52,0.951
26,2.474,0,0,1.373,0.13
4,0.281,0,0,0.27,0.03
17,0.4,0,0,0.982,0.811
266,10.791,0,0,14.087,13.737
1489,87.028,0,0,75.155,18.516
522,39.827,0,0,26.41,1.923
82,5.26,0,0,4.548,0.1
28,0.651,0,0,1.483,1.153
636,24.959,0,0,32.633,24.107
2696,130.04,0,0,128.838,30.759
2054,110.793,0,0,99.762,14.118
1213,68.392,0,0,68.251,3.807
319,18.065,0,0,16.582,0.852
86,3.707,0,0,5,0.12
28,0.711,0,0,1.533,1.253
561,23.044,0,0,30.188,24.637
2474,122.266,0,0,124.079,19.328
1559,83.931,0,0,79.804,4.669
