nfilter,t1,t2,t3,t4,t5,label_mad
23,2.755,0,0,1.493,1.543,24447
517,27.903,0,0,33.736,28.285,33763
2774,143.848,0,0,182.012,31.661,36808
2235,125.001,0,0,145.712,12.354,35880
978,57.23,0,0,65.587,2.945,38912.5
267,13.856,0,0,18.055,0.642,37124
48,3.617,0,0,3.727,0.3,57104.5
40,1.432,0,0,2.645,0.14,30932.5
10,0.36,0,0,0.691,0.08,25339
12,0.431,0,0,0.792,0.191,24427.5
32,1.073,0,0,2.144,0.08,28330
31,0.861,0,0,1.943,1.552,11770
698,29.888,0,0,46.089,29.838,16329
2449,124.942,0,0,154.208,21.221,25749
1698,106.086,0,0,106.947,5.972,31600.5
645,32.583,0,0,41.62,1.563,51584
169,8.166,0,0,11.002,0.301,50456
7,0.36,0,0,0.471,0.03,5563
25,1.042,0,0,1.583,1.242,3307
451,20.781,0,0,29.377,18.576,17898
2016,111.205,0,0,126.084,21.742,28057.5
1356,78.201,0,0,82.3,6.963,37308
588,32.764,0,0,35.649,1.132,39507.5
83,3.808,0,0,5.621,0.1,23630
11,0.621,0,0,0.682,0.601,7633
186,7.154,0,0,11.171,8.918,13649.5
2343,118.038,0,0,126.064,29.947,17829
1061,68.543,0,0,57.552,7.805,9792
353,25.339,0,0,19.929,0.992,13234
52,3.226,0,0,2.695,0.071,7930
27,0.722,0,0,1.673,1.213,1699
607,24.126,0,0,34.797,28.315,7664
2511,126.956,0,0,143.789,29.017,12456
1646,93.831,0,0,95.925,11.752,31083.5
1025,57.03,0,0,62.671,2.785,48105
266,13.787,0,0,17.303,0.431,66053
20,0.712,0,0,1.153,0.05,17098
22,0.601,0,0,1.262,1.052,18243
518,20.359,0,0,31.481,22.704,32869.5
3088,148.598,0,0,186.02,30.218,38649
2583,133.028,0,0,155.371,19.828,45951
1976,105.965,0,0,119.291,8.877,43224
934,49.796,0,0,66.518,3.167,50224
346,17.804,0,0,21.772,0.862,50381
80,3.307,0,0,5.11,0.23,35917
12,0.431,0,0,0.702,0.04,23573.5
22,0.491,0,0,0.761,1.102,18243
518,17.524,0,0,17.874,16.983,32869.5
3291,155.131,0,0,163.136,33.455,26294
2712,136.234,0,0,147.977,20.039,25025.5
2015,107.037,0,0,111.787,8.707,28333
914,47.682,0,0,52.722,1.624,49465
119,5.46,0,0,6.994,0.491,49275
62,2.515,0,0,3.907,0.271,33535
22,1.032,0,0,1.282,0.141,45987
16,0.622,0,0,1.032,0.071,8172
22,0.581,0,0,1.202,1.142,3097.5
406,21.873,0,0,23.275,16.432,6600
1488,106.226,0,0,82.249,13.136,15798
630,57.421,0,0,40.529,1.303,18313
40,2.845,0,0,6.062,0.06,6759.5
17,0.662,0,0,1.001,0.882,14067
394,15.801,0,0,22.714,19.989,15759.5
2472,126.905,0,0,133.328,21.863,19537
1644,86.257,0,0,90.596,5.451,27899
757,38.324,0,0,43.965,1.844,53495
179,7.805,0,0,11.001,0.271,73222
20,0.671,0,0,1.242,0.051,76710
15,0.281,0,0,0.771,0.732,20217
343,12.424,0,0,18.375,11.883,25173
2387,121.615,0,0,122.426,25.179,17788
1736,91.858,0,0,89.503,8.396,21231
853,45.357,0,0,44.716,2.465,28040
228,11.372,0,0,12.855,0.24,25758.5
19,0.531,0,0,1.422,0.961,11455
464,18.065,0,0,25.57,22.513,38985.5
2683,131.304,0,0,140.592,21.592,41770
1868,96.627,0,0,97.368,7.284,48362
962,46.329,0,0,51.94,2.565,46468
314,14.638,0,0,17.564,0.571,41398
59,2.124,0,0,3.076,0.19,37834
21,0.751,0,0,1.172,0.05,8576
22,0.551,0,0,1.122,1.122,9924
