nfilter,t1,t2,t3,t4,t5,label_mad
13,0.532,0,0,0.922,0.972,24699
297,11.983,0,0,20.339,15.209,197777
2750,162.935,0,0,198.324,35.358,267253
2172,133.668,0,0,133.398,17.343,296642
1416,94.222,0,0,87.349,5.48,268146
463,27.704,0,0,28.395,0.912,295742
47,2.545,0,0,2.885,0.1,280042
26,0.852,0,0,1.613,1.703,136546
593,27.623,0,0,36.911,25.629,216264
3082,158.497,0,0,178.014,29.437,266910
2416,129.079,0,0,138.868,18.646,299540
1526,91.257,0,0,88.512,4.999,222808
458,25.429,0,0,27.673,0.892,183280
59,3.026,0,0,3.677,0.191,156993
13,0.521,0,0,0.782,0.05,145610
30,0.721,0,0,2.135,1.472,182273
619,27.133,0,0,37.342,23.806,240222
2111,113.549,0,0,122.708,16.222,231817
1031,62.16,0,0,60.858,3.437,216564
207,11.662,0,0,12.544,0.211,257566
31,0.791,0,0,1.934,1.864,317219
626,25.79,0,0,36.841,24.036,317298
1483,88.3,0,0,83.671,13.025,217140
501,37.493,0,0,30.308,1.623,192541
77,4.709,0,0,4.799,0.1,116884
23,0.962,0,0,1.473,1.182,164459
487,19.547,0,0,28.415,21.602,205944
2566,128.389,0,0,148.147,24.638,199904
1919,106.516,0,0,110.384,11.953,199819
883,54.676,0,0,51.97,2.585,183692
210,11.964,0,0,12.794,0.321,213766
14,0.551,0,0,0.922,0.04,225341
20,0.531,0,0,1.192,0.952,204538
460,18.316,0,0,32.863,21.101,266261
2883,142.526,0,0,165.861,26.281,267978
2476,130.753,0,0,142.857,16.973,265823
1597,87.609,0,0,93.411,6.142,267357
619,33.104,0,0,35.879,1.443,258509
150,7.164,0,0,9.609,0.351,204742
38,1.373,0,0,2.485,0.06,131754
20,0.551,0,0,1.412,0.952,225635
466,18.727,0,0,27.393,19.107,294394
2725,138.157,0,0,153.988,22.503,296474
1885,103.761,0,0,108.47,7.164,289677
724,39.507,0,0,42.753,1.894,290812
224,10.891,0,0,13.916,0.481,303454
52,2.095,0,0,3.236,0.08,282579
18,0.611,0,0,1.082,0.881,277943
341,14.228,0,0,20.569,16.832,270235
1670,97.769,0,0,97.389,16.171,253936
725,52.231,0,0,43.083,2.325,251005
111,7.184,0,0,6.592,0.14,298092
32,0.822,0,0,2.104,1.513,252405
692,29.267,0,0,41.06,25.35,228326
2637,135.051,0,0,150.3,24.327,227410
2044,113.59,0,0,117.778,10.049,219364
1003,54.405,0,0,58.383,2.124,246104
195,8.958,0,0,11.933,0.511,269742
48,1.914,0,0,2.945,0.15,195248
13,0.431,0,0,0.752,0.03,201734
23,0.562,0,0,1.332,1.052,164459
487,19.288,0,0,27.673,20.52,205944
2683,135.141,0,0,153.507,24.527,203017
2028,120.524,0,0,115.834,11.703,206968
1049,61.329,0,0,61.088,2.986,202440
187,10.791,0,0,11.352,0.401,234247
42,1.893,0,0,3.026,0.07,214524
29,0.822,0,0,1.994,1.252,297422
697,28.967,0,0,40.428,23.085,288860
2676,139.31,0,0,153.046,22.373,288330
2034,110.995,0,0,117.027,11.382,262981
1228,63.072,0,0,71.719,4.87,238758
669,33.856,0,0,39.697,1.994,224049
254,10.811,0,0,15.49,0.461,282178
26,1.092,0,0,1.533,0.05,229102
20,0.541,0,0,1.492,1.012,143389
391,15.55,0,0,23.175,18.125,234510
2422,126.074,0,0,135.251,24.157,230607
1530,90.265,0,0,86.979,7.044,237508
646,36.521,0,0,37.713,1.092,257133
53,2.676,0,0,3.336,0.09,190963
32,0.802,0,0,2.214,1.343,217724
616,26.972,0,0,35.689,22.243,286173
2267,122.077,0,0,130.182,18.295,306835
1461,83.13,0,0,84.293,6.152,280727
470,26.371,0,0,28.355,1.022,305337
78,3.707,0,0,4.319,0.111,259936
32,0.942,0,0,1.793,1.383,205254
