section,series,working_set_mb,metric,value
ablation,variant_1,2.2,ns_per_call,59.3
ablation,variant_2,2.2,ns_per_call,26.1
ablation,variant_3,2.2,ns_per_call,66.5
ablation,variant_4,2.2,ns_per_call,66.7
ablation,variant_5,2.2,ns_per_call,62.9
ablation,variant_6,2.2,ns_per_call,315.5
ablation,variant_1,8.7,ns_per_call,55.6
ablation,variant_2,8.7,ns_per_call,35.3
ablation,variant_3,8.7,ns_per_call,79.6
ablation,variant_4,8.7,ns_per_call,72.2
ablation,variant_5,8.7,ns_per_call,66.2
ablation,variant_6,8.7,ns_per_call,329.2
ablation,variant_1,34.2,ns_per_call,50.9
ablation,variant_2,34.2,ns_per_call,46.7
ablation,variant_3,34.2,ns_per_call,93.0
ablation,variant_4,34.2,ns_per_call,73.2
ablation,variant_5,34.2,ns_per_call,71.7
ablation,variant_6,34.2,ns_per_call,337.0
ablation,variant_1,136.6,ns_per_call,55.0
ablation,variant_2,136.6,ns_per_call,72.2
ablation,variant_3,136.6,ns_per_call,167.5
ablation,variant_4,136.6,ns_per_call,111.4
ablation,variant_5,136.6,ns_per_call,94.9
ablation,variant_6,136.6,ns_per_call,393.6
ablation,variant_1,535.7,ns_per_call,53.6
ablation,variant_2,535.7,ns_per_call,84.2
ablation,variant_3,535.7,ns_per_call,202.0
ablation,variant_4,535.7,ns_per_call,127.1
ablation,variant_5,535.7,ns_per_call,108.9
ablation,variant_6,535.7,ns_per_call,431.5
ablation,variant_1,1898.6,ns_per_call,58.1
ablation,variant_2,1898.6,ns_per_call,101.0
ablation,variant_3,1898.6,ns_per_call,220.9
ablation,variant_4,1898.6,ns_per_call,133.4
ablation,variant_5,1898.6,ns_per_call,114.1
ablation,variant_6,1898.6,ns_per_call,455.5
scaling,threads_1,,stream_gbps,1.25
scaling,threads_1,,dense_gbps,0.63
scaling,threads_1,,dense_gbps_core,0.634
scaling,threads_1,,dense_ns,338.5
scaling,threads_2,,stream_gbps,2.5
scaling,threads_2,,dense_gbps,1.28
scaling,threads_2,,dense_gbps_core,0.641
scaling,threads_2,,dense_ns,167.5
scaling,threads_4,,stream_gbps,5.03
scaling,threads_4,,dense_gbps,2.56
scaling,threads_4,,dense_gbps_core,0.639
scaling,threads_4,,dense_ns,84.0
scaling,threads_8,,stream_gbps,9.99
scaling,threads_8,,dense_gbps,5.13
scaling,threads_8,,dense_gbps_core,0.642
scaling,threads_8,,dense_ns,41.8
scaling,threads_16,,stream_gbps,17.01
scaling,threads_16,,dense_gbps,9.47
scaling,threads_16,,dense_gbps_core,0.592
scaling,threads_16,,dense_ns,22.7
scaling,threads_24,,stream_gbps,27.97
scaling,threads_24,,dense_gbps,15.11
scaling,threads_24,,dense_gbps_core,0.63
scaling,threads_24,,dense_ns,14.2
scaling,threads_48,,stream_gbps,49.04
scaling,threads_48,,dense_gbps,26.58
scaling,threads_48,,dense_gbps_core,0.554
scaling,threads_48,,dense_ns,8.1
production,setup_?thr,,M,16.0
production,setup_?thr,,efC,200.0
production,setup_?thr,,ef,150.0
production,setup_?thr,,alpha,0.8
production,setup_?thr,,beta,3.0
production,setup_?thr,,heuristic,1.0
production,setup_?thr,,k,10.0
production,setup_?thr,,nq,6980.0
production,setup_?thr,,build_threads,48.0
production,setup_?thr,,dim,30109.0
production,setup_?thr,,npoints,8841823.0
production,setup_?thr,,q_dense_KB,117.613
production,setup_?thr,,avg_row_bytes,507.225
production,setup_?thr,,prune_s,50.0934
production,setup_?thr,,nnz_before,1121199371.0
production,setup_?thr,,nnz_after,474649751.0
production,setup_?thr,,keep_frac,0.423341
production,setup_?thr,,avg_row_bytes_pruned,214.729
production,setup_?thr,,build_s,413.159
production,replay_1thr,,search_threads,1.0
production,replay_1thr,,nq,2000.0
production,replay_1thr,,k,10.0
production,replay_1thr,,k_hat,30.0
production,replay_1thr,,ef,150.0
production,replay_1thr,,alpha,0.8
production,replay_1thr,,beta,3.0
production,replay_1thr,,recorded,4518228.0
production,replay_1thr,,full_s,0.793594
production,replay_1thr,,overhead_s,0.176865
production,replay_1thr,,distance_s,0.616729
production,replay_1thr,,distance_share,0.777135
production,replay_1thr,,overhead_share,0.222865
production,replay_1thr,,ndist,4518228.0
production,replay_1thr,,ns_per_dist_true,136.498
