section,series,working_set_mb,metric,value
ablation,variant_1,0.2,ns_per_call,22.9
ablation,variant_2,0.2,ns_per_call,17.7
ablation,variant_3,0.2,ns_per_call,35.1
ablation,variant_4,0.2,ns_per_call,37.7
ablation,variant_5,0.2,ns_per_call,49.7
ablation,variant_6,0.2,ns_per_call,206.1
ablation,variant_1,0.5,ns_per_call,22.5
ablation,variant_2,0.5,ns_per_call,18.6
ablation,variant_3,0.5,ns_per_call,39.4
ablation,variant_4,0.5,ns_per_call,40.0
ablation,variant_5,0.5,ns_per_call,50.4
ablation,variant_6,0.5,ns_per_call,208.6
ablation,variant_1,2.2,ns_per_call,26.2
ablation,variant_2,2.2,ns_per_call,23.1
ablation,variant_3,2.2,ns_per_call,48.6
ablation,variant_4,2.2,ns_per_call,43.4
ablation,variant_5,2.2,ns_per_call,52.5
ablation,variant_6,2.2,ns_per_call,219.9
ablation,variant_1,8.7,ns_per_call,24.6
ablation,variant_2,8.7,ns_per_call,26.1
ablation,variant_3,8.7,ns_per_call,54.4
ablation,variant_4,8.7,ns_per_call,46.9
ablation,variant_5,8.7,ns_per_call,54.4
ablation,variant_6,8.7,ns_per_call,226.6
ablation,variant_1,32.1,ns_per_call,22.9
ablation,variant_2,32.1,ns_per_call,30.2
ablation,variant_3,32.1,ns_per_call,61.2
ablation,variant_4,32.1,ns_per_call,51.9
ablation,variant_5,32.1,ns_per_call,57.2
ablation,variant_6,32.1,ns_per_call,230.1
ablation,variant_1,128.0,ns_per_call,23.3
ablation,variant_2,128.0,ns_per_call,61.1
ablation,variant_3,128.0,ns_per_call,138.7
ablation,variant_4,128.0,ns_per_call,105.3
ablation,variant_5,128.0,ns_per_call,68.5
ablation,variant_6,128.0,ns_per_call,292.6
ablation,variant_1,535.7,ns_per_call,24.1
ablation,variant_2,535.7,ns_per_call,76.9
ablation,variant_3,535.7,ns_per_call,180.2
ablation,variant_4,535.7,ns_per_call,110.5
ablation,variant_5,535.7,ns_per_call,81.7
ablation,variant_6,535.7,ns_per_call,334.8
ablation,variant_1,1898.6,ns_per_call,26.2
ablation,variant_2,1898.6,ns_per_call,83.5
ablation,variant_3,1898.6,ns_per_call,207.1
ablation,variant_4,1898.6,ns_per_call,114.2
ablation,variant_5,1898.6,ns_per_call,103.2
ablation,variant_6,1898.6,ns_per_call,373.5
scaling,threads_1,,stream_gbps,1.78
scaling,threads_1,,dense_gbps,0.92
scaling,threads_1,,dense_gbps_core,0.919
scaling,threads_1,,dense_ns,233.7
scaling,threads_2,,stream_gbps,3.13
scaling,threads_2,,dense_gbps,1.58
scaling,threads_2,,dense_gbps_core,0.788
scaling,threads_2,,dense_ns,136.2
scaling,threads_4,,stream_gbps,5.77
scaling,threads_4,,dense_gbps,2.95
scaling,threads_4,,dense_gbps_core,0.738
scaling,threads_4,,dense_ns,72.7
scaling,threads_8,,stream_gbps,11.55
scaling,threads_8,,dense_gbps,6.09
scaling,threads_8,,dense_gbps_core,0.761
scaling,threads_8,,dense_ns,35.3
scaling,threads_16,,stream_gbps,20.3
scaling,threads_16,,dense_gbps,11.38
scaling,threads_16,,dense_gbps_core,0.711
scaling,threads_16,,dense_ns,18.9
scaling,threads_32,,stream_gbps,33.57
scaling,threads_32,,dense_gbps,20.89
scaling,threads_32,,dense_gbps_core,0.653
scaling,threads_32,,dense_ns,10.3
scaling,threads_64,,stream_gbps,34.48
scaling,threads_64,,dense_gbps,32.04
scaling,threads_64,,dense_gbps_core,0.501
scaling,threads_64,,dense_ns,6.7
scaling,threads_128,,stream_gbps,22.9
scaling,threads_128,,dense_gbps,25.69
scaling,threads_128,,dense_gbps_core,0.201
scaling,threads_128,,dense_ns,8.4
production,setup_?thr,,M,32.0
