section,series,working_set_mb,metric,value
ablation,variant_1,0.2,ns_per_call,18.0
ablation,variant_2,0.2,ns_per_call,16.6
ablation,variant_3,0.2,ns_per_call,29.9
ablation,variant_4,0.2,ns_per_call,32.2
ablation,variant_5,0.2,ns_per_call,40.2
ablation,variant_6,0.2,ns_per_call,177.5
ablation,variant_1,0.4,ns_per_call,16.7
ablation,variant_2,0.4,ns_per_call,17.2
ablation,variant_3,0.4,ns_per_call,30.7
ablation,variant_4,0.4,ns_per_call,32.7
ablation,variant_5,0.4,ns_per_call,40.3
ablation,variant_6,0.4,ns_per_call,178.3
ablation,variant_1,1.6,ns_per_call,19.2
ablation,variant_2,1.6,ns_per_call,20.6
ablation,variant_3,1.6,ns_per_call,41.2
ablation,variant_4,1.6,ns_per_call,36.3
ablation,variant_5,1.6,ns_per_call,42.1
ablation,variant_6,1.6,ns_per_call,188.9
ablation,variant_1,6.6,ns_per_call,18.9
ablation,variant_2,6.6,ns_per_call,22.9
ablation,variant_3,6.6,ns_per_call,47.0
ablation,variant_4,6.6,ns_per_call,39.7
ablation,variant_5,6.6,ns_per_call,43.5
ablation,variant_6,6.6,ns_per_call,196.4
ablation,variant_1,24.4,ns_per_call,17.7
ablation,variant_2,24.4,ns_per_call,24.9
ablation,variant_3,24.4,ns_per_call,49.8
ablation,variant_4,24.4,ns_per_call,41.0
ablation,variant_5,24.4,ns_per_call,44.5
ablation,variant_6,24.4,ns_per_call,198.0
ablation,variant_1,97.3,ns_per_call,17.4
ablation,variant_2,97.3,ns_per_call,49.2
ablation,variant_3,97.3,ns_per_call,121.2
ablation,variant_4,97.3,ns_per_call,87.9
ablation,variant_5,97.3,ns_per_call,61.0
ablation,variant_6,97.3,ns_per_call,258.4
ablation,variant_1,407.2,ns_per_call,18.6
ablation,variant_2,407.2,ns_per_call,60.1
ablation,variant_3,407.2,ns_per_call,161.6
ablation,variant_4,407.2,ns_per_call,96.8
ablation,variant_5,407.2,ns_per_call,70.7
ablation,variant_6,407.2,ns_per_call,302.7
ablation,variant_1,1443.5,ns_per_call,19.7
ablation,variant_2,1443.5,ns_per_call,66.5
ablation,variant_3,1443.5,ns_per_call,191.9
