section,series,working_set_mb,metric,value
ablation,variant_1,0.3,ns_per_call,57.3
ablation,variant_2,0.3,ns_per_call,38.4
ablation,variant_3,0.3,ns_per_call,48.1
ablation,variant_4,0.3,ns_per_call,41.2
ablation,variant_5,0.3,ns_per_call,55.9
ablation,variant_6,0.3,ns_per_call,232.0
ablation,variant_7,0.3,ns_per_call,38.6
ablation,variant_1,0.6,ns_per_call,26.3
ablation,variant_2,0.6,ns_per_call,19.7
ablation,variant_3,0.6,ns_per_call,43.6
ablation,variant_4,0.6,ns_per_call,43.6
ablation,variant_5,0.6,ns_per_call,56.8
ablation,variant_6,0.6,ns_per_call,233.7
ablation,variant_7,0.6,ns_per_call,41.0
ablation,variant_1,2.5,ns_per_call,30.2
ablation,variant_2,2.5,ns_per_call,24.0
ablation,variant_3,2.5,ns_per_call,52.3
ablation,variant_4,2.5,ns_per_call,46.5
ablation,variant_5,2.5,ns_per_call,59.3
ablation,variant_6,2.5,ns_per_call,244.3
ablation,variant_7,2.5,ns_per_call,50.9
ablation,variant_1,10.0,ns_per_call,29.0
ablation,variant_2,10.0,ns_per_call,26.6
ablation,variant_3,10.0,ns_per_call,57.7
ablation,variant_4,10.0,ns_per_call,50.2
ablation,variant_5,10.0,ns_per_call,61.8
ablation,variant_6,10.0,ns_per_call,250.7
ablation,variant_7,10.0,ns_per_call,58.9
ablation,variant_1,37.1,ns_per_call,27.4
ablation,variant_2,37.1,ns_per_call,35.5
ablation,variant_3,37.1,ns_per_call,80.1
ablation,variant_4,37.1,ns_per_call,62.5
ablation,variant_5,37.1,ns_per_call,68.6
ablation,variant_6,37.1,ns_per_call,263.6
ablation,variant_7,37.1,ns_per_call,66.4
ablation,variant_1,148.0,ns_per_call,27.1
ablation,variant_2,148.0,ns_per_call,62.5
ablation,variant_3,148.0,ns_per_call,148.5
ablation,variant_4,148.0,ns_per_call,116.4
ablation,variant_5,148.0,ns_per_call,75.9
ablation,variant_6,148.0,ns_per_call,320.7
ablation,variant_7,148.0,ns_per_call,137.6
ablation,variant_1,619.5,ns_per_call,28.0
ablation,variant_2,619.5,ns_per_call,83.6
ablation,variant_3,619.5,ns_per_call,195.1
ablation,variant_4,619.5,ns_per_call,119.5
ablation,variant_5,619.5,ns_per_call,90.5
ablation,variant_6,619.5,ns_per_call,362.4
ablation,variant_7,619.5,ns_per_call,182.1
ablation,variant_1,2195.4,ns_per_call,30.4
ablation,variant_2,2195.4,ns_per_call,94.1
ablation,variant_3,2195.4,ns_per_call,219.9
ablation,variant_4,2195.4,ns_per_call,123.8
ablation,variant_5,2195.4,ns_per_call,102.7
ablation,variant_6,2195.4,ns_per_call,398.1
ablation,variant_7,2195.4,ns_per_call,208.4
