section,series,working_set_mb,metric,value
ablation,variant_1,0.3,ns_per_call,54.8
ablation,variant_2,0.3,ns_per_call,38.4
ablation,variant_3,0.3,ns_per_call,74.8
ablation,variant_4,0.3,ns_per_call,46.8
ablation,variant_5,0.3,ns_per_call,56.2
ablation,variant_6,0.3,ns_per_call,230.8
ablation,variant_7,0.3,ns_per_call,37.0
ablation,variant_1,0.6,ns_per_call,26.0
ablation,variant_2,0.6,ns_per_call,19.6
ablation,variant_3,0.6,ns_per_call,43.6
ablation,variant_4,0.6,ns_per_call,43.5
ablation,variant_5,0.6,ns_per_call,56.8
ablation,variant_6,0.6,ns_per_call,233.9
ablation,variant_7,0.6,ns_per_call,40.0
ablation,variant_1,2.5,ns_per_call,30.4
ablation,variant_2,2.5,ns_per_call,24.2
ablation,variant_3,2.5,ns_per_call,52.3
ablation,variant_4,2.5,ns_per_call,46.5
ablation,variant_5,2.5,ns_per_call,59.4
ablation,variant_6,2.5,ns_per_call,244.2
ablation,variant_7,2.5,ns_per_call,49.8
ablation,variant_1,10.0,ns_per_call,28.8
ablation,variant_2,10.0,ns_per_call,27.1
ablation,variant_3,10.0,ns_per_call,57.7
ablation,variant_4,10.0,ns_per_call,50.1
ablation,variant_5,10.0,ns_per_call,61.8
ablation,variant_6,10.0,ns_per_call,249.9
ablation,variant_7,10.0,ns_per_call,56.3
ablation,variant_1,37.1,ns_per_call,27.3
ablation,variant_2,37.1,ns_per_call,35.5
ablation,variant_3,37.1,ns_per_call,80.4
ablation,variant_4,37.1,ns_per_call,61.9
ablation,variant_5,37.1,ns_per_call,68.5
ablation,variant_6,37.1,ns_per_call,262.9
ablation,variant_7,37.1,ns_per_call,64.7
ablation,variant_1,148.0,ns_per_call,27.4
ablation,variant_2,148.0,ns_per_call,67.8
ablation,variant_3,148.0,ns_per_call,151.2
ablation,variant_4,148.0,ns_per_call,110.7
ablation,variant_5,148.0,ns_per_call,79.0
ablation,variant_6,148.0,ns_per_call,322.7
ablation,variant_7,148.0,ns_per_call,135.7
ablation,variant_1,619.5,ns_per_call,27.9
ablation,variant_2,619.5,ns_per_call,88.3
ablation,variant_3,619.5,ns_per_call,204.0
ablation,variant_4,619.5,ns_per_call,119.0
ablation,variant_5,619.5,ns_per_call,93.6
ablation,variant_6,619.5,ns_per_call,363.4
ablation,variant_7,619.5,ns_per_call,181.7
ablation,variant_1,2195.4,ns_per_call,30.0
ablation,variant_2,2195.4,ns_per_call,95.1
ablation,variant_3,2195.4,ns_per_call,220.4
ablation,variant_4,2195.4,ns_per_call,123.1
ablation,variant_5,2195.4,ns_per_call,101.7
ablation,variant_6,2195.4,ns_per_call,401.1
ablation,variant_7,2195.4,ns_per_call,208.7
scaling,threads_1,,stream_gbps,1.93
scaling,threads_1,,dense_gbps,1.04
scaling,threads_1,,dense_gbps_core,1.042
scaling,threads_1,,dense_ns,238.3
scaling,threads_2,,stream_gbps,3.47
scaling,threads_2,,dense_gbps,1.8
scaling,threads_2,,dense_gbps_core,0.901
scaling,threads_2,,dense_ns,137.7
scaling,threads_4,,stream_gbps,6.39
scaling,threads_4,,dense_gbps,3.37
scaling,threads_4,,dense_gbps_core,0.842
scaling,threads_4,,dense_ns,73.7
scaling,threads_8,,stream_gbps,12.45
scaling,threads_8,,dense_gbps,6.88
scaling,threads_8,,dense_gbps_core,0.86
scaling,threads_8,,dense_ns,36.1
scaling,threads_16,,stream_gbps,22.35
scaling,threads_16,,dense_gbps,12.96
scaling,threads_16,,dense_gbps_core,0.81
scaling,threads_16,,dense_ns,19.2
scaling,threads_32,,stream_gbps,38.22
scaling,threads_32,,dense_gbps,23.76
scaling,threads_32,,dense_gbps_core,0.742
scaling,threads_32,,dense_ns,10.5
scaling,threads_64,,stream_gbps,40.47
scaling,threads_64,,dense_gbps,35.6
scaling,threads_64,,dense_gbps_core,0.556
scaling,threads_64,,dense_ns,7.0
scaling,threads_128,,stream_gbps,23.3
scaling,threads_128,,dense_gbps,25.86
scaling,threads_128,,dense_gbps_core,0.202
scaling,threads_128,,dense_ns,9.6
production,setup_?thr,,M,32.0
production,setup_?thr,,efC,200.0
production,setup_?thr,,ef,800.0
production,setup_?thr,,alpha,0.85
production,setup_?thr,,beta,3.0
production,setup_?thr,,heuristic,1.0
production,setup_?thr,,k,10.0
production,setup_?thr,,nq,6980.0
production,setup_?thr,,build_threads,64.0
production,setup_?thr,,dim,30109.0
production,setup_?thr,,npoints,8841823.0
production,setup_?thr,,q_dense_KB,117.613
production,setup_?thr,,avg_row_bytes,507.225
production,setup_?thr,,prune_s,59.0831
production,setup_?thr,,nnz_before,1121199371.0
production,setup_?thr,,nnz_after,548854418.0
production,setup_?thr,,keep_frac,0.489524
production,setup_?thr,,avg_row_bytes_pruned,248.299
production,setup_?thr,,build_s,358.908
production,setup_?thr,,quantize_s,0.226469
production,setup_?thr,,quant_MiB,1684.12
production,setup_?thr,,fp16_row_bytes,248.299
production,setup_?thr,,u8_row_bytes,191.724
production,setup_?thr,,row_byte_ratio,1.29509
production,setup_?thr,,seed_s,5.36651
production,setup_?thr,,seed_KiB,940.906
production,setup_?thr,,seed_top_k,8.0
production,setup_?thr,,seed_terms,8.0
production,setup_?thr,,seed_per_term,4.0
production,setup_?thr,,quantized,1.0
production,setup_?thr,,seeding,1.0
production,setup_?thr,,patience,256.0
production,replay_1thr,,search_threads,1.0
production,replay_1thr,,nq,2000.0
production,replay_1thr,,k,10.0
production,replay_1thr,,k_hat,30.0
production,replay_1thr,,ef,800.0
production,replay_1thr,,alpha,0.85
production,replay_1thr,,beta,3.0
production,replay_1thr,,recorded,12100552.0
production,replay_1thr,,full_s,1.65212
production,replay_1thr,,overhead_s,0.616025
production,replay_1thr,,distance_s,1.0361
