bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,221512,0.0019057888,221512,0,0.0080948748,0.0000000000
1.0000,2.0000,254699,0.0021913147,252834,1865,0.0092394976,0.0000209865
2.0000,3.0000,322577,0.0027753062,233424,89153,0.0085301838,0.0010032221
3.0000,4.0000,679072,0.0058424274,286959,392113,0.0104865524,0.0044123744
4.0000,5.0000,1441049,0.0123981319,359109,1081940,0.0131231825,0.0121748689
5.0000,6.0000,2690514,0.0231479619,472634,2217880,0.0172718095,0.0249573898
6.0000,7.0000,4071386,0.0350283581,597379,3474007,0.0218304572,0.0390923526
7.0000,8.0000,5378276,0.0462722468,735332,4642944,0.0268717744,0.0522461825
8.0000,9.0000,7032063,0.0605006799,960158,6071905,0.0350877552,0.0683260140
9.0000,10.0000,6862254,0.0590397203,972765,5889489,0.0355484620,0.0662733208
10.0000,11.0000,8782143,0.0755575743,1311555,7470588,0.0479291125,0.0840651329
11.0000,12.0000,7714921,0.0663756804,1233365,6481556,0.0450717582,0.0729357403
12.0000,13.0000,8251063,0.0709884029,1420096,6830967,0.0518956055,0.0768675971
13.0000,14.0000,7345925,0.0632010062,1368750,5977175,0.0500192311,0.0672600350
14.0000,15.0000,6964987,0.0599235885,1397070,5567917,0.0510541496,0.0626547311
15.0000,16.0000,6528719,0.0561701365,1415758,5112961,0.0517370788,0.0575351961
16.0000,17.0000,6090054,0.0523960618,1430274,4659780,0.0522675476,0.0524356349
17.0000,18.0000,5019579,0.0431861806,1274468,3745111,0.0465738151,0.0421430353
18.0000,19.0000,4683456,0.0402943308,1276900,3406556,0.0466626895,0.0383333391
19.0000,20.0000,3286882,0.0282788416,965232,2321650,0.0352731781,0.0261250943
20.0000,21.0000,4123858,0.0354798034,1275153,2848705,0.0465988476,0.0320559458
21.0000,22.0000,2863767,0.0246385521,953221,1910546,0.0348342513,0.0214990177
22.0000,23.0000,2573875,0.0221444529,916245,1657630,0.0334830104,0.0186530011
23.0000,24.0000,2036525,0.0175213372,763927,1272598,0.0279167424,0.0143203078
24.0000,25.0000,1444825,0.0124306189,578217,866608,0.0211302062,0.0097517781
25.0000,26.0000,1893519,0.0162909785,773945,1119574,0.0282828375,0.0125983573
26.0000,27.0000,1296290,0.0111526911,565226,731064,0.0206554666,0.0082265268
27.0000,28.0000,1004156,0.0086393027,458244,545912,0.0167459452,0.0061430459
28.0000,29.0000,911851,0.0078451523,432105,479746,0.0157907287,0.0053984922
29.0000,30.0000,663118,0.0057051664,326198,336920,0.0119204918,0.0037912979
30.0000,31.0000,678625,0.0058385816,342494,336131,0.0125160084,0.0037824194
31.0000,32.0000,492130,0.0042340633,255127,237003,0.0093232923,0.0026669505
32.0000,33.0000,406463,0.0034970233,224779,181684,0.0082142632,0.0020444562
33.0000,34.0000,372106,0.0032014312,195162,176944,0.0071319475,0.0019911178
34.0000,35.0000,289319,0.0024891694,162650,126669,0.0059438378,0.0014253826
35.0000,36.0000,250653,0.0021565047,142523,108130,0.0052083221,0.0012167667
36.0000,37.0000,213733,0.0018388618,124522,89211,0.0045504984,0.0010038747
37.0000,38.0000,170070,0.0014632051,99970,70100,0.0036532767,0.0007888222
38.0000,39.0000,147381,0.0012679993,88030,59351,0.0032169446,0.0006678657
39.0000,40.0000,86648,0.0007454801,54731,31917,0.0020000749,0.0003591560
40.0000,41.0000,137460,0.0011826435,82150,55310,0.0030020675,0.0006223931
41.0000,42.0000,81803,0.0007037959,51472,30331,0.0018809789,0.0003413091
42.0000,43.0000,81126,0.0006979713,49843,31283,0.0018214492,0.0003520218
43.0000,44.0000,50469,0.0004342124,33259,17210,0.0012154079,0.0001936609
44.0000,45.0000,49503,0.0004259014,32706,16797,0.0011951993,0.0001890135
45.0000,46.0000,47507,0.0004087287,30214,17293,0.0011041323,0.0001945949
46.0000,47.0000,34133,0.0002936648,22844,11289,0.0008348050,0.0001270330
47.0000,48.0000,37180,0.0003198799,22681,14499,0.0008288484,0.0001631545
48.0000,49.0000,22924,0.0001972277,17422,5502,0.0006366649,0.0000619130
49.0000,50.0000,1827,0.0000157187,1706,121,0.0000623436,0.0000013616
50.0000,51.0000,44105,0.0003794594,27263,16842,0.0009962917,0.0001895199
51.0000,52.0000,9629,0.0000828435,8097,1532,0.0002958946,0.0000172393
52.0000,53.0000,19090,0.0001642417,12571,6519,0.0004593912,0.0000733571
53.0000,54.0000,11114,0.0000956198,7392,3722,0.0002701313,0.0000418830
54.0000,55.0000,7339,0.0000631414,5625,1714,0.0002055585,0.0000192873
55.0000,56.0000,8356,0.0000718912,6103,2253,0.0002230264,0.0000253526
56.0000,57.0000,6843,0.0000588741,4826,2017,0.0001763600,0.0000226969
57.0000,58.0000,7490,0.0000644406,5271,2219,0.0001926220,0.0000249700
58.0000,59.0000,5394,0.0000464075,3623,1771,0.0001323979,0.0000199287
59.0000,60.0000,1874,0.0000161230,1622,252,0.0000592739,0.0000028357
60.0000,61.0000,5233,0.0000450224,3780,1453,0.0001381353,0.0000163503
61.0000,62.0000,3872,0.0000333129,2766,1106,0.0001010800,0.0000124456
62.0000,63.0000,2434,0.0000209410,1830,604,0.0000668750,0.0000067967
63.0000,64.0000,1815,0.0000156154,1394,421,0.0000509420,0.0000047374
64.0000,65.0000,2405,0.0000206915,1734,671,0.0000633668,0.0000075506
65.0000,66.0000,1113,0.0000095757,1013,100,0.0000370188,0.0000011253
66.0000,67.0000,2428,0.0000208894,1760,668,0.0000643170,0.0000075169
67.0000,68.0000,197,0.0000016949,190,7,0.0000069433,0.0000000788
68.0000,69.0000,1120,0.0000096360,960,160,0.0000350820,0.0000018005
69.0000,70.0000,775,0.0000066677,532,243,0.0000194413,0.0000027344
70.0000,71.0000,788,0.0000067796,650,138,0.0000237534,0.0000015529
71.0000,72.0000,601,0.0000051707,480,121,0.0000175410,0.0000013616
72.0000,73.0000,438,0.0000037684,362,76,0.0000132288,0.0000008552
