bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,219074,0.0018848133,219074,0,0.0080057812,0.0000000000
1.0000,2.0000,156728,0.0013484166,156728,0,0.0057274258,0.0000000000
2.0000,3.0000,191335,0.0016461595,191335,0,0.0069920947,0.0000000000
3.0000,4.0000,190153,0.0016359901,190153,0,0.0069489000,0.0000000000
4.0000,5.0000,215414,0.0018533243,215414,0,0.0078720312,0.0000000000
5.0000,6.0000,248820,0.0021407344,248820,0,0.0090928110,0.0000000000
6.0000,7.0000,252223,0.0021700123,252223,0,0.0092171693,0.0000000000
7.0000,8.0000,254869,0.0021927773,254869,0,0.0093138641,0.0000000000
8.0000,9.0000,280191,0.0024106363,280191,0,0.0102392244,0.0000000000
9.0000,10.0000,258309,0.0022223735,258309,0,0.0094395745,0.0000000000
10.0000,11.0000,7449259,0.0640900451,954038,6495221,0.0348641076,0.0730895100
11.0000,12.0000,6727908,0.0578838683,901209,5826699,0.0329335388,0.0655667567
12.0000,13.0000,6950470,0.0597986908,955365,5995105,0.0349126011,0.0674617980
13.0000,14.0000,6523696,0.0561269209,935482,5588214,0.0341860021,0.0628831295
14.0000,15.0000,6005545,0.0516689847,912884,5092661,0.0333601869,0.0573067640
15.0000,16.0000,6337634,0.0545261279,998988,5338646,0.0365067483,0.0600747873
16.0000,17.0000,6044029,0.0520000836,996800,5047229,0.0364267906,0.0567955262
17.0000,18.0000,5648698,0.0485988350,959146,4689552,0.0350507729,0.0527706537
18.0000,19.0000,5379689,0.0462844036,981362,4398327,0.0358626285,0.0494935531
19.0000,20.0000,3869296,0.0332896675,753958,3115338,0.0275524380,0.0350563172
20.0000,21.0000,6001622,0.0516352330,1170960,4830662,0.0427912467,0.0543585382
21.0000,22.0000,4302265,0.0370147363,905039,3397226,0.0330735013,0.0382283503
22.0000,23.0000,4085190,0.0351471215,919132,3166058,0.0335885121,0.0356270599
23.0000,24.0000,3731816,0.0321068519,875694,2856122,0.0320011255,0.0321394080
24.0000,25.0000,2504923,0.0215512211,621058,1883865,0.0226957762,0.0211987813
25.0000,26.0000,4472409,0.0384785781,1102153,3370256,0.0402767822,0.0379248619
26.0000,27.0000,2897869,0.0249319503,793638,2104231,0.0290024932,0.0236785188
27.0000,28.0000,2669064,0.0229634158,738065,1930999,0.0269716485,0.0217291715
28.0000,29.0000,2513246,0.0216228284,746329,1766917,0.0272736458,0.0198827873
29.0000,30.0000,2003855,0.0172402594,610682,1393173,0.0223165984,0.0156771158
30.0000,31.0000,2263693,0.0194757876,724183,1539510,0.0264643484,0.0173238188
31.0000,32.0000,1779684,0.0153115938,583702,1195982,0.0213306486,0.0134581623
32.0000,33.0000,1457109,0.0125363048,521925,935184,0.0190730865,0.0105234511
33.0000,34.0000,1654493,0.0142345072,550637,1103856,0.0201223301,0.0124214856
34.0000,35.0000,1337700,0.0115089639,504899,832801,0.0184508930,0.0093713543
35.0000,36.0000,1126833,0.0096947599,445698,681135,0.0162874676,0.0076646851
36.0000,37.0000,1075469,0.0092528474,423904,651565,0.0154910335,0.0073319394
37.0000,38.0000,1022833,0.0087999911,400190,622643,0.0146244355,0.0070064855
38.0000,39.0000,787325,0.0067737871,339850,447475,0.0124193868,0.0050353527
39.0000,40.0000,470781,0.0040503862,218914,251867,0.0079999342,0.0028342124
40.0000,41.0000,862155,0.0074175905,376980,485175,0.0137762555,0.0054595837
41.0000,42.0000,572280,0.0049236375,266941,305339,0.0097550200,0.0034359228
42.0000,43.0000,493708,0.0042476397,238232,255476,0.0087058860,0.0028748238
43.0000,44.0000,316070,0.0027193229,168288,147782,0.0061498713,0.0016629633
44.0000,45.0000,397318,0.0034183438,195140,202178,0.0071311436,0.0022750713
45.0000,46.0000,380673,0.0032751378,192768,187905,0.0070444618,0.0021144599
46.0000,47.0000,235912,0.0020296798,130682,105230,0.0047756078,0.0011841336
47.0000,48.0000,207934,0.0017889698,114498,93436,0.0041841841,0.0010514179
48.0000,49.0000,244614,0.0021045479,144993,99621,0.0052985851,0.0011210165
49.0000,50.0000,5495,0.0000472765,4930,565,0.0001801606,0.0000063578
50.0000,51.0000,324118,0.0027885642,171307,152811,0.0062601968,0.0017195537
51.0000,52.0000,115815,0.0009964197,79818,35997,0.0029168475,0.0004050675
52.0000,53.0000,126694,0.0010900177,73228,53466,0.0026760243,0.0006016429
53.0000,54.0000,73831,0.0006352084,48247,25584,0.0017631254,0.0002878920
54.0000,55.0000,81245,0.0006989951,52238,29007,0.0019089714,0.0003264104
55.0000,56.0000,84871,0.0007301916,51196,33675,0.0018708928,0.0003789385
56.0000,57.0000,52365,0.0004505247,35911,16454,0.0013123219,0.0001851538
57.0000,58.0000,55468,0.0004772215,35026,20442,0.0012799807,0.0002300300
58.0000,59.0000,37169,0.0003197852,26515,10654,0.0009689570,0.0001198875
59.0000,60.0000,23166,0.0001993098,16661,6505,0.0006088551,0.0000731996
60.0000,61.0000,35718,0.0003073015,25697,10021,0.0009390642,0.0001127644
61.0000,62.0000,31325,0.0002695061,18819,12506,0.0006877165,0.0001407277
62.0000,63.0000,20245,0.0001741788,15914,4331,0.0005815569,0.0000487359
63.0000,64.0000,16057,0.0001381471,10719,5338,0.0003917122,0.0000600675
64.0000,65.0000,11567,0.0000995172,8033,3534,0.0002935558,0.0000397674
65.0000,66.0000,11306,0.0000972717,9083,2223,0.0003319267,0.0000250150
66.0000,67.0000,16615,0.0001429479,11264,5351,0.0004116286,0.0000602138
67.0000,68.0000,1874,0.0000161230,1738,136,0.0000635130,0.0000015304
68.0000,69.0000,8853,0.0000761672,6578,2275,0.0002403847,0.0000256002
69.0000,70.0000,2425,0.0000208636,2036,389,0.0000744030,0.0000043773
70.0000,71.0000,5598,0.0000481627,4573,1025,0.0001671145,0.0000115341
71.0000,72.0000,2061,0.0000177319,1391,670,0.0000508323,0.0000075394
72.0000,73.0000,4645,0.0000399635,3305,1340,0.0001207770,0.0000150788
73.0000,74.0000,2513,0.0000216207,1967,546,0.0000718815,0.0000061440
74.0000,75.0000,530,0.0000045599,482,48,0.0000176141,0.0000005401
75.0000,76.0000,1592,0.0000136968,1367,225,0.0000499553,0.0000025319
76.0000,77.0000,1573,0.0000135334,1348,225,0.0000492609,0.0000025319
77.0000,78.0000,1156,0.0000099457,965,191,0.0000352647,0.0000021493
78.0000,79.0000,999,0.0000085949,746,253,0.0000272616,0.0000028470
79.0000,80.0000,131,0.0000011271,129,2,0.0000047141,0.0000000225
80.0000,81.0000,368,0.0000031661,306,62,0.0000111824,0.0000006977
81.0000,82.0000,232,0.0000019960,207,25,0.0000075646,0.0000002813
82.0000,83.0000,489,0.0000042071,450,39,0.0000164447,0.0000004389
83.0000,84.0000,215,0.0000018498,188,27,0.0000068702,0.0000003038
84.0000,85.0000,236,0.0000020304,215,21,0.0000078569,0.0000002363
85.0000,86.0000,94,0.0000008087,78,16,0.0000028504,0.0000001800
86.0000,87.0000,19,0.0000001635,17,2,0.0000006212,0.0000000225
87.0000,88.0000,21,0.0000001807,21,0,0.0000007674,0.0000000000
88.0000,89.0000,165,0.0000014196,149,16,0.0000054450,0.0000001800
89.0000,90.0000,43,0.0000003700,41,2,0.0000014983,0.0000000225
90.0000,91.0000,4,0.0000000344,4,0,0.0000001462,0.0000000000
91.0000,92.0000,2,0.0000000172,2,0,0.0000000731,0.0000000000
92.0000,93.0000,4,0.0000000344,4,0,0.0000001462,0.0000000000
93.0000,94.0000,2,0.0000000172,2,0,0.0000000731,0.0000000000
94.0000,95.0000,40,0.0000003441,35,5,0.0000012790,0.0000000563
95.0000,96.0000,1,0.0000000086,1,0,0.0000000365,0.0000000000
96.0000,97.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
97.0000,98.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
98.0000,99.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
99.0000,100.0000,2,0.0000000172,2,0,0.0000000731,0.0000000000
