bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,140764,0.0017144349,140764,0,0.0093131114,0.0000000000
1.0000,2.0000,158571,0.0019313152,157302,1269,0.0104072849,0.0000189430
2.0000,3.0000,267216,0.0032545567,184456,82760,0.0122038254,0.0012353975
3.0000,4.0000,863887,0.0105217100,231967,631920,0.0153472089,0.0094329673
4.0000,5.0000,2258090,0.0275024027,330051,1928039,0.0218365614,0.0287807458
5.0000,6.0000,4144941,0.0504833008,483670,3661271,0.0320001747,0.0546535159
6.0000,7.0000,5698628,0.0694064285,631850,5066778,0.0418039373,0.0756341805
7.0000,8.0000,6577190,0.0801068727,754114,5823076,0.0498930670,0.0869237968
8.0000,9.0000,7244764,0.0882375889,885992,6358772,0.0586182702,0.0949203832
9.0000,10.0000,6505595,0.0792348815,868206,5637389,0.0574415276,0.0841519596
10.0000,11.0000,7051264,0.0858808560,1014073,6037191,0.0670922594,0.0901199922
11.0000,12.0000,5746086,0.0699844431,914513,4831573,0.0605052530,0.0721231648
12.0000,13.0000,5494353,0.0669184615,939423,4554930,0.0621533279,0.0679935845
13.0000,14.0000,4580426,0.0557872895,860126,3720300,0.0569069453,0.0555346695
14.0000,15.0000,3992832,0.0486306895,799593,3193239,0.0529020110,0.0476669819
15.0000,16.0000,3494549,0.0425618527,753843,2740706,0.0498751373,0.0409118087
16.0000,17.0000,3047155,0.0371128183,699516,2347639,0.0462807993,0.0350443126
17.0000,18.0000,2401453,0.0292484921,595741,1805712,0.0394149235,0.0269547131
18.0000,19.0000,2127541,0.0259123814,550865,1576676,0.0364458747,0.0235357849
19.0000,20.0000,1445428,0.0176045875,401767,1043661,0.0265813761,0.0155792191
20.0000,21.0000,1710799,0.0208366731,481963,1228836,0.0318872375,0.0183434135
21.0000,22.0000,1161614,0.0141478754,346774,814840,0.0229429747,0.0121635003
22.0000,23.0000,1008995,0.0122890526,315491,693504,0.0208732547,0.0103522607
23.0000,24.0000,788101,0.0095986746,250295,537806,0.0165598109,0.0080280833
24.0000,25.0000,539597,0.0065720206,184224,355373,0.0121884760,0.0053048201
25.0000,26.0000,705316,0.0085903948,231727,473589,0.0153313302,0.0070694860
26.0000,27.0000,467536,0.0056943538,163545,303991,0.0108203291,0.0045378168
27.0000,28.0000,374025,0.0045554368,132110,241915,0.0087405526,0.0036111791
