bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,113252,0.0018580821,113252,0,0.0079841715,0.0000000000
1.0000,2.0000,87191,0.0014305093,87191,0,0.0061468928,0.0000000000
2.0000,3.0000,102074,0.0016746889,102074,0,0.0071961319,0.0000000000
3.0000,4.0000,108560,0.0017811022,108560,0,0.0076533894,0.0000000000
4.0000,5.0000,129335,0.0021219497,129335,0,0.0091180096,0.0000000000
5.0000,6.0000,136928,0.0022465251,136928,0,0.0096533098,0.0000000000
6.0000,7.0000,151201,0.0024806968,151201,0,0.0106595444,0.0000000000
7.0000,8.0000,149164,0.0024472765,149164,0,0.0105159376,0.0000000000
8.0000,9.0000,166643,0.0027340477,166643,0,0.0117481925,0.0000000000
9.0000,10.0000,149021,0.0024449303,149021,0,0.0105058562,0.0000000000
10.0000,11.0000,183682,0.0030136001,183682,0,0.0129494278,0.0000000000
11.0000,12.0000,171593,0.0028152605,171593,0,0.0120971634,0.0000000000
12.0000,13.0000,178303,0.0029253489,178303,0,0.0125702128,0.0000000000
13.0000,14.0000,177586,0.0029135853,177586,0,0.0125196649,0.0000000000
14.0000,15.0000,173346,0.0028440213,173346,0,0.0122207484,0.0000000000
15.0000,16.0000,4682898,0.0768305095,683413,3999485,0.0481800464,0.0855203781
16.0000,17.0000,4490538,0.0736745329,720309,3770229,0.0507811836,0.0806182320
17.0000,18.0000,4202406,0.0689472618,648756,3553650,0.0457367568,0.0759871563
18.0000,19.0000,4191844,0.0687739751,679094,3512750,0.0478755605,0.0751125978
19.0000,20.0000,2930016,0.0480716476,512956,2417060,0.0361629701,0.0516836255
20.0000,21.0000,4405534,0.0722799049,744315,3661219,0.0524735866,0.0782872878
21.0000,22.0000,3388903,0.0556004304,583824,2805079,0.0411591050,0.0599805767
22.0000,23.0000,3205395,0.0525896851,594053,2611342,0.0418802410,0.0558379279
23.0000,24.0000,2896998,0.0475299339,539768,2357230,0.0380531937,0.0504042898
24.0000,25.0000,2049602,0.0336270331,403034,1646568,0.0284135608,0.0352083126
25.0000,26.0000,3370087,0.0552917235,644933,2725154,0.0454672385,0.0582715526
26.0000,27.0000,2277680,0.0373690213,489266,1788414,0.0344928449,0.0382413840
27.0000,28.0000,2133203,0.0349986426,460253,1672950,0.0324474526,0.0357724348
28.0000,29.0000,1982852,0.0325318915,458084,1524768,0.0322945399,0.0326038817
29.0000,30.0000,1574831,0.0258376476,352372,1222459,0.0248419321,0.0261396545
30.0000,31.0000,1687925,0.0276931374,428474,1259451,0.0302070596,0.0269306488
31.0000,32.0000,1272332,0.0208746626,328206,944126,0.0231382492,0.0201881023
32.0000,33.0000,1239584,0.0203373788,334559,905025,0.0235861304,0.0193520116
33.0000,34.0000,999109,0.0163919978,275950,723159,0.0194542448,0.0154631987
34.0000,35.0000,1013046,0.0166206568,289976,723070,0.0204430661,0.0154612956
35.0000,36.0000,777781,0.0127607542,249489,528292,0.0175887664,0.0112963873
36.0000,37.0000,682664,0.0112002061,223392,459272,0.0157489497,0.0098205432
37.0000,38.0000,630011,0.0103363486,204884,425127,0.0144441511,0.0090904258
38.0000,39.0000,463648,0.0076068947,173132,290516,0.0122056616,0.0062120593
39.0000,40.0000,290285,0.0047625945,111201,179084,0.0078395777,0.0038293259
40.0000,41.0000,469583,0.0077042680,168953,300630,0.0119110456,0.0064283255
41.0000,42.0000,275682,0.0045230087,117453,158229,0.0082803385,0.0033833866
42.0000,43.0000,208963,0.0034283757,94125,114838,0.0066357340,0.0024555634
43.0000,44.0000,178327,0.0029257426,78011,100316,0.0054997104,0.0021450417
44.0000,45.0000,194658,0.0031936791,82982,111676,0.0058501618,0.0023879509
45.0000,46.0000,106734,0.0017511438,54817,51917,0.0038645528,0.0011101333
46.0000,47.0000,106256,0.0017433014,52167,54089,0.0036777300,0.0011565768
47.0000,48.0000,65985,0.0010825906,36108,29877,0.0025455839,0.0006388553
48.0000,49.0000,97697,0.0016028772,48410,49287,0.0034128646,0.0010538964
49.0000,50.0000,3042,0.0000499089,2642,400,0.0001862588,0.0000085531
50.0000,51.0000,71999,0.0011812599,39951,32048,0.0028165122,0.0006852775
51.0000,52.0000,33829,0.0005550194,22065,11764,0.0015555641,0.0002515478
52.0000,53.0000,33289,0.0005461598,16673,16616,0.0011754326,0.0003552974
53.0000,54.0000,21269,0.0003489523,13323,7946,0.0009392604,0.0001699081
54.0000,55.0000,11135,0.0001826877,7929,3206,0.0005589879,0.0000685534
55.0000,56.0000,9970,0.0001635740,7442,2528,0.0005246548,0.0000540558
56.0000,57.0000,16394,0.0002689701,8624,7770,0.0006079848,0.0001661447
57.0000,58.0000,6183,0.0001014421,4593,1590,0.0003238027,0.0000339987
58.0000,59.0000,3622,0.0000594248,2974,648,0.0002096645,0.0000138561
59.0000,60.0000,2956,0.0000484980,2372,584,0.0001672240,0.0000124876
60.0000,61.0000,7162,0.0001175042,4121,3041,0.0002905271,0.0000650252
61.0000,62.0000,1825,0.0000299421,1484,341,0.0001046208,0.0000072916
62.0000,63.0000,1445,0.0000237076,1261,184,0.0000888994,0.0000039344
63.0000,64.0000,780,0.0000127972,704,76,0.0000496314,0.0000016251
64.0000,65.0000,2342,0.0000384243,1459,883,0.0001028583,0.0000188811
65.0000,66.0000,765,0.0000125511,674,91,0.0000475164,0.0000019458
66.0000,67.0000,366,0.0000060048,339,27,0.0000238992,0.0000005773
67.0000,68.0000,180,0.0000029532,169,11,0.0000119144,0.0000002352
68.0000,69.0000,756,0.0000124034,500,256,0.0000352496,0.0000054740
69.0000,70.0000,180,0.0000029532,160,20,0.0000112799,0.0000004277
70.0000,71.0000,128,0.0000021000,125,3,0.0000088124,0.0000000641
71.0000,72.0000,53,0.0000008696,52,1,0.0000036660,0.0000000214
72.0000,73.0000,232,0.0000038063,168,64,0.0000118439,0.0000013685
73.0000,74.0000,45,0.0000007383,42,3,0.0000029610,0.0000000641
74.0000,75.0000,13,0.0000002133,13,0,0.0000009165,0.0000000000
75.0000,76.0000,19,0.0000003117,18,1,0.0000012690,0.0000000214
76.0000,77.0000,75,0.0000012305,59,16,0.0000041595,0.0000003421
77.0000,78.0000,3,0.0000000492,3,0,0.0000002115,0.0000000000
78.0000,79.0000,6,0.0000000984,6,0,0.0000004230,0.0000000000
79.0000,80.0000,1,0.0000000164,1,0,0.0000000705,0.0000000000
80.0000,81.0000,13,0.0000002133,13,0,0.0000009165,0.0000000000
81.0000,82.0000,1,0.0000000164,1,0,0.0000000705,0.0000000000
82.0000,83.0000,2,0.0000000328,2,0,0.0000001410,0.0000000000
83.0000,84.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
84.0000,85.0000,4,0.0000000656,4,0,0.0000002820,0.0000000000
85.0000,86.0000,1,0.0000000164,1,0,0.0000000705,0.0000000000
86.0000,87.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
87.0000,88.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
88.0000,89.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
89.0000,90.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
90.0000,91.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
91.0000,92.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
92.0000,93.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
93.0000,94.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
94.0000,95.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
95.0000,96.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
96.0000,97.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
97.0000,98.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
98.0000,99.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
99.0000,100.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
