bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,9493907,0.0548319592,208244,9285663,0.0073321828,0.0641522574
1.0000,2.0000,9080005,0.0524414726,403185,8676820,0.0141959726,0.0599459177
2.0000,3.0000,7229871,0.0417560433,433728,6796143,0.0152713787,0.0469528040
3.0000,4.0000,7928208,0.0457892813,565114,7363094,0.0198974239,0.0508697226
4.0000,5.0000,8388041,0.0484450419,675186,7712855,0.0237730123,0.0532861314
5.0000,6.0000,8989143,0.0519167001,795504,8193639,0.0280093580,0.0566077444
6.0000,7.0000,9011639,0.0520466255,872763,8138876,0.0307296146,0.0562294009
7.0000,8.0000,8914097,0.0514832727,941333,7972764,0.0331439352,0.0550817759
8.0000,9.0000,9565925,0.0552478984,1101165,8464760,0.0387715520,0.0584808497
9.0000,10.0000,8193461,0.0473212472,1030709,7162752,0.0362908262,0.0494856113
10.0000,11.0000,9653086,0.0557512959,1319794,8333292,0.0464693862,0.0575725711
11.0000,12.0000,8017608,0.0463056100,1200419,6817189,0.0422662432,0.0470982054
12.0000,13.0000,8281784,0.0478313557,1355452,6926332,0.0477248893,0.0478522463
13.0000,14.0000,7221653,0.0417085804,1293847,5927806,0.0455558034,0.0409536870
14.0000,15.0000,6744674,0.0389537932,1313552,5431122,0.0462496081,0.0375222250
15.0000,16.0000,6287193,0.0363116165,1332424,4954769,0.0469140832,0.0342312246
16.0000,17.0000,5842513,0.0337433719,1347978,4494535,0.0474617329,0.0310515863
17.0000,18.0000,4810271,0.0277816692,1203614,3606657,0.0423787378,0.0249174656
18.0000,19.0000,4477305,0.0258586276,1208594,3268711,0.0425540815,0.0225826836
19.0000,20.0000,3138260,0.0181249874,914544,2223716,0.0322007058,0.0153630819
20.0000,21.0000,3960143,0.0228717639,1216369,2743774,0.0428278359,0.0189560289
21.0000,22.0000,2751745,0.0158926741,911355,1840390,0.0320884225,0.0127147812
22.0000,23.0000,2472967,0.0142825947,878966,1594001,0.0309480196,0.0110125429
23.0000,24.0000,1963534,0.0113403698,734707,1228827,0.0258687215,0.0084896497
24.0000,25.0000,1389261,0.0080236622,556561,832700,0.0195962764,0.0057529101
25.0000,26.0000,1835758,0.0106024009,749126,1086632,0.0263764083,0.0075072610
26.0000,27.0000,1257590,0.0072631977,548369,709221,0.0193078396,0.0048998255
27.0000,28.0000,974894,0.0056304900,445004,529890,0.0156684019,0.0036608737
28.0000,29.0000,887680,0.0051267864,421053,466627,0.0148250973,0.0032238059
29.0000,30.0000,646342,0.0037329414,318297,328045,0.0112071022,0.0022663785
30.0000,31.0000,663863,0.0038341337,335039,328824,0.0117965809,0.0022717604
31.0000,32.0000,481985,0.0027836993,250053,231932,0.0088042599,0.0016023585
32.0000,33.0000,397159,0.0022937876,220199,176960,0.0077531133,0.0012225711
33.0000,34.0000,366499,0.0021167111,192115,174384,0.0067642876,0.0012047742
34.0000,35.0000,283974,0.0016400888,159962,124012,0.0056321941,0.0008567670
35.0000,36.0000,247038,0.0014267654,140518,106520,0.0049475791,0.0007359193
36.0000,37.0000,210653,0.0012166242,122842,87811,0.0043252147,0.0006066636
37.0000,38.0000,167912,0.0009697740,98743,69169,0.0034766991,0.0004778708
