bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,9423804,0.0544270801,206531,9217273,0.0072718688,0.0636797684
1.0000,2.0000,6286848,0.0363096240,276677,6010171,0.0097416797,0.0415227256
2.0000,3.0000,6325753,0.0365343194,383799,5941954,0.0135133998,0.0410514319
3.0000,4.0000,5769529,0.0333218536,411573,5357956,0.0144913105,0.0370167399
4.0000,5.0000,6096142,0.0352082035,489704,5606438,0.0172422699,0.0387334381
5.0000,6.0000,6583505,0.0380229633,577885,6005620,0.0203470854,0.0414912839
6.0000,7.0000,6351492,0.0366829747,588812,5762680,0.0207318205,0.0398128739
7.0000,8.0000,6126888,0.0353857767,622538,5504350,0.0219192986,0.0380281384
8.0000,9.0000,6491871,0.0374937322,686018,5805853,0.0241544024,0.0401111451
9.0000,10.0000,5710373,0.0329801987,636888,5073485,0.0224245560,0.0350514029
10.0000,11.0000,6813656,0.0393521980,802629,6011027,0.0282602262,0.0415286395
11.0000,12.0000,6129408,0.0354003309,759267,5370141,0.0267334686,0.0371009229
12.0000,13.0000,6354651,0.0367012195,819091,5535560,0.0288398463,0.0382437603
13.0000,14.0000,5988073,0.0345840521,815201,5172872,0.0287028810,0.0357380422
14.0000,15.0000,5510690,0.0318269317,799449,4711241,0.0281482598,0.0325487523
15.0000,16.0000,5870982,0.0339077943,892441,4978541,0.0314224686,0.0343954593
16.0000,17.0000,5617158,0.0324418365,895962,4721196,0.0315464415,0.0326175289
17.0000,18.0000,5303736,0.0306316711,875567,4428169,0.0308283422,0.0305930807
18.0000,19.0000,5072150,0.0292941486,902076,4170074,0.0317617129,0.0288099687
19.0000,20.0000,3626260,0.0209434262,690576,2935684,0.0243148877,0.0202818857
20.0000,21.0000,5733612,0.0331144153,1096243,4637369,0.0385982505,0.0320383897
21.0000,22.0000,4109856,0.0237364298,848068,3261788,0.0298601141,0.0225348543
22.0000,23.0000,3925045,0.0226690558,868400,3056645,0.0305759952,0.0211175741
23.0000,24.0000,3590837,0.0207388410,829577,2761260,0.0292090539,0.0190768351
24.0000,25.0000,2418387,0.0139673685,590829,1827558,0.0208028382,0.0126261282
25.0000,26.0000,4353761,0.0251451005,1057989,3295772,0.0372513434,0.0227696411
26.0000,27.0000,2819236,0.0162824676,763070,2056166,0.0268673706,0.0142055220
27.0000,28.0000,2611829,0.0150845907,714604,1897225,0.0251609034,0.0131074396
28.0000,29.0000,2460476,0.0142104531,722590,1737886,0.0254420870,0.0120066074
29.0000,30.0000,1967458,0.0113630328,593935,1373523,0.0209121991,0.0094893171
30.0000,31.0000,2228275,0.0128693786,706831,1521444,0.0248872193,0.0105112653
31.0000,32.0000,1757633,0.0101511908,572117,1185516,0.0201439966,0.0081904251
32.0000,33.0000,1436416,0.0082960054,510900,925516,0.0179885720,0.0063941520
33.0000,34.0000,1638919,0.0094655593,541971,1096948,0.0190825687,0.0075785316
34.0000,35.0000,1326448,0.0076608864,498232,828216,0.0175425371,0.0057219313
35.0000,36.0000,1116132,0.0064462085,439155,676977,0.0154624610,0.0046770600
36.0000,37.0000,1069193,0.0061751128,419795,649398,0.0147808037,0.0044865238
37.0000,38.0000,1017009,0.0058737247,396554,620455,0.0139624979,0.0042865640
38.0000,39.0000,782983,0.0045221100,336770,446213,0.0118575287,0.0030827708
39.0000,40.0000,468091,0.0027034546,217041,251050,0.0076419214,0.0017344399
40.0000,41.0000,859305,0.0049629069,374856,484449,0.0131985206,0.0033469335
41.0000,42.0000,570570,0.0032953210,265655,304915,0.0093535997,0.0021065793
42.0000,43.0000,492379,0.0028437297,237221,255158,0.0083524507,0.0017628210
43.0000,44.0000,315155,0.0018201744,167486,147669,0.0058971109,0.0010202071
44.0000,45.0000,396824,0.0022918528,194517,202307,0.0068488610,0.0013976870
45.0000,46.0000,380224,0.0021959797,192364,187860,0.0067730547,0.0012978764
