bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,6446873,0.0372358966,174814,6272059,0.0061550103,0.0433350570
1.0000,2.0000,7691018,0.0444218384,358586,7332432,0.0126254221,0.0506614110
2.0000,3.0000,9124363,0.0527005631,565617,8558746,0.0199147578,0.0591342884
3.0000,4.0000,9889003,0.0571169764,722279,9166724,0.0254306560,0.0633349442
4.0000,5.0000,10843513,0.0626300423,895272,9948241,0.0315215509,0.0687346198
5.0000,6.0000,11746116,0.0678433034,1095231,10650885,0.0385618893,0.0735893442
6.0000,7.0000,12125068,0.0700320571,1282107,10842961,0.0451415895,0.0749164402
7.0000,8.0000,12045847,0.0695744919,1436972,10608875,0.0505942172,0.0732990877
8.0000,9.0000,12123447,0.0700226945,1630257,10493190,0.0573995713,0.0724997942
9.0000,10.0000,11125163,0.0642567984,1679021,9446142,0.0591164986,0.0652655056
10.0000,11.0000,11090718,0.0640578508,1873355,9217363,0.0659587868,0.0636848204
11.0000,12.0000,9668324,0.0558423770,1819833,7848491,0.0640743356,0.0542269779
12.0000,13.0000,8770268,0.0506553786,1835223,6935045,0.0646162007,0.0479157754
13.0000,14.0000,7506789,0.0433577672,1737761,5769028,0.0611846700,0.0398595034
14.0000,15.0000,6336435,0.0365980280,1611707,4724728,0.0567464461,0.0326442014
15.0000,16.0000,5398484,0.0311806037,1498588,3899896,0.0527636494,0.0269452528
16.0000,17.0000,4474041,0.0258411990,1350031,3124010,0.0475331194,0.0215844831
17.0000,18.0000,3559579,0.0205594426,1162032,2397547,0.0409138796,0.0165651879
18.0000,19.0000,2882202,0.0166470436,1013290,1868912,0.0356768360,0.0129127306
19.0000,20.0000,2077725,0.0120005394,784492,1293233,0.0276211079,0.0089352357
20.0000,21.0000,1978528,0.0114275966,786405,1192123,0.0276884626,0.0082366442
21.0000,22.0000,1390787,0.0080329178,591846,798941,0.0208382523,0.0055200619
22.0000,23.0000,1092498,0.0063100580,489119,603379,0.0172213467,0.0041688803
23.0000,24.0000,828053,0.0047826746,389509,438544,0.0137141872,0.0030299985
24.0000,25.0000,578679,0.0033423384,286241,292438,0.0100782335,0.0020205195
25.0000,26.0000,581448,0.0033583316,293821,287627,0.0103451170,0.0019872792
26.0000,27.0000,390497,0.0022554355,207615,182882,0.0073098978,0.0012635726
27.0000,28.0000,295531,0.0017069301,162140,133391,0.0057087726,0.0009216282
28.0000,29.0000,238603,0.0013781250,135106,103497,0.0047569349,0.0007150839
29.0000,30.0000,168177,0.0009713580,98824,69353,0.0034794853,0.0004791754
30.0000,31.0000,151404,0.0008744803,90383,61021,0.0031822869,0.0004216077
31.0000,32.0000,106665,0.0006160765,65525,41140,0.0023070638,0.0002842455
32.0000,33.0000,88186,0.0005093453,55555,32631,0.0019560310,0.0002254549
33.0000,34.0000,63838,0.0003687160,41666,22172,0.0014670144,0.0001531913
34.0000,35.0000,53459,0.0003087689,34923,18536,0.0012296007,0.0001280694
35.0000,36.0000,42086,0.0002430806,28108,13978,0.0009896520,0.0000965771
36.0000,37.0000,33526,0.0001936397,22841,10685,0.0008042067,0.0000738251
37.0000,38.0000,25635,0.0001480628,17848,7787,0.0006284086,0.0000538021
38.0000,39.0000,20651,0.0001192762,14632,6019,0.0005151768,0.0000415866
39.0000,40.0000,13824,0.0000798448,10077,3747,0.0003548002,0.0000258889
40.0000,41.0000,15747,0.0000909516,11428,4319,0.0004023674,0.0000298409
41.0000,42.0000,10373,0.0000599124,7699,2674,0.0002710734,0.0000184753
42.0000,43.0000,8673,0.0000500936,6502,2171,0.0002289283,0.0000149999
43.0000,44.0000,6296,0.0000363645,4882,1414,0.0001718899,0.0000097696
44.0000,45.0000,5338,0.0000308313,4124,1214,0.0001452015,0.0000083878
45.0000,46.0000,4357,0.0000251652,3481,876,0.0001225622,0.0000060525
46.0000,47.0000,3394,0.0000196031,2721,673,0.0000958034,0.0000046499
47.0000,48.0000,2589,0.0000149536,2125,464,0.0000748189,0.0000032059
48.0000,49.0000,2625,0.0000151615,2093,532,0.0000736922,0.0000036757
49.0000,50.0000,638,0.0000036850,577,61,0.0000203155,0.0000004215
50.0000,51.0000,2132,0.0000123140,1759,373,0.0000619325,0.0000025771
