bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,2420890,0.0139825943,52143,2368747,0.0018358982,0.0163662023
1.0000,2.0000,2613025,0.0150923291,72858,2540167,0.0025652507,0.0175505814
2.0000,3.0000,3065026,0.0177029998,118352,2946674,0.0041670449,0.0203592290
3.0000,4.0000,2913756,0.0168292934,136518,2777238,0.0048066499,0.0191885579
4.0000,5.0000,3151966,0.0182051485,176021,2975945,0.0061975075,0.0205614689
5.0000,6.0000,3505246,0.0202456257,219601,3285645,0.0077319118,0.0227012554
6.0000,7.0000,3364329,0.0194317162,227469,3136860,0.0080089355,0.0216732666
7.0000,8.0000,3375102,0.0194939390,245731,3129371,0.0086519206,0.0216215234
8.0000,9.0000,3601110,0.0207993177,278271,3322839,0.0097976185,0.0229582371
9.0000,10.0000,3213534,0.0185607534,257066,2956468,0.0090510136,0.0204268980
10.0000,11.0000,3930604,0.0227024116,329607,3600997,0.0116051031,0.0248800928
11.0000,12.0000,3645590,0.0210562256,319324,3326266,0.0112430498,0.0229819150
12.0000,13.0000,3876992,0.0223927590,350579,3526413,0.0123435043,0.0243647753
13.0000,14.0000,3797014,0.0219308214,358601,3438413,0.0126259502,0.0237567637
14.0000,15.0000,3691266,0.0213200414,361008,3330258,0.0127106980,0.0230094966
15.0000,16.0000,4048054,0.0233807801,409530,3638524,0.0144191047,0.0251393753
16.0000,17.0000,4160800,0.0240319793,440308,3720492,0.0155027646,0.0257057105
17.0000,18.0000,3967654,0.0229164052,428797,3538857,0.0150974748,0.0244507537
18.0000,19.0000,4164630,0.0240541006,465380,3699250,0.0163855223,0.0255589448
19.0000,20.0000,3230465,0.0186585436,380969,2849496,0.0134135031,0.0196878045
20.0000,21.0000,5117758,0.0295591844,601314,4516444,0.0211716103,0.0312051207
21.0000,22.0000,3938721,0.0227492938,488505,3450216,0.0171997284,0.0238383132
22.0000,23.0000,4186927,0.0241828838,539186,3647741,0.0189841511,0.0252030576
