bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,7034371,0.0575373574,151564,6882807,0.0096187628,0.0646270913
1.0000,2.0000,6450531,0.0527618614,246122,6204409,0.0156197325,0.0582571772
2.0000,3.0000,6612229,0.0540844637,346729,6265500,0.0220045922,0.0588307998
3.0000,4.0000,6971985,0.0570270736,435242,6536743,0.0276219258,0.0613776743
4.0000,5.0000,7508292,0.0614137754,533137,6975155,0.0338346728,0.0654942059
5.0000,6.0000,8080450,0.0660937189,642254,7438196,0.0407596058,0.0698419950
6.0000,7.0000,8168997,0.0668179856,722723,7446274,0.0458664401,0.0699178445
7.0000,8.0000,7973622,0.0652199236,786882,7186740,0.0499381867,0.0674809132
8.0000,9.0000,8065669,0.0659728183,883311,7182358,0.0560578964,0.0674397678
9.0000,10.0000,6867144,0.0561695308,845178,6021966,0.0536378475,0.0565441028
10.0000,11.0000,7277692,0.0595275918,979436,6298256,0.0621583132,0.0591383669
11.0000,12.0000,5835002,0.0477271665,881177,4953825,0.0559224655,0.0465146415
12.0000,13.0000,5533244,0.0452589489,905133,4628111,0.0574427941,0.0434563038
13.0000,14.0000,4595614,0.0375896417,830918,3764696,0.0527328598,0.0353491464
14.0000,15.0000,3983598,0.0325836812,773601,3209997,0.0490953296,0.0301407215
15.0000,16.0000,3486499,0.0285176797,732050,2754449,0.0464583629,0.0258632891
16.0000,17.0000,3040107,0.0248664341,680414,2359693,0.0431813682,0.0221566717
17.0000,18.0000,2395560,0.0195943876,581117,1814443,0.0368796455,0.0170369696
18.0000,19.0000,2116143,0.0173089074,537533,1578610,0.0341136578,0.0148225822
19.0000,20.0000,1439142,0.0117714047,393017,1046125,0.0249421849,0.0098227389
20.0000,21.0000,1708228,0.0139723829,472767,1235461,0.0300033889,0.0116005361
21.0000,22.0000,1157859,0.0094706616,340441,817418,0.0216055345,0.0076752621
22.0000,23.0000,1004478,0.0082160878,310181,694297,0.0196851328,0.0065192000
23.0000,24.0000,785713,0.0064267082,246470,539243,0.0156418178,0.0050632985
24.0000,25.0000,534711,0.0043736473,180740,353971,0.0114703702,0.0033236608
25.0000,26.0000,702646,0.0057472650,228285,474361,0.0144877363,0.0044540798
26.0000,27.0000,466437,0.0038152029,161467,304970,0.0102472406,0.0028635590
27.0000,28.0000,371777,0.0030409352,130259,241518,0.0082666756,0.0022677675
28.0000,29.0000,332504,0.0027197032,118517,213987,0.0075214887,0.0020092612
29.0000,30.0000,235494,0.0019262138,86485,149009,0.0054886299,0.0013991411
30.0000,31.0000,250224,0.0020466972,91247,158977,0.0057908425,0.0014927371
31.0000,32.0000,177257,0.0014498666,66542,110715,0.0042229798,0.0010395742
32.0000,33.0000,153047,0.0012518418,59049,93998,0.0037474488,0.0008826075
33.0000,34.0000,136640,0.0011176414,49065,87575,0.0031138304,0.0008222979
34.0000,35.0000,117927,0.0009645792,44103,73824,0.0027989252,0.0006931809
35.0000,36.0000,97088,0.0007941274,37903,59185,0.0024054523,0.0005557259
36.0000,37.0000,83747,0.0006850053,32473,51274,0.0020608461,0.0004814445
37.0000,38.0000,72842,0.0005958082,27817,45025,0.0017653607,0.0004227686
38.0000,39.0000,58740,0.0004804615,23432,35308,0.0014870738,0.0003315295
39.0000,40.0000,37113,0.0003035643,15204,21909,0.0009648971,0.0002057177
40.0000,41.0000,59900,0.0004899497,23160,36740,0.0014698117,0.0003449754
41.0000,42.0000,37683,0.0003082266,15444,22239,0.0009801283,0.0002088162
42.0000,43.0000,35863,0.0002933400,14315,21548,0.0009084782,0.0002023280
43.0000,44.0000,22582,0.0001847086,9709,12873,0.0006161659,0.0001208729
44.0000,45.0000,25659,0.0002098768,10431,15228,0.0006619865,0.0001429855
45.0000,46.0000,23998,0.0001962907,10138,13860,0.0006433917,0.0001301404
46.0000,47.0000,17402,0.0001423390,7683,9719,0.0004875891,0.0000912579
47.0000,48.0000,15448,0.0001263563,6705,8743,0.0004255219,0.0000820936
48.0000,49.0000,16570,0.0001355337,7466,9104,0.0004738176,0.0000854833
49.0000,50.0000,473,0.0000038689,376,97,0.0000238622,0.0000009108
50.0000,51.0000,20434,0.0001671391,8899,11535,0.0005647606,0.0001083095
51.0000,52.0000,8681,0.0000710059,4375,4306,0.0002776523,0.0000404318
52.0000,53.0000,9196,0.0000752183,4361,4835,0.0002767638,0.0000453989
53.0000,54.0000,6084,0.0000497638,3106,2978,0.0001971172,0.0000279624
54.0000,55.0000,5150,0.0000421242,2679,2471,0.0001700184,0.0000232018
55.0000,56.0000,5113,0.0000418216,2601,2512,0.0001650682,0.0000235868
56.0000,57.0000,4043,0.0000330696,2078,1965,0.0001318769,0.0000184506
57.0000,58.0000,3965,0.0000324316,2166,1799,0.0001374617,0.0000168920
58.0000,59.0000,2999,0.0000245302,1661,1338,0.0001054127,0.0000125633
59.0000,60.0000,1770,0.0000144776,1013,757,0.0000642884,0.0000071080
60.0000,61.0000,3037,0.0000248410,1706,1331,0.0001082685,0.0000124976
61.0000,62.0000,1842,0.0000150666,1136,706,0.0000720944,0.0000066291
62.0000,63.0000,1655,0.0000135370,907,748,0.0000575613,0.0000070235
63.0000,64.0000,1118,0.0000091446,676,442,0.0000429012,0.0000041502
64.0000,65.0000,1111,0.0000090874,726,385,0.0000460744,0.0000036150
65.0000,66.0000,1073,0.0000087766,682,391,0.0000432820,0.0000036713
66.0000,67.0000,1013,0.0000082858,655,358,0.0000415685,0.0000033615
67.0000,68.0000,387,0.0000031655,215,172,0.0000136446,0.0000016150
68.0000,69.0000,627,0.0000051285,432,195,0.0000274162,0.0000018310
69.0000,70.0000,348,0.0000028465,231,117,0.0000146600,0.0000010986
70.0000,71.0000,396,0.0000032391,283,113,0.0000179601,0.0000010610
71.0000,72.0000,191,0.0000015623,125,66,0.0000079329,0.0000006197
72.0000,73.0000,298,0.0000024375,209,89,0.0000132638,0.0000008357
73.0000,74.0000,226,0.0000018486,172,54,0.0000109157,0.0000005070
74.0000,75.0000,82,0.0000006707,59,23,0.0000037443,0.0000002160
75.0000,76.0000,189,0.0000015459,139,50,0.0000088214,0.0000004695
