bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,5593872,0.0457548532,106792,5487080,0.0067773806,0.0515217149
1.0000,2.0000,3677489,0.0300798748,123212,3554277,0.0078194492,0.0333733874
2.0000,3.0000,4021953,0.0328974044,160819,3861134,0.0102061163,0.0362546646
3.0000,4.0000,3768837,0.0308270521,200720,3568117,0.0127383684,0.0335033400
4.0000,5.0000,4296396,0.0351422000,261143,4035253,0.0165730159,0.0378895796
5.0000,6.0000,4369567,0.0357406992,284971,4084596,0.0180852212,0.0383528927
6.0000,7.0000,4574914,0.0374203268,335884,4239030,0.0213163319,0.0398029726
7.0000,8.0000,4359977,0.0356622582,346267,4013710,0.0219752721,0.0376872986
8.0000,9.0000,4817722,0.0394063652,398842,4418880,0.0253118590,0.0414916997
9.0000,10.0000,4067909,0.0332732996,371508,3696401,0.0235771512,0.0347078808
10.0000,11.0000,4983116,0.0407591988,468671,4514445,0.0297434430,0.0423890208
11.0000,12.0000,4508067,0.0368735545,443649,4064418,0.0281554624,0.0381634285
12.0000,13.0000,4529533,0.0370491348,483826,4045707,0.0307052304,0.0379877389
13.0000,14.0000,4402988,0.0360140650,482533,3920455,0.0306231723,0.0368116676
14.0000,15.0000,4103459,0.0335640794,496401,3607058,0.0315032823,0.0338689820
15.0000,16.0000,4290640,0.0350951190,519553,3771087,0.0329725864,0.0354091556
16.0000,17.0000,4105971,0.0335846263,544729,3561242,0.0345703403,0.0334387862
17.0000,18.0000,3897144,0.0318765341,516353,3380791,0.0327695036,0.0317444160
18.0000,19.0000,3908938,0.0319730027,550739,3358199,0.0349517551,0.0315322852
19.0000,20.0000,2728375,0.0223166346,422492,2305883,0.0268127678,0.0216514151
20.0000,21.0000,4175653,0.0341545874,638694,3536959,0.0405336762,0.0332107775
21.0000,22.0000,3230390,0.0264228463,510106,2720284,0.0323730479,0.0255424919
22.0000,23.0000,3068621,0.0250996632,528126,2540495,0.0335166579,0.0238543377
23.0000,24.0000,2795469,0.0228654273,489439,2306030,0.0310614503,0.0216527953
24.0000,25.0000,1981409,0.0162068560,367935,1613474,0.0233503965,0.0151499427
25.0000,26.0000,3283523,0.0268574456,600273,2683250,0.0380953499,0.0251947560
26.0000,27.0000,2222199,0.0181763882,458781,1763418,0.0291157902,0.0165578631
27.0000,28.0000,2089991,0.0170949981,436025,1653966,0.0276716177,0.0155301480
28.0000,29.0000,1947891,0.0159326968,437114,1510777,0.0277407293,0.0141856546
29.0000,30.0000,1551216,0.0126881095,338209,1213007,0.0214638843,0.0113897010
30.0000,31.0000,1665381,0.0136219176,414663,1250718,0.0263159131,0.0117437938
31.0000,32.0000,1256623,0.0102784978,318582,938041,0.0202182886,0.0088078688
32.0000,33.0000,1228203,0.0100460375,327106,901097,0.0207592504,0.0084609779
33.0000,34.0000,991087,0.0081065566,269936,721151,0.0171310493,0.0067713495
34.0000,35.0000,1005220,0.0082221570,284593,720627,0.0180612320,0.0067664293
35.0000,36.0000,773044,0.0063230826,245902,527142,0.0156057706,0.0049496745
36.0000,37.0000,678236,0.0055476043,220066,458170,0.0139661309,0.0043020521
37.0000,38.0000,626924,0.0051278999,202553,424371,0.0128546968,0.0039846916
38.0000,39.0000,461827,0.0037774956,171495,290332,0.0108836513,0.0027261134
39.0000,40.0000,289040,0.0023641912,110068,178972,0.0069852867,0.0016804829
40.0000,41.0000,467986,0.0038278728,167613,300373,0.0106372865,0.0028203948
41.0000,42.0000,274690,0.0022468159,116438,158252,0.0073895483,0.0014859296
42.0000,43.0000,207960,0.0017010005,93466,114494,0.0059316677,0.0010750576
43.0000,44.0000,177873,0.0014549051,77596,100277,0.0049245040,0.0009415651
44.0000,45.0000,194233,0.0015887211,82506,111727,0.0052361091,0.0010490765
45.0000,46.0000,106423,0.0008704827,54630,51793,0.0034670041,0.0004863177
46.0000,47.0000,106041,0.0008673581,51985,54056,0.0032991435,0.0005075665
47.0000,48.0000,65868,0.0005387647,35994,29874,0.0022843007,0.0002805062
48.0000,49.0000,97674,0.0007989206,48323,49351,0.0030667406,0.0004633882
49.0000,50.0000,3044,0.0000248983,2637,407,0.0001673529,0.0000038216
50.0000,51.0000,72022,0.0005891011,39895,32127,0.0025318713,0.0003016610
51.0000,52.0000,33771,0.0002762285,22031,11740,0.0013981616,0.0001102344
52.0000,53.0000,33282,0.0002722288,16642,16640,0.0010561575,0.0001562436
53.0000,54.0000,21249,0.0001738053,13331,7918,0.0008460302,0.0000743472
54.0000,55.0000,11082,0.0000906448,7914,3168,0.0005022491,0.0000297464
55.0000,56.0000,9955,0.0000814265,7419,2536,0.0004708348,0.0000238121
56.0000,57.0000,16350,0.0001337342,8624,7726,0.0005473081,0.0000725444
57.0000,58.0000,6169,0.0000504591,4579,1590,0.0002905988,0.0000149295
58.0000,59.0000,3614,0.0000295606,2969,645,0.0001884228,0.0000060563
59.0000,60.0000,2963,0.0000242357,2371,592,0.0001504717,0.0000055587
60.0000,61.0000,7178,0.0000587122,4129,3049,0.0002620403,0.0000286290
61.0000,62.0000,1812,0.0000148212,1480,332,0.0000939258,0.0000031174
62.0000,63.0000,1443,0.0000118030,1259,184,0.0000799004,0.0000017277
63.0000,64.0000,774,0.0000063309,695,79,0.0000441070,0.0000007418
64.0000,65.0000,2349,0.0000192136,1469,880,0.0000932277,0.0000082629
65.0000,66.0000,761,0.0000062246,672,89,0.0000426474,0.0000008357
66.0000,67.0000,364,0.0000029773,338,26,0.0000214506,0.0000002441
67.0000,68.0000,181,0.0000014805,170,11,0.0000107888,0.0000001033
68.0000,69.0000,756,0.0000061837,507,249,0.0000321759,0.0000023380
69.0000,70.0000,179,0.0000014641,162,17,0.0000102811,0.0000001596
70.0000,71.0000,128,0.0000010470,125,3,0.0000079329,0.0000000282
71.0000,72.0000,53,0.0000004335,52,1,0.0000033001,0.0000000094
72.0000,73.0000,234,0.0000019140,167,67,0.0000105984,0.0000006291
73.0000,74.0000,44,0.0000003599,41,3,0.0000026020,0.0000000282
74.0000,75.0000,13,0.0000001063,13,0,0.0000008250,0.0000000000
75.0000,76.0000,20,0.0000001636,19,1,0.0000012058,0.0000000094
76.0000,77.0000,75,0.0000006135,59,16,0.0000037443,0.0000001502
77.0000,78.0000,3,0.0000000245,3,0,0.0000001904,0.0000000000
78.0000,79.0000,6,0.0000000491,6,0,0.0000003808,0.0000000000
79.0000,80.0000,1,0.0000000082,1,0,0.0000000635,0.0000000000
80.0000,81.0000,12,0.0000000982,12,0,0.0000007616,0.0000000000
81.0000,82.0000,1,0.0000000082,1,0,0.0000000635,0.0000000000
82.0000,83.0000,2,0.0000000164,2,0,0.0000001269,0.0000000000
83.0000,84.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
84.0000,85.0000,4,0.0000000327,4,0,0.0000002539,0.0000000000
85.0000,86.0000,1,0.0000000082,1,0,0.0000000635,0.0000000000
86.0000,87.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
87.0000,88.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
88.0000,89.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
89.0000,90.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
90.0000,91.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
91.0000,92.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
92.0000,93.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
93.0000,94.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
94.0000,95.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
95.0000,96.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
96.0000,97.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
97.0000,98.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
98.0000,99.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
99.0000,100.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
