bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,4282646,0.0350264013,101437,4181209,0.0064389502,0.0392544915
1.0000,2.0000,6145236,0.0502599332,246594,5898642,0.0156531294,0.0553782870
2.0000,3.0000,7217855,0.0590325433,394480,6823375,0.0250405382,0.0640599683
3.0000,4.0000,8118659,0.0663999331,527387,7591272,0.0334771201,0.0712692243
4.0000,5.0000,9185758,0.0751273969,678017,8507741,0.0430387107,0.0798733205
5.0000,6.0000,10152311,0.0830325268,850493,9301818,0.0539870271,0.0873283625
6.0000,7.0000,10490288,0.0857967334,997021,9493267,0.0632882337,0.0891257453
7.0000,8.0000,10239329,0.0837442194,1109131,9130198,0.0704046775,0.0857171406
8.0000,9.0000,9818818,0.0803049935,1208678,8610140,0.0767236556,0.0808346742
9.0000,10.0000,8508324,0.0695868794,1188594,7319730,0.0754487768,0.0687199035
10.0000,11.0000,7847111,0.0641790283,1235652,6611459,0.0784358931,0.0620704349
11.0000,12.0000,6351840,0.0519496817,1120668,5231172,0.0711370155,0.0491118709
12.0000,13.0000,5303631,0.0433767133,1043171,4260460,0.0662177127,0.0399985245
13.0000,14.0000,4189965,0.0342683928,909859,3280106,0.0577554225,0.0307946560
14.0000,15.0000,3276663,0.0267987859,777073,2499590,0.0493265214,0.0234669289
15.0000,16.0000,2585528,0.0211462122,665261,1920267,0.0422289938,0.0180280643
16.0000,17.0000,1996998,0.0163328123,550679,1446319,0.0349556341,0.0135784929
17.0000,18.0000,1502436,0.0122879468,439089,1063347,0.0278721985,0.0099830326
18.0000,19.0000,1152141,0.0094229953,354642,797499,0.0225117282,0.0074871688
19.0000,20.0000,795543,0.0065064935,259409,536134,0.0164665914,0.0050333929
20.0000,21.0000,735929,0.0060189295,241510,494419,0.0153304106,0.0046417595
21.0000,22.0000,502753,0.0041118571,173701,329052,0.0110260762,0.0030892426
22.0000,23.0000,392730,0.0032120139,136626,256104,0.0086726541,0.0024043841
23.0000,24.0000,290376,0.0023748931,104655,185721,0.0066432203,0.0017436066
24.0000,25.0000,205642,0.0016818806,75112,130530,0.0047679094,0.0012254563
25.0000,26.0000,211924,0.0017332591,75377,136547,0.0047847309,0.0012819457
26.0000,27.0000,146093,0.0011948482,53183,92910,0.0033759150,0.0008722680
27.0000,28.0000,110282,0.0009019614,40722,69560,0.0025849239,0.0006530509
28.0000,29.0000,94966,0.0007766967,34508,60458,0.0021904758,0.0005675985
29.0000,30.0000,68316,0.0005587349,25432,42884,0.0016143555,0.0004026083
30.0000,31.0000,65405,0.0005349267,23512,41893,0.0014924790,0.0003933045
31.0000,32.0000,47684,0.0003899923,17258,30426,0.0010954918,0.0002856488
32.0000,33.0000,43252,0.0003537444,15971,27281,0.0010137965,0.0002561225
33.0000,34.0000,31862,0.0002605892,12108,19754,0.0007685835,0.0001854567
34.0000,35.0000,26684,0.0002182400,10061,16623,0.0006386454,0.0001560619
35.0000,36.0000,23956,0.0001959285,9165,14791,0.0005817698,0.0001388625
36.0000,37.0000,19994,0.0001635246,7720,12274,0.0004900450,0.0001152321
37.0000,38.0000,15618,0.0001277347,6168,9450,0.0003915282,0.0000887195
38.0000,39.0000,13602,0.0001112464,5682,7920,0.0003606782,0.0000743554
39.0000,40.0000,9015,0.0000737308,3869,5146,0.0002455938,0.0000483122
40.0000,41.0000,10986,0.0000898510,4678,6308,0.0002969470,0.0000592215
41.0000,42.0000,7256,0.0000593445,3130,4126,0.0001986841,0.0000387362
42.0000,43.0000,6077,0.0000497019,2718,3359,0.0001725314,0.0000315353
43.0000,44.0000,5011,0.0000409834,2308,2703,0.0001465057,0.0000253766
44.0000,45.0000,4088,0.0000334345,1884,2204,0.0001195913,0.0000206918
45.0000,46.0000,3585,0.0000293206,1724,1861,0.0001094349,0.0000174716
46.0000,47.0000,2859,0.0000233829,1409,1450,0.0000894396,0.0000136131
