bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,1174506,0.0096059115,21666,1152840,0.0013752999,0.0108232207
1.0000,2.0000,1246777,0.0101969931,29457,1217320,0.0018698518,0.0114285790
2.0000,3.0000,1750717,0.0143185582,46449,1704268,0.0029484586,0.0160001984
3.0000,4.0000,1632823,0.0133543407,57864,1574959,0.0036730524,0.0147862053
4.0000,5.0000,2011921,0.0164548628,81263,1930658,0.0051583585,0.0181256182
5.0000,6.0000,2034793,0.0166419256,93089,1941704,0.0059090414,0.0182293215
6.0000,7.0000,2243710,0.0183505914,119797,2123913,0.0076043940,0.0199399563
7.0000,8.0000,2172415,0.0177674922,124688,2047727,0.0079148617,0.0192246984
8.0000,9.0000,2398718,0.0196183526,144238,2254480,0.0091558435,0.0211657599
9.0000,10.0000,2133873,0.0174522695,138327,1995546,0.0087806290,0.0187348070
10.0000,11.0000,2628541,0.0214980019,180808,2447733,0.0114772096,0.0229800793
11.0000,12.0000,2458215,0.0201049596,168330,2289885,0.0106851394,0.0214981531
12.0000,13.0000,2606071,0.0213142269,193228,2412843,0.0122655980,0.0226525211
13.0000,14.0000,2577465,0.0210802675,195044,2382421,0.0123808729,0.0223669099
14.0000,15.0000,2616397,0.0213986800,208536,2407861,0.0132373091,0.0226057485
15.0000,16.0000,2734445,0.0223641571,221611,2512834,0.0140672752,0.0235912677
16.0000,17.0000,2887256,0.0236139497,245207,2642049,0.0155650863,0.0248043783
17.0000,18.0000,2662661,0.0217770585,231555,2431106,0.0146984938,0.0228239798
18.0000,19.0000,2912938,0.0238239946,264240,2648698,0.0167732504,0.0248668012
19.0000,20.0000,2264119,0.0185175101,215404,2048715,0.0136732714,0.0192339741
20.0000,21.0000,3403547,0.0278365298,327802,3075745,0.0208079966,0.0288760514
21.0000,22.0000,2726488,0.0222990793,274382,2452106,0.0174170375,0.0230211343
22.0000,23.0000,2940822,0.0240520490,304158,2636664,0.0193071386,0.0247538223
23.0000,24.0000,2741543,0.0224222094,289675,2451868,0.0183877964,0.0230188999
24.0000,25.0000,2133834,0.0174519505,240449,1893385,0.0152630612,0.0177756877
25.0000,26.0000,3453659,0.0282463799,385743,3067916,0.0244859368,0.0288025503
26.0000,27.0000,2837864,0.0232099882,336177,2501687,0.0213396193,0.0234866162
27.0000,28.0000,2661128,0.0217645206,317013,2344115,0.0201231397,0.0220072812
28.0000,29.0000,2886609,0.0236086581,356902,2529707,0.0226551870,0.0237496767
29.0000,30.0000,2284722,0.0186860155,296054,1988668,0.0187927183,0.0186702341
30.0000,31.0000,2978741,0.0243621765,386743,2591998,0.0245494141,0.0243344840
31.0000,32.0000,2444843,0.0199955943,337480,2107363,0.0214223302,0.0197845798
32.0000,33.0000,2643494,0.0216202977,366349,2277145,0.0232548574,0.0213785460
33.0000,34.0000,2294028,0.0187621263,333825,1960203,0.0211903206,0.0184029959
34.0000,35.0000,2505394,0.0204908217,362952,2142442,0.0230392249,0.0201139123
35.0000,36.0000,2484153,0.0203170983,364675,2119478,0.0231485963,0.0198983191
36.0000,37.0000,2362594,0.0193229059,371179,1991415,0.0235614529,0.0186960238
37.0000,38.0000,2262024,0.0185003758,353334,1908690,0.0224286999,0.0179193758
38.0000,39.0000,2224621,0.0181944685,369513,1855108,0.0234556996,0.0174163313
39.0000,40.0000,1592678,0.0130260075,275231,1317447,0.0174709298,0.0123686025
40.0000,41.0000,2374139,0.0194173288,414694,1959445,0.0263236690,0.0183958795
41.0000,42.0000,2039594,0.0166811915,356688,1682906,0.0226416029,0.0157996453
42.0000,43.0000,1805051,0.0147629388,345499,1459552,0.0219313550,0.0137027285
43.0000,44.0000,1603399,0.0131136911,308131,1295268,0.0195593340,0.0121603791
44.0000,45.0000,1756640,0.0143670006,341808,1414832,0.0216970601,0.0132828832
45.0000,46.0000,1532222,0.0125315570,320066,1212156,0.0203169360,0.0113800978
46.0000,47.0000,1385139,0.0113286119,299803,1085336,0.0190306948,0.0101894722
47.0000,48.0000,1273275,0.0104137118,290163,983112,0.0184187733,0.0092297614
48.0000,49.0000,1556868,0.0127331288,339223,1217645,0.0215329712,0.0114316302
49.0000,50.0000,206312,0.0016873603,73498,132814,0.0046654570,0.0012468992
50.0000,51.0000,1628319,0.0133175039,387338,1240981,0.0245871831,0.0116507159
51.0000,52.0000,1136847,0.0092979105,279841,857006,0.0177635603,0.0080458391
52.0000,53.0000,871180,0.0071251045,237908,633272,0.0151017653,0.0059453546
53.0000,54.0000,750273,0.0061362445,204638,545635,0.0129898744,0.0051225912
54.0000,55.0000,640537,0.0052387487,186828,453709,0.0118593431,0.0042595613
55.0000,56.0000,675760,0.0055268264,205304,470456,0.0130321503,0.0044167874
56.0000,57.0000,605237,0.0049500412,176970,428267,0.0112335836,0.0040207039
57.0000,58.0000,443914,0.0036306316,148135,295779,0.0094032147,0.0027768653
58.0000,59.0000,453317,0.0037075357,156164,297153,0.0099128742,0.0027897649
59.0000,60.0000,308931,0.0025266485,102308,206623,0.0064942390,0.0019398410
60.0000,61.0000,430413,0.0035202112,150695,279718,0.0095657167,0.0026260796
61.0000,62.0000,267168,0.0021850822,100184,166984,0.0063594131,0.0015676978
62.0000,63.0000,277532,0.0022698461,106568,170964,0.0067646524,0.0016050632
63.0000,64.0000,184555,0.0015094167,77837,106718,0.0049408851,0.0010019018
64.0000,65.0000,188562,0.0015421887,77220,111342,0.0049017196,0.0010453134
65.0000,66.0000,182126,0.0014895507,75270,106856,0.0047779388,0.0010031974
66.0000,67.0000,126447,0.0010341698,58904,67543,0.0037390688,0.0006341147
67.0000,68.0000,82150,0.0006718788,41432,40718,0.0026299928,0.0003822733
68.0000,69.0000,99801,0.0008162407,47418,52383,0.0030099682,0.0004917879
69.0000,70.0000,68070,0.0005567229,32428,35642,0.0020584429,0.0003346182
70.0000,71.0000,69261,0.0005664637,35908,33353,0.0022793441,0.0003131283
71.0000,72.0000,39119,0.0003199419,24060,15059,0.0015272646,0.0001413786
72.0000,73.0000,46719,0.0003820999,24795,21924,0.0015739205,0.0002058293
73.0000,74.0000,33915,0.0002773800,18166,15749,0.0011531292,0.0001478565
74.0000,75.0000,17402,0.0001423254,11237,6165,0.0007132948,0.0000578789
75.0000,76.0000,25155,0.0002057348,16404,8751,0.0010412822,0.0000821571
76.0000,77.0000,21269,0.0001739524,12022,9247,0.0007631245,0.0000868137
77.0000,78.0000,10414,0.0000851728,7364,3050,0.0004674471,0.0000286343
78.0000,79.0000,10661,0.0000871929,7382,3279,0.0004685897,0.0000307843
79.0000,80.0000,4110,0.0000336144,3333,777,0.0002115699,0.0000072947
80.0000,81.0000,10074,0.0000823920,6466,3608,0.0004104444,0.0000338730
81.0000,82.0000,3862,0.0000315861,3090,772,0.0001961450,0.0000072478
82.0000,83.0000,3134,0.0000256320,2615,519,0.0001659932,0.0000048725
83.0000,84.0000,1833,0.0000149915,1541,292,0.0000978186,0.0000027414
84.0000,85.0000,3074,0.0000251413,2147,927,0.0001362858,0.0000087030
85.0000,86.0000,952,0.0000077861,857,95,0.0000544001,0.0000008919
86.0000,87.0000,890,0.0000072790,802,88,0.0000509088,0.0000008262
87.0000,88.0000,504,0.0000041221,479,25,0.0000304056,0.0000002347
88.0000,89.0000,901,0.0000073690,717,184,0.0000455132,0.0000017274
89.0000,90.0000,233,0.0000019056,224,9,0.0000142189,0.0000000845
90.0000,91.0000,202,0.0000016521,197,5,0.0000125050,0.0000000469
91.0000,92.0000,129,0.0000010551,128,1,0.0000081251,0.0000000094
92.0000,93.0000,209,0.0000017093,185,24,0.0000117433,0.0000002253
93.0000,94.0000,42,0.0000003435,42,0,0.0000026660,0.0000000000
94.0000,95.0000,17,0.0000001390,17,0,0.0000010791,0.0000000000
95.0000,96.0000,22,0.0000001799,22,0,0.0000013965,0.0000000000
96.0000,97.0000,34,0.0000002781,33,1,0.0000020948,0.0000000094
97.0000,98.0000,9,0.0000000736,9,0,0.0000005713,0.0000000000
98.0000,99.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
99.0000,100.0000,13,0.0000001063,13,0,0.0000008252,0.0000000000
