bin_lo,bin_hi,count,fraction
0.0000,1.0000,27,0.0000000513
1.0000,2.0000,0,0.0000000000
2.0000,3.0000,2,0.0000000038
3.0000,4.0000,1,0.0000000019
4.0000,5.0000,1,0.0000000019
5.0000,6.0000,3,0.0000000057
6.0000,7.0000,7,0.0000000133
7.0000,8.0000,11,0.0000000209
8.0000,9.0000,25,0.0000000475
9.0000,10.0000,17,0.0000000323
10.0000,11.0000,24,0.0000000456
11.0000,12.0000,47,0.0000000893
12.0000,13.0000,17,0.0000000323
13.0000,14.0000,41,0.0000000779
14.0000,15.0000,51,0.0000000969
15.0000,16.0000,86,0.0000001634
16.0000,17.0000,115,0.0000002185
17.0000,18.0000,39,0.0000000741
18.0000,19.0000,124,0.0000002356
19.0000,20.0000,17,0.0000000323
20.0000,21.0000,250,0.0000004750
21.0000,22.0000,265,0.0000005035
22.0000,23.0000,168,0.0000003192
23.0000,24.0000,437,0.0000008303
24.0000,25.0000,57,0.0000001083
25.0000,26.0000,661,0.0000012558
26.0000,27.0000,598,0.0000011361
27.0000,28.0000,502,0.0000009538
28.0000,29.0000,802,0.0000015237
29.0000,30.0000,504,0.0000009576
30.0000,31.0000,1560,0.0000029638
31.0000,32.0000,1154,0.0000021925
32.0000,33.0000,303,0.0000005757
33.0000,34.0000,3320,0.0000063077
34.0000,35.0000,697,0.0000013242
35.0000,36.0000,3569,0.0000067808
36.0000,37.0000,2444,0.0000046434
37.0000,38.0000,2999,0.0000056978
38.0000,39.0000,5183,0.0000098472
39.0000,40.0000,1339,0.0000025440
40.0000,41.0000,7603,0.0000144450
41.0000,42.0000,7249,0.0000137724
42.0000,43.0000,10210,0.0000193980
43.0000,44.0000,7883,0.0000149769
44.0000,45.0000,8536,0.0000162176
45.0000,46.0000,12454,0.0000236614
46.0000,47.0000,15977,0.0000303547
47.0000,48.0000,23261,0.0000441936
48.0000,49.0000,13586,0.0000258121
49.0000,50.0000,1208,0.0000022951
50.0000,51.0000,64870,0.0001232467
51.0000,52.0000,21463,0.0000407776
52.0000,53.0000,60492,0.0001149289
53.0000,54.0000,46562,0.0000884633
54.0000,55.0000,49817,0.0000946474
55.0000,56.0000,72405,0.0001375624
56.0000,57.0000,82924,0.0001575475
57.0000,58.0000,116849,0.0002220017
58.0000,59.0000,119603,0.0002272340
59.0000,60.0000,92664,0.0001760526
60.0000,61.0000,231930,0.0004406444
61.0000,62.0000,211489,0.0004018085
62.0000,63.0000,258125,0.0004904123
63.0000,64.0000,270323,0.0005135873
64.0000,65.0000,364344,0.0006922180
65.0000,66.0000,482207,0.0009161462
66.0000,67.0000,617985,0.0011741112
67.0000,68.0000,518437,0.0009849797
68.0000,69.0000,872545,0.0016577503
69.0000,70.0000,808025,0.0015351686
70.0000,71.0000,1345744,0.0025567822
71.0000,72.0000,1321393,0.0025105177
72.0000,73.0000,1828863,0.0034746611
73.0000,74.0000,2088040,0.0039670721
74.0000,75.0000,1847513,0.0035100943
75.0000,76.0000,3747432,0.0071197549
76.0000,77.0000,3978795,0.0075593220
77.0000,78.0000,4454370,0.0084628681
78.0000,79.0000,5620059,0.0106775634
79.0000,80.0000,5228044,0.0099327731
80.0000,81.0000,9219901,0.0175169117
81.0000,82.0000,9091008,0.0172720276
82.0000,83.0000,10961232,0.0208252705
83.0000,84.0000,12272829,0.0233171768
84.0000,85.0000,14359627,0.0272818892
85.0000,86.0000,17085636,0.0324610402
86.0000,87.0000,18784171,0.0356880908
87.0000,88.0000,20294759,0.0385580605
88.0000,89.0000,23232980,0.0441403935
89.0000,90.0000,23348994,0.0443608088
90.0000,91.0000,28287485,0.0537434595
91.0000,92.0000,27801704,0.0528205230
92.0000,93.0000,30457233,0.0578657689
93.0000,94.0000,29670315,0.0563707015
94.0000,95.0000,30327696,0.0576196612
95.0000,96.0000,31737621,0.0602983810
96.0000,97.0000,33151451,0.0629845200
97.0000,98.0000,29345180,0.0557529767
98.0000,99.0000,41666017,0.0791613640
99.0000,100.0000,48288253,0.0917429658
