query_id,doc_id,total_nnz,unused_nnz,unused_pct
0,6518633,35,35,100.00
0,6079974,54,54,100.00
0,7218716,22,22,100.00
0,7096340,83,82,98.80
0,4764332,44,44,100.00
0,6298183,38,38,100.00
0,3672783,78,78,100.00
0,5896842,39,39,100.00
0,3546635,81,79,97.53
0,7142794,57,57,100.00
0,4113617,42,42,100.00
0,1507685,43,43,100.00
0,7096340,83,82,98.80
0,6083385,83,83,100.00
0,4430372,58,58,100.00
0,1704183,85,84,98.82
0,3746464,66,66,100.00
0,3875798,34,33,97.06
0,5408989,53,53,100.00
0,1408718,45,44,97.78
0,323242,62,62,100.00
0,6268018,62,61,98.39
0,972175,96,92,95.83
0,607560,88,88,100.00
0,6689447,67,67,100.00
0,5443167,76,76,100.00
0,3512226,81,81,100.00
0,5896842,39,39,100.00
0,5340010,68,67,98.53
0,3544965,76,76,100.00
0,7288210,52,52,100.00
0,7020974,58,58,100.00
0,1220196,64,64,100.00
0,6625822,64,64,100.00
0,3168209,76,76,100.00
0,1656265,77,77,100.00
0,3934054,61,56,91.80
0,8435527,90,87,96.67
0,2895497,54,51,94.44
0,3215124,69,66,95.65
0,5416358,53,53,100.00
0,2953786,83,83,100.00
0,3473686,74,73,98.65
0,3066436,88,86,97.73
0,2736696,62,55,88.71
0,1357057,58,58,100.00
0,361314,82,82,100.00
0,7207791,92,91,98.91
0,3695770,52,52,100.00
0,2749015,66,66,100.00
0,2638499,60,60,100.00
0,7218716,22,22,100.00
0,3181411,42,34,80.95
0,8698059,62,60,96.77
0,3864773,66,66,100.00
0,281033,68,64,94.12
0,3185437,62,61,98.39
0,417167,54,53,98.15
0,7743061,49,49,100.00
0,7063605,69,69,100.00
0,156480,74,73,98.65
0,3335048,93,88,94.62
0,1818089,55,55,100.00
0,4445367,86,84,97.67
0,26803,68,65,95.59
0,5001165,78,78,100.00
0,1825105,39,39,100.00
0,5141856,74,74,100.00
0,2255702,49,49,100.00
0,7094398,31,31,100.00
0,8477834,62,62,100.00
0,1455181,48,48,100.00
0,6710415,57,57,100.00
0,8224911,36,27,75.00
0,6443116,63,63,100.00
0,6583247,48,48,100.00
0,5623473,55,55,100.00
0,4790753,84,84,100.00
0,8682441,25,25,100.00
0,6482900,42,41,97.62
0,6347188,51,50,98.04
0,6070627,78,78,100.00
0,3181411,42,34,80.95
0,2627109,83,81,97.59
0,5119969,66,62,93.94
0,2640775,53,51,96.23
0,281033,68,64,94.12
0,5540062,63,53,84.13
0,26803,68,65,95.59
0,2487905,61,49,80.33
0,4858778,60,53,88.33
0,4018873,75,75,100.00
0,8714948,78,74,94.87
0,4985687,69,64,92.75
0,2913377,70,70,100.00
0,7884939,60,60,100.00
0,5008247,50,42,84.00
0,6115583,82,73,89.02
0,7772510,81,69,85.19
0,1282587,72,71,98.61
0,2268485,63,55,87.30
0,1312387,52,49,94.23
0,4767105,53,49,92.45
0,8224911,36,27,75.00
0,2840049,80,68,85.00
0,2161080,66,62,93.94
0,4105556,46,44,95.65
0,2867859,58,53,91.38
0,6334721,43,43,100.00
0,5058643,59,51,86.44
0,4987170,75,64,85.33
0,5328901,43,41,95.35
0,3439385,64,60,93.75
0,7590326,50,41,82.00
0,2089485,71,62,87.32
0,2698321,68,63,92.65
0,2075039,77,71,92.21
0,546570,74,67,90.54
0,3274645,62,59,95.16
0,3096353,76,71,93.42
0,739845,102,102,100.00
0,2941817,41,40,97.56
0,2099103,55,49,89.09
0,7292197,45,41,91.11
0,7939279,68,64,94.12
0,2948420,65,62,95.38
0,6216952,54,44,81.48
0,136121,69,68,98.55
0,7340172,38,38,100.00
0,8693684,63,61,96.83
0,4645330,74,74,100.00
0,2440916,71,68,95.77
0,2072675,54,54,100.00
0,3893427,69,58,84.06
0,2030736,53,47,88.68
0,2394816,50,38,76.00
0,2771112,88,75,85.23
0,1946210,64,53,82.81
0,5717918,76,64,84.21
0,3687872,60,46,76.67
0,1046750,57,55,96.49
0,6960494,60,57,95.00
0,6891127,78,78,100.00
0,2249881,62,60,96.77
0,4530417,60,58,96.67
0,807414,87,85,97.70
0,4009831,55,47,85.45
0,2009468,85,80,94.12
0,1545441,60,59,98.33
0,4197891,42,40,95.24
0,4712248,53,51,96.23
0,3466505,66,65,98.48
0,6137973,72,72,100.00
0,7958425,52,52,100.00
0,429931,67,65,97.01
0,8032286,44,44,100.00
0,3608534,53,51,96.23
0,2303010,39,38,97.44
0,4164191,70,70,100.00
0,8447788,57,57,100.00
0,2333329,60,53,88.33
0,5377386,74,67,90.54
0,1237852,78,76,97.44
0,8422559,56,42,75.00
0,3435778,59,50,84.75
0,4984397,89,78,87.64
0,7262978,73,69,94.52
0,146824,90,74,82.22
0,2948257,73,57,78.08
0,7832154,86,80,93.02
0,2049801,93,83,89.25
0,4824239,57,47,82.46
0,3943762,73,63,86.30
0,6150811,66,61,92.42
0,5289347,38,33,86.84
0,1205672,27,22,81.48
0,1113062,75,72,96.00
0,819072,59,59,100.00
0,3426041,88,85,96.59
0,5202215,99,95,95.96
0,7814817,72,67,93.06
0,1143289,41,41,100.00
0,2345199,42,41,97.62
0,6888169,57,57,100.00
0,1350132,68,67,98.53
0,3890146,37,37,100.00
0,1780152,70,69,98.57
0,5622960,77,76,98.70
0,5940448,63,63,100.00
0,6203708,80,78,97.50
0,727073,55,54,98.18
0,3185424,37,36,97.30
0,3785056,57,55,96.49
0,7243287,53,53,100.00
0,2474566,66,57,86.36
0,2126458,61,54,88.52
0,8508396,77,59,76.62
0,5432737,81,78,96.30
0,6522754,77,66,85.71
0,2920459,80,71,88.75
0,5666767,59,59,100.00
0,4665349,71,71,100.00
0,2212496,83,70,84.34
0,8546354,69,68,98.55
0,7972924,79,73,92.41
0,6150432,90,88,97.78
0,5235131,73,70,95.89
0,1123719,33,31,93.94
0,1903172,102,94,92.16
0,4569225,52,47,90.38
0,517368,80,78,97.50
0,843882,64,63,98.44
0,4924440,74,74,100.00
0,7914521,65,63,96.92
0,1277348,85,85,100.00
0,3602990,55,55,100.00
0,2779995,76,76,100.00
0,3315016,83,74,89.16
0,146824,90,74,82.22
0,4578579,88,79,89.77
0,8765909,71,62,87.32
0,2427340,91,84,92.31
0,2656257,65,56,86.15
0,1469196,75,75,100.00
0,8808519,84,69,82.14
0,1595854,71,58,81.69
0,3182502,71,61,85.92
0,6491952,60,55,91.67
0,6830133,65,48,73.85
0,2495342,66,52,78.79
0,6276072,76,68,89.47
0,8219800,83,76,91.57
0,3007368,35,23,65.71
0,3408716,86,74,86.05
0,7288327,73,63,86.30
0,3791218,75,65,86.67
0,3345694,77,68,88.31
0,2493239,66,53,80.30
0,2408875,61,51,83.61
0,5396697,51,41,80.39
0,2503987,84,73,86.90
0,3687872,60,46,76.67
0,8841336,73,67,91.78
0,5814013,44,42,95.45
0,449957,68,64,94.12
