bin_lo,bin_hi,count,fraction
0.0000,1.0000,1,0.0000000445
1.0000,2.0000,0,0.0000000000
2.0000,3.0000,0,0.0000000000
3.0000,4.0000,0,0.0000000000
4.0000,5.0000,1,0.0000000445
5.0000,6.0000,1,0.0000000445
6.0000,7.0000,0,0.0000000000
7.0000,8.0000,5,0.0000002227
8.0000,9.0000,2,0.0000000891
9.0000,10.0000,2,0.0000000891
10.0000,11.0000,1,0.0000000445
11.0000,12.0000,18,0.0000008017
12.0000,13.0000,7,0.0000003118
13.0000,14.0000,8,0.0000003563
14.0000,15.0000,19,0.0000008463
15.0000,16.0000,10,0.0000004454
16.0000,17.0000,13,0.0000005790
17.0000,18.0000,23,0.0000010244
18.0000,19.0000,26,0.0000011581
19.0000,20.0000,42,0.0000018707
20.0000,21.0000,41,0.0000018262
21.0000,22.0000,41,0.0000018262
22.0000,23.0000,47,0.0000020934
23.0000,24.0000,58,0.0000025834
24.0000,25.0000,41,0.0000018262
25.0000,26.0000,154,0.0000068592
26.0000,27.0000,144,0.0000064138
27.0000,28.0000,134,0.0000059684
28.0000,29.0000,125,0.0000055676
29.0000,30.0000,167,0.0000074383
30.0000,31.0000,271,0.0000120705
31.0000,32.0000,291,0.0000129613
32.0000,33.0000,228,0.0000101552
33.0000,34.0000,522,0.0000232502
34.0000,35.0000,430,0.0000191524
35.0000,36.0000,495,0.0000220476
36.0000,37.0000,593,0.0000264125
37.0000,38.0000,676,0.0000301094
38.0000,39.0000,885,0.0000394184
39.0000,40.0000,593,0.0000264125
40.0000,41.0000,1519,0.0000676571
41.0000,42.0000,1182,0.0000526469
42.0000,43.0000,1591,0.0000708640
43.0000,44.0000,1244,0.0000554084
44.0000,45.0000,1801,0.0000802175
45.0000,46.0000,2287,0.0001018642
46.0000,47.0000,2177,0.0000969647
47.0000,48.0000,2702,0.0001203485
48.0000,49.0000,3712,0.0001653345
49.0000,50.0000,183,0.0000081509
50.0000,51.0000,6683,0.0002976644
51.0000,52.0000,4770,0.0002124584
52.0000,53.0000,5493,0.0002446612
53.0000,54.0000,5563,0.0002477790
54.0000,55.0000,6536,0.0002911170
55.0000,56.0000,7785,0.0003467481
56.0000,57.0000,8550,0.0003808216
57.0000,58.0000,10578,0.0004711498
58.0000,59.0000,11672,0.0005198772
59.0000,60.0000,9398,0.0004185920
60.0000,61.0000,19766,0.0008803883
61.0000,62.0000,17332,0.0007719766
62.0000,63.0000,22120,0.0009852367
63.0000,64.0000,22635,0.0010081751
64.0000,65.0000,27849,0.0012404094
65.0000,66.0000,36879,0.0016426105
66.0000,67.0000,40589,0.0018078559
67.0000,68.0000,42039,0.0018724396
68.0000,69.0000,57345,0.0025541771
69.0000,70.0000,57745,0.0025719933
70.0000,71.0000,85543,0.0038101312
71.0000,72.0000,88519,0.0039426838
72.0000,73.0000,115296,0.0051353458
73.0000,74.0000,127313,0.0056705894
74.0000,75.0000,120416,0.0053633933
75.0000,76.0000,218118,0.0097150929
76.0000,77.0000,227722,0.0101428602
77.0000,78.0000,260185,0.0115887797
78.0000,79.0000,316394,0.0140923587
79.0000,80.0000,308655,0.0137476595
80.0000,81.0000,492475,0.0219351011
81.0000,82.0000,502396,0.0223769877
82.0000,83.0000,587609,0.0261724205
83.0000,84.0000,665966,0.0296624834
84.0000,85.0000,766482,0.0341395200
85.0000,86.0000,902420,0.0401942716
86.0000,87.0000,982328,0.0437534168
87.0000,88.0000,1074605,0.0478634840
88.0000,89.0000,1191549,0.0530722325
89.0000,90.0000,1228158,0.0547028171
90.0000,91.0000,1404317,0.0625490336
91.0000,92.0000,1379717,0.0614533363
92.0000,93.0000,1413968,0.0629788943
93.0000,94.0000,1348040,0.0600424258
94.0000,95.0000,1256835,0.0559801061
95.0000,96.0000,1188112,0.0529191467
96.0000,97.0000,1080308,0.0481174986
97.0000,98.0000,936945,0.0417320336
98.0000,99.0000,872224,0.0388493255
99.0000,100.0000,863003,0.0384386172
