query_id,doc_id,total_nnz,unused_nnz,unused_pct
0,1507685,55,55,100.00
0,2430150,65,63,96.92
0,2430150,65,63,96.92
0,2021708,81,80,98.77
0,1350132,83,83,100.00
0,2489407,72,71,98.61
0,2021072,96,95,98.96
0,2317720,76,76,100.00
0,2495710,38,38,100.00
0,969413,40,40,100.00
0,361314,68,68,100.00
0,571007,62,61,98.39
0,1408718,57,57,100.00
0,1704183,83,83,100.00
0,2550846,31,31,100.00
0,2430150,65,63,96.92
0,715939,65,65,100.00
0,1282420,31,31,100.00
0,1215829,57,56,98.25
0,299204,87,86,98.85
0,192858,76,74,97.37
0,1863094,70,69,98.57
0,1438629,75,75,100.00
0,1518675,79,77,97.47
0,1062929,83,82,98.80
0,727073,64,64,100.00
0,1225619,133,133,100.00
0,136339,73,72,98.63
0,473209,84,84,100.00
0,2076399,72,70,97.22
0,1490864,75,75,100.00
0,1392360,23,21,91.30
0,1813693,60,57,95.00
0,2273824,86,86,100.00
0,781217,108,107,99.07
0,321707,82,82,100.00
0,2208725,80,78,97.50
0,2336070,76,74,97.37
0,1753889,111,107,96.40
0,2675146,83,83,100.00
0,1336846,107,106,99.07
0,2051384,85,84,98.82
0,544029,73,73,100.00
0,837465,68,67,98.53
0,921437,105,104,99.05
0,1765162,115,110,95.65
0,1771550,94,90,95.74
0,2658936,83,81,97.59
0,2386553,93,93,100.00
0,169155,113,113,100.00
0,1697453,98,97,98.98
0,2140876,60,57,95.00
0,1542259,94,91,96.81
0,2296267,79,75,94.94
0,1525118,75,74,98.67
0,365283,87,85,97.70
0,464269,113,112,99.12
0,1094573,23,23,100.00
0,2602056,74,74,100.00
0,1613749,65,64,98.46
0,1474013,89,89,100.00
0,845843,71,71,100.00
0,420108,62,60,96.77
0,1259791,37,36,97.30
0,2062376,49,48,97.96
0,2267807,106,101,95.28
0,2326811,91,89,97.80
0,1234666,56,51,91.07
0,1354595,96,95,98.96
0,2060399,87,87,100.00
0,2086545,41,38,92.68
0,2679431,139,139,100.00
0,839388,123,122,99.19
0,211502,103,103,100.00
0,1600138,69,67,97.10
0,655711,82,79,96.34
0,2640775,113,111,98.23
0,1397004,114,112,98.25
0,478088,84,84,100.00
0,1318972,118,118,100.00
0,842762,47,45,95.74
0,2217864,77,77,100.00
0,2642978,98,97,98.98
0,1833066,69,66,95.65
0,276395,61,61,100.00
0,2638499,90,87,96.67
0,1214457,80,78,97.50
0,2177980,64,61,95.31
0,1765162,115,110,95.65
0,1765161,109,105,96.33
0,174495,82,77,93.90
0,2512840,115,112,97.39
0,289410,75,71,94.67
0,1477428,117,114,97.44
0,2100352,94,90,95.74
0,1606743,84,81,96.43
0,798383,78,78,100.00
0,202491,78,72,92.31
0,1922425,68,65,95.59
0,1496392,92,91,98.91
0,1959199,105,101,96.19
0,13308,77,73,94.81
0,2320451,109,105,96.33
0,521936,100,97,97.00
0,480207,92,91,98.91
0,413649,68,66,97.06
0,2596771,75,72,96.00
0,1849023,81,80,98.77
0,1294755,79,76,96.20
0,1659954,98,97,98.98
0,1234666,56,51,91.07
0,1839407,77,76,98.70
0,659365,83,83,100.00
0,1454608,70,70,100.00
0,1015142,95,92,96.84
0,2642623,74,74,100.00
0,1117876,100,100,100.00
0,1597404,34,26,76.47
0,2067198,93,93,100.00
0,2406737,101,97,96.04
0,1880013,55,54,98.18
0,1299843,58,57,98.28
0,1299245,79,75,94.94
0,1597419,49,49,100.00
0,304608,38,33,86.84
0,1724111,19,18,94.74
0,1640429,22,21,95.45
0,388216,25,24,96.00
0,1433337,107,104,97.20
0,2350309,81,76,93.83
0,2101448,49,45,91.84
0,2514703,69,69,100.00
0,15698,79,77,97.47
0,1847254,130,127,97.69
0,1761340,95,93,97.89
0,2394938,85,84,98.82
0,1931452,35,32,91.43
0,981672,76,72,94.74
0,1233065,54,53,98.15
0,2532710,31,29,93.55
0,524176,110,100,90.91
0,2534753,40,35,87.50
0,696102,113,110,97.35
0,1664429,53,50,94.34
0,2005851,65,63,96.92
0,2638499,90,87,96.67
0,97235,96,92,95.83
0,291269,21,15,71.43
0,291309,24,17,70.83
0,291328,31,24,77.42
0,333219,87,84,96.55
0,700327,108,103,95.37
0,859355,111,105,94.59
0,923050,142,140,98.59
0,923051,94,92,97.87
0,959869,54,51,94.44
0,979333,37,35,94.59
0,979335,32,30,93.75
0,979337,37,35,94.59
0,992998,33,29,87.88
0,1019592,61,55,90.16
0,1265614,25,19,76.00
0,1265623,24,17,70.83
0,1265624,24,17,70.83
0,1265626,19,13,68.42
0,1447139,82,75,91.46
0,1511619,31,28,90.32
0,1511625,31,28,90.32
0,1511630,31,28,90.32
0,1511633,31,28,90.32
0,1518695,30,27,90.00
0,1597404,34,26,76.47
0,2080530,82,75,91.46
0,2096301,18,13,72.22
0,2285863,111,109,98.20
0,2422435,66,51,77.27
0,2455590,67,57,85.07
0,2473128,32,27,84.38
0,2676874,35,32,91.43
0,2547813,83,72,86.75
0,2585508,66,57,86.36
0,2086458,69,63,91.30
0,0,54,37,68.52
0,2070125,85,69,81.18
0,1762401,90,81,90.00
0,1723935,72,69,95.83
0,69385,76,68,89.47
0,1765128,81,70,86.42
0,466733,87,79,90.80
0,563290,80,75,93.75
