bin_lo_pct,bin_hi_pct,unpruned_count,pruned_count
0.000000,1.000000,0,0
1.000000,2.000000,0,0
2.000000,3.000000,0,1
3.000000,4.000000,0,2
4.000000,5.000000,0,3
5.000000,6.000000,1,10
6.000000,7.000000,1,13
7.000000,8.000000,2,14
8.000000,9.000000,1,29
9.000000,10.000000,5,22
10.000000,11.000000,9,67
11.000000,12.000000,7,72
12.000000,13.000000,8,92
13.000000,14.000000,12,122
14.000000,15.000000,18,120
15.000000,16.000000,20,148
16.000000,17.000000,29,229
17.000000,18.000000,27,231
18.000000,19.000000,38,286
19.000000,20.000000,27,270
20.000000,21.000000,38,466
21.000000,22.000000,46,434
22.000000,23.000000,46,505
23.000000,24.000000,66,518
24.000000,25.000000,62,534
25.000000,26.000000,87,766
26.000000,27.000000,97,710
27.000000,28.000000,101,774
28.000000,29.000000,130,884
29.000000,30.000000,108,767
30.000000,31.000000,160,1056
31.000000,32.000000,151,908
32.000000,33.000000,180,1114
33.000000,34.000000,222,1028
34.000000,35.000000,222,1114
35.000000,36.000000,238,1109
36.000000,37.000000,260,1238
37.000000,38.000000,284,1076
38.000000,39.000000,326,1171
39.000000,40.000000,289,891
40.000000,41.000000,395,1386
41.000000,42.000000,390,1097
42.000000,43.000000,409,1117
43.000000,44.000000,438,941
44.000000,45.000000,453,1070
45.000000,46.000000,516,1010
46.000000,47.000000,580,896
47.000000,48.000000,515,858
48.000000,49.000000,633,989
49.000000,50.000000,304,204
50.000000,51.000000,1008,1068
51.000000,52.000000,642,724
52.000000,53.000000,758,577
53.000000,54.000000,715,494
54.000000,55.000000,712,434
55.000000,56.000000,838,445
56.000000,57.000000,836,387
57.000000,58.000000,852,290
58.000000,59.000000,946,258
59.000000,60.000000,685,205
60.000000,61.000000,1051,252
61.000000,62.000000,865,184
62.000000,63.000000,941,182
63.000000,64.000000,916,106
64.000000,65.000000,906,104
65.000000,66.000000,996,102
66.000000,67.000000,968,64
67.000000,68.000000,843,39
68.000000,69.000000,859,52
69.000000,70.000000,801,42
70.000000,71.000000,908,41
71.000000,72.000000,787,18
72.000000,73.000000,822,26
73.000000,74.000000,665,12
74.000000,75.000000,526,9
75.000000,76.000000,848,9
76.000000,77.000000,668,14
77.000000,78.000000,548,3
78.000000,79.000000,547,6
79.000000,80.000000,362,1
80.000000,81.000000,505,5
81.000000,82.000000,390,0
82.000000,83.000000,344,2
83.000000,84.000000,249,0
84.000000,85.000000,279,2
85.000000,86.000000,188,1
86.000000,87.000000,191,0
87.000000,88.000000,119,0
88.000000,89.000000,161,0
89.000000,90.000000,82,0
90.000000,91.000000,77,0
91.000000,92.000000,46,0
92.000000,93.000000,47,0
93.000000,94.000000,21,0
94.000000,95.000000,10,0
95.000000,96.000000,11,0
96.000000,97.000000,16,0
97.000000,98.000000,7,0
98.000000,99.000000,0,0
99.000000,100.000000,7,0
