bin_lo_pct,bin_hi_pct,unpruned_count,pruned_count
0.000000,1.000000,0,0
1.000000,2.000000,3,0
2.000000,3.000000,14,3
3.000000,4.000000,31,7
4.000000,5.000000,67,35
5.000000,6.000000,122,63
6.000000,7.000000,163,73
7.000000,8.000000,288,115
8.000000,9.000000,426,171
9.000000,10.000000,569,248
10.000000,11.000000,837,319
11.000000,12.000000,956,392
12.000000,13.000000,1242,468
13.000000,14.000000,1583,672
14.000000,15.000000,1904,735
15.000000,16.000000,2207,877
16.000000,17.000000,2544,1063
17.000000,18.000000,2734,1172
18.000000,19.000000,3017,1408
19.000000,20.000000,2946,1291
20.000000,21.000000,3559,1926
21.000000,22.000000,3233,1860
22.000000,23.000000,3351,2065
23.000000,24.000000,3230,2011
24.000000,25.000000,2978,1812
25.000000,26.000000,3261,2780
26.000000,27.000000,2905,2465
27.000000,28.000000,2608,2452
28.000000,29.000000,2460,2596
29.000000,30.000000,2159,2373
30.000000,31.000000,2131,2803
31.000000,32.000000,1803,2339
32.000000,33.000000,1705,2562
33.000000,34.000000,1452,2256
34.000000,35.000000,1318,2152
35.000000,36.000000,1202,2072
36.000000,37.000000,1051,2066
37.000000,38.000000,925,1831
38.000000,39.000000,821,1805
39.000000,40.000000,728,1364
40.000000,41.000000,730,1825
41.000000,42.000000,529,1374
42.000000,43.000000,520,1364
43.000000,44.000000,454,1153
44.000000,45.000000,373,1140
45.000000,46.000000,343,1116
46.000000,47.000000,298,984
47.000000,48.000000,294,829
48.000000,49.000000,243,839
49.000000,50.000000,119,263
50.000000,51.000000,219,1050
51.000000,52.000000,166,533
52.000000,53.000000,122,528
53.000000,54.000000,114,443
54.000000,55.000000,103,400
55.000000,56.000000,90,367
56.000000,57.000000,86,317
57.000000,58.000000,67,286
58.000000,59.000000,48,244
59.000000,60.000000,44,172
60.000000,61.000000,53,273
61.000000,62.000000,44,198
62.000000,63.000000,35,166
63.000000,64.000000,21,116
64.000000,65.000000,28,128
65.000000,66.000000,31,114
66.000000,67.000000,16,119
67.000000,68.000000,19,37
68.000000,69.000000,12,99
69.000000,70.000000,7,53
70.000000,71.000000,4,88
71.000000,72.000000,5,56
72.000000,73.000000,7,52
73.000000,74.000000,5,49
74.000000,75.000000,2,13
75.000000,76.000000,5,64
76.000000,77.000000,5,33
77.000000,78.000000,3,23
78.000000,79.000000,0,24
79.000000,80.000000,0,4
80.000000,81.000000,0,21
81.000000,82.000000,0,16
82.000000,83.000000,1,16
83.000000,84.000000,0,22
84.000000,85.000000,0,13
85.000000,86.000000,0,15
86.000000,87.000000,1,8
87.000000,88.000000,0,8
88.000000,89.000000,1,5
89.000000,90.000000,0,2
90.000000,91.000000,0,2
91.000000,92.000000,0,9
92.000000,93.000000,0,5
93.000000,94.000000,0,5
94.000000,95.000000,0,2
95.000000,96.000000,0,1
96.000000,97.000000,0,1
97.000000,98.000000,0,2
98.000000,99.000000,0,0
99.000000,100.000000,0,9
