bin_lo_pct,bin_hi_pct,unpruned_count,pruned_count
0.000000,1.000000,0,0
1.000000,2.000000,0,0
2.000000,3.000000,0,2
3.000000,4.000000,0,12
4.000000,5.000000,3,26
5.000000,6.000000,5,37
6.000000,7.000000,11,50
7.000000,8.000000,6,72
8.000000,9.000000,18,91
9.000000,10.000000,16,96
10.000000,11.000000,26,159
11.000000,12.000000,28,176
12.000000,13.000000,31,187
13.000000,14.000000,24,215
14.000000,15.000000,36,248
15.000000,16.000000,51,342
16.000000,17.000000,61,423
17.000000,18.000000,48,386
18.000000,19.000000,70,495
19.000000,20.000000,49,429
20.000000,21.000000,94,710
21.000000,22.000000,100,691
22.000000,23.000000,90,772
23.000000,24.000000,102,838
24.000000,25.000000,97,664
25.000000,26.000000,165,1262
26.000000,27.000000,146,1225
27.000000,28.000000,153,1173
28.000000,29.000000,178,1367
29.000000,30.000000,192,1231
30.000000,31.000000,270,1653
31.000000,32.000000,237,1580
32.000000,33.000000,306,1750
33.000000,34.000000,286,1786
34.000000,35.000000,325,1815
35.000000,36.000000,313,2059
36.000000,37.000000,386,2090
37.000000,38.000000,379,2121
38.000000,39.000000,459,2188
39.000000,40.000000,394,1701
40.000000,41.000000,577,2620
41.000000,42.000000,516,2001
42.000000,43.000000,648,2187
43.000000,44.000000,623,1979
44.000000,45.000000,692,2062
45.000000,46.000000,822,2068
46.000000,47.000000,823,2090
47.000000,48.000000,840,1829
48.000000,49.000000,1012,2187
49.000000,50.000000,441,455
50.000000,51.000000,1485,2553
51.000000,52.000000,1033,1631
52.000000,53.000000,1208,1491
53.000000,54.000000,1159,1226
54.000000,55.000000,1224,1185
55.000000,56.000000,1326,1192
56.000000,57.000000,1464,1073
57.000000,58.000000,1408,880
58.000000,59.000000,1568,948
59.000000,60.000000,1258,508
60.000000,61.000000,1982,916
61.000000,62.000000,1615,639
62.000000,63.000000,1749,635
63.000000,64.000000,1769,433
64.000000,65.000000,1741,406
65.000000,66.000000,2006,418
66.000000,67.000000,1980,403
67.000000,68.000000,1650,182
68.000000,69.000000,1956,267
69.000000,70.000000,1678,128
70.000000,71.000000,2115,227
71.000000,72.000000,1692,114
72.000000,73.000000,2048,201
73.000000,74.000000,1658,86
74.000000,75.000000,1257,54
75.000000,76.000000,2129,115
76.000000,77.000000,1701,50
77.000000,78.000000,1443,48
78.000000,79.000000,1366,36
79.000000,80.000000,1092,19
80.000000,81.000000,1585,37
81.000000,82.000000,1123,16
82.000000,83.000000,1135,16
83.000000,84.000000,930,22
84.000000,85.000000,757,13
85.000000,86.000000,836,7
86.000000,87.000000,669,2
87.000000,88.000000,534,6
88.000000,89.000000,583,4
89.000000,90.000000,284,1
90.000000,91.000000,393,0
91.000000,92.000000,222,1
92.000000,93.000000,190,2
93.000000,94.000000,192,0
94.000000,95.000000,157,9
95.000000,96.000000,85,0
96.000000,97.000000,91,0
97.000000,98.000000,17,0
98.000000,99.000000,1,0
99.000000,100.000000,107,0
