bin_lo_pct,bin_hi_pct,unpruned_count,pruned_count
0.000000,1.000000,0,0
1.000000,2.000000,0,0
2.000000,3.000000,7,0
3.000000,4.000000,12,2
4.000000,5.000000,47,25
5.000000,6.000000,65,36
6.000000,7.000000,159,69
7.000000,8.000000,256,100
8.000000,9.000000,451,192
9.000000,10.000000,678,263
10.000000,11.000000,966,405
11.000000,12.000000,1188,535
12.000000,13.000000,1493,756
13.000000,14.000000,1810,859
14.000000,15.000000,2014,983
15.000000,16.000000,2153,1221
16.000000,17.000000,2301,1312
17.000000,18.000000,2269,1420
18.000000,19.000000,2230,1494
19.000000,20.000000,2072,1397
20.000000,21.000000,2086,1845
21.000000,22.000000,1795,1630
22.000000,23.000000,1625,1667
23.000000,24.000000,1345,1591
24.000000,25.000000,1094,1245
25.000000,26.000000,1169,1695
26.000000,27.000000,895,1402
27.000000,28.000000,738,1209
28.000000,29.000000,583,1200
29.000000,30.000000,501,970
30.000000,31.000000,408,1105
31.000000,32.000000,334,836
32.000000,33.000000,259,894
33.000000,34.000000,282,684
34.000000,35.000000,191,586
35.000000,36.000000,177,563
36.000000,37.000000,122,533
37.000000,38.000000,108,433
38.000000,39.000000,97,389
39.000000,40.000000,100,259
40.000000,41.000000,65,350
41.000000,42.000000,58,264
42.000000,43.000000,38,243
43.000000,44.000000,31,200
44.000000,45.000000,39,189
45.000000,46.000000,20,146
46.000000,47.000000,14,145
47.000000,48.000000,15,132
48.000000,49.000000,16,159
49.000000,50.000000,10,32
50.000000,51.000000,17,118
51.000000,52.000000,19,81
52.000000,53.000000,18,59
53.000000,54.000000,9,71
54.000000,55.000000,14,44
55.000000,56.000000,7,42
56.000000,57.000000,4,42
57.000000,58.000000,7,48
58.000000,59.000000,3,30
59.000000,60.000000,3,24
60.000000,61.000000,7,48
61.000000,62.000000,3,25
62.000000,63.000000,3,21
63.000000,64.000000,3,12
64.000000,65.000000,1,15
65.000000,66.000000,0,19
66.000000,67.000000,0,17
67.000000,68.000000,1,12
68.000000,69.000000,1,12
69.000000,70.000000,1,12
70.000000,71.000000,8,13
71.000000,72.000000,0,5
72.000000,73.000000,1,6
73.000000,74.000000,0,17
74.000000,75.000000,2,1
75.000000,76.000000,0,6
76.000000,77.000000,1,8
77.000000,78.000000,0,9
78.000000,79.000000,0,2
79.000000,80.000000,0,2
80.000000,81.000000,0,2
81.000000,82.000000,0,1
82.000000,83.000000,1,4
83.000000,84.000000,0,1
84.000000,85.000000,0,4
85.000000,86.000000,0,8
86.000000,87.000000,0,1
87.000000,88.000000,0,2
88.000000,89.000000,0,4
89.000000,90.000000,0,0
90.000000,91.000000,0,0
91.000000,92.000000,0,2
92.000000,93.000000,0,3
93.000000,94.000000,0,0
94.000000,95.000000,0,1
95.000000,96.000000,0,1
96.000000,97.000000,0,0
97.000000,98.000000,0,0
98.000000,99.000000,0,0
99.000000,100.000000,0,0
