dataset,ef,worst_pct,share_of_total_loss,queries,total_missed_neighbours,queries_with_any_miss,n_queries
msmarco_full,400,1,35.64705882352941,70,1700,736,6980
msmarco_full,400,5,77.23529411764706,349,1700,736,6980
msmarco_full,400,10,97.76470588235294,698,1700,736,6980
msmarco_full,1600,1,37.34104046242775,70,865,507,6980
msmarco_full,1600,5,81.73410404624278,349,865,507,6980
msmarco_full,1600,10,100.0,698,865,507,6980
msmarco_full,3200,1,36.661211129296234,70,611,413,6980
msmarco_full,3200,5,89.52536824877251,349,611,413,6980
msmarco_full,3200,10,100.0,698,611,413,6980
nq_splade,400,1,34.72485768500949,35,527,309,3452
nq_splade,400,5,74.19354838709677,173,527,309,3452
nq_splade,400,10,100.0,345,527,309,3452
nq_splade,1600,1,33.80281690140845,35,213,176,3452
nq_splade,1600,5,98.59154929577464,173,213,176,3452
nq_splade,1600,10,100.0,345,213,176,3452
nq_splade,3200,1,39.436619718309856,35,142,121,3452
nq_splade,3200,5,100.0,173,142,121,3452
nq_splade,3200,10,100.0,345,142,121,3452
