dataset,ef,routed_fraction,recall_if_routed,baseline_recall
msmarco_full,400,0.01,0.9842406876790831,0.9756446991404012
msmarco_full,400,0.05,0.9944555873925501,0.9756446991404012
msmarco_full,400,0.1,0.9994555873925501,0.9756446991404012
msmarco_full,1600,0.01,0.992191977077364,0.9876074498567335
msmarco_full,1600,0.05,0.9977363896848137,0.9876074498567335
msmarco_full,1600,0.1,1.0,0.9876074498567335
msmarco_full,3200,0.01,0.9944269340974212,0.9912464183381089
msmarco_full,3200,0.05,0.999083094555874,0.9912464183381089
msmarco_full,3200,0.1,1.0,0.9912464183381089
nq_splade,400,0.01,0.9899478563151796,0.9847334878331402
nq_splade,400,0.05,0.9960312862108922,0.9847334878331402
nq_splade,400,0.1,1.0,0.9847334878331402
nq_splade,1600,0.01,0.9958864426419467,0.99382966396292
nq_splade,1600,0.05,0.9998841251448436,0.99382966396292
nq_splade,1600,0.1,1.0,0.99382966396292
nq_splade,3200,0.01,0.9974797219003476,0.9958864426419467
nq_splade,3200,0.05,1.0,0.9958864426419467
nq_splade,3200,0.1,1.0,0.9958864426419467
