Model,Recall,Indexing Time,Single Query Time (microseconds),Searching Time (Seconds),QPS,RR@10,params
SparseHNSW,0.7967765043,450.53,4.074069,0.0284370000000000,245454.87,0.8662,"M=16 efC=200 ef=10 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.7967765043,450.53,4.087822,0.0285330000000000,244629.03,0.8662,"M=16 efC=200 ef=20 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.7967765043,450.53,4.095845,0.0285890000000000,244149.85,0.8662,"M=16 efC=200 ef=30 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.8509742120,450.53,5.527794,0.0385840000000000,180904.00,0.9111,"M=16 efC=200 ef=50 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.8824498567,450.53,7.180516,0.0501200000000000,139265.76,0.9374,"M=16 efC=200 ef=75 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.9010744986,450.53,8.827221,0.0616140000000000,113285.94,0.9529,"M=16 efC=200 ef=100 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.9214756447,450.53,11.963324,0.0835040000000000,83588.81,0.9683,"M=16 efC=200 ef=150 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.9337535817,450.53,15.068338,0.1051770000000000,66364.32,0.9777,"M=16 efC=200 ef=200 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.9455873926,450.53,21.120057,0.1474180000000000,47348.36,0.9851,"M=16 efC=200 ef=300 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.9577220630,450.53,33.095415,0.2310060000000000,30215.67,0.9926,"M=16 efC=200 ef=500 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.9646848138,450.53,48.077507,0.3355810000000000,20799.75,0.9960,"M=16 efC=200 ef=750 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.9678080229,450.53,63.467192,0.4430010000000000,15756.17,0.9973,"M=16 efC=200 ef=1000 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.9722922636,450.53,98.812321,0.6897100000000000,10120.20,0.9980,"M=16 efC=200 ef=1500 alpha=0.8 beta=3 threads=48"
SparseHNSW,0.9748567335,450.53,130.998567,0.9143700000000000,7633.67,0.9986,"M=16 efC=200 ef=2000 alpha=0.8 beta=3 threads=48"
