Model,Recall,Indexing Time,Single Query Time (microseconds),Searching Time (Seconds),QPS,RR@10,params
SINDI,0.9380802292,98.20,769.703725,5.3725319999999996,1299.20,1.0000,"doc_prune=0 query_prune=0.5 n_cand=10 threads=48"
SINDI,0.9977077364,98.20,769.549570,5.3714560000000002,1299.46,1.0000,"doc_prune=0 query_prune=0.5 n_cand=20 threads=48"
SINDI,0.9998710602,98.20,771.328367,5.3838720000000002,1296.46,1.0000,"doc_prune=0 query_prune=0.5 n_cand=50 threads=48"
SINDI,0.9999570201,98.20,776.214613,5.4179779999999997,1288.30,1.0000,"doc_prune=0 query_prune=0.5 n_cand=100 threads=48"
SINDI,0.9999140401,98.20,781.775358,5.4567920000000001,1279.14,1.0000,"doc_prune=0 query_prune=0.5 n_cand=200 threads=48"
SINDI,0.9589971347,98.20,929.143696,6.4854229999999999,1076.26,1.0000,"doc_prune=0 query_prune=0.4 n_cand=10 threads=48"
SINDI,0.9995128940,98.20,929.136963,6.4853759999999996,1076.27,1.0000,"doc_prune=0 query_prune=0.4 n_cand=20 threads=48"
SINDI,0.9999426934,98.20,932.166762,6.5065239999999998,1072.77,1.0000,"doc_prune=0 query_prune=0.4 n_cand=50 threads=48"
SINDI,0.9999140401,98.20,934.551146,6.5231669999999999,1070.03,1.0000,"doc_prune=0 query_prune=0.4 n_cand=100 threads=48"
SINDI,0.9999283668,98.20,940.348424,6.5636320000000001,1063.44,1.0000,"doc_prune=0 query_prune=0.4 n_cand=200 threads=48"
SINDI,0.9755444126,98.20,1088.693266,7.5990789999999997,918.53,1.0000,"doc_prune=0 query_prune=0.3 n_cand=10 threads=48"
SINDI,0.9998710602,98.20,1091.786676,7.6206709999999998,915.93,1.0000,"doc_prune=0 query_prune=0.3 n_cand=20 threads=48"
SINDI,0.9999283668,98.20,1095.327794,7.6453879999999996,912.97,1.0000,"doc_prune=0 query_prune=0.3 n_cand=50 threads=48"
SINDI,0.9999140401,98.20,1097.325215,7.6593299999999997,911.31,1.0000,"doc_prune=0 query_prune=0.3 n_cand=100 threads=48"
SINDI,0.9999426934,98.20,1103.416046,7.7018440000000004,906.28,1.0000,"doc_prune=0 query_prune=0.3 n_cand=200 threads=48"
SINDI,0.9872349570,98.20,1251.286963,8.7339830000000003,799.18,1.0000,"doc_prune=0 query_prune=0.2 n_cand=10 threads=48"
SINDI,0.9999426934,98.20,1250.281375,8.7269640000000006,799.82,1.0000,"doc_prune=0 query_prune=0.2 n_cand=20 threads=48"
SINDI,0.9999426934,98.20,1251.577221,8.7360089999999992,798.99,1.0000,"doc_prune=0 query_prune=0.2 n_cand=50 threads=48"
SINDI,0.9999283668,98.20,1252.881948,8.7451159999999994,798.16,1.0000,"doc_prune=0 query_prune=0.2 n_cand=100 threads=48"
SINDI,0.9999570201,98.20,1255.391691,8.7626340000000003,796.56,1.0000,"doc_prune=0 query_prune=0.2 n_cand=200 threads=48"
SINDI,0.9952292264,98.20,1168.261748,8.1544670000000004,855.97,1.0000,"doc_prune=0 query_prune=0.1 n_cand=10 threads=48"
SINDI,0.9999283668,98.20,1169.168338,8.1607950000000002,855.31,1.0000,"doc_prune=0 query_prune=0.1 n_cand=20 threads=48"
SINDI,0.9998997135,98.20,1168.312178,8.1548189999999998,855.94,1.0000,"doc_prune=0 query_prune=0.1 n_cand=50 threads=48"
SINDI,0.9999426934,98.20,1170.171920,8.1677999999999997,854.58,1.0000,"doc_prune=0 query_prune=0.1 n_cand=100 threads=48"
SINDI,0.9999283668,98.20,1174.116476,8.1953329999999998,851.70,1.0000,"doc_prune=0 query_prune=0.1 n_cand=200 threads=48"
SINDI,0.9999140401,98.20,1304.718625,9.1069359999999993,766.45,1.0000,"doc_prune=0 query_prune=0 n_cand=10 threads=48"
SINDI,0.9999713467,98.20,1299.206160,9.0684590000000007,769.70,1.0000,"doc_prune=0 query_prune=0 n_cand=20 threads=48"
SINDI,0.9999283668,98.20,1297.299284,9.0551490000000001,770.83,1.0000,"doc_prune=0 query_prune=0 n_cand=50 threads=48"
SINDI,0.9999283668,98.20,1300.746132,9.0792079999999995,768.79,1.0000,"doc_prune=0 query_prune=0 n_cand=100 threads=48"
SINDI,0.9999570201,98.20,1307.652722,9.1274160000000002,764.73,1.0000,"doc_prune=0 query_prune=0 n_cand=200 threads=48"
