Model,Recall,Indexing Time,Single Query Time (microseconds),Searching Time (Seconds),QPS,RR@10,params
SINDI,0.9380802292,97.79,771.535960,5.3853210000000002,1296.12,1.0000,"doc_prune=0 query_prune=0.5 n_cand=10 threads=48"
SINDI,0.9977077364,97.79,772.191117,5.3898940000000000,1295.02,1.0000,"doc_prune=0 query_prune=0.5 n_cand=20 threads=48"
SINDI,0.9998710602,97.79,774.539828,5.4062880000000000,1291.09,1.0000,"doc_prune=0 query_prune=0.5 n_cand=50 threads=48"
SINDI,0.9589971347,97.79,929.846132,6.4903259999999996,1075.45,1.0000,"doc_prune=0 query_prune=0.4 n_cand=10 threads=48"
SINDI,0.9995128940,97.79,931.126934,6.4992660000000004,1073.97,1.0000,"doc_prune=0 query_prune=0.4 n_cand=20 threads=48"
SINDI,0.9999426934,97.79,931.152292,6.4994430000000003,1073.94,1.0000,"doc_prune=0 query_prune=0.4 n_cand=50 threads=48"
SINDI,0.9755444126,97.79,1082.692120,7.5571910000000004,923.62,1.0000,"doc_prune=0 query_prune=0.3 n_cand=10 threads=48"
SINDI,0.9998710602,97.79,1085.174355,7.5745170000000002,921.51,1.0000,"doc_prune=0 query_prune=0.3 n_cand=20 threads=48"
SINDI,0.9999283668,97.79,1086.105014,7.5810129999999996,920.72,1.0000,"doc_prune=0 query_prune=0.3 n_cand=50 threads=48"
SINDI,0.9872349570,97.79,1242.172493,8.6703639999999993,805.04,1.0000,"doc_prune=0 query_prune=0.2 n_cand=10 threads=48"
SINDI,0.9999426934,97.79,1244.939542,8.6896780000000007,803.25,1.0000,"doc_prune=0 query_prune=0.2 n_cand=20 threads=48"
SINDI,0.9999426934,97.79,1248.477077,8.7143700000000006,800.98,1.0000,"doc_prune=0 query_prune=0.2 n_cand=50 threads=48"
SINDI,0.9952292264,97.79,1175.943696,8.2080870000000008,850.38,1.0000,"doc_prune=0 query_prune=0.1 n_cand=10 threads=48"
SINDI,0.9999283668,97.79,1177.562894,8.2193889999999996,849.21,1.0000,"doc_prune=0 query_prune=0.1 n_cand=20 threads=48"
SINDI,0.9998997135,97.79,1178.887822,8.2286370000000009,848.26,1.0000,"doc_prune=0 query_prune=0.1 n_cand=50 threads=48"
SINDI,0.9999140401,97.79,1304.038968,9.1021920000000005,766.85,1.0000,"doc_prune=0 query_prune=0 n_cand=10 threads=48"
SINDI,0.9999713467,97.79,1306.054585,9.1162609999999997,765.66,1.0000,"doc_prune=0 query_prune=0 n_cand=20 threads=48"
SINDI,0.9999283668,97.79,1306.342120,9.1182680000000005,765.50,1.0000,"doc_prune=0 query_prune=0 n_cand=50 threads=48"
SINDI,0.9213323782,73.50,463.186533,3.2330420000000002,2158.96,1.0000,"doc_prune=0.1 query_prune=0.5 n_cand=10 threads=48"
SINDI,0.9956590258,73.50,463.426648,3.2347180000000000,2157.84,1.0000,"doc_prune=0.1 query_prune=0.5 n_cand=20 threads=48"
SINDI,0.9998424069,73.50,464.737106,3.2438650000000000,2151.75,1.0000,"doc_prune=0.1 query_prune=0.5 n_cand=50 threads=48"
SINDI,0.9352865330,73.50,548.545272,3.8288460000000000,1823.00,1.0000,"doc_prune=0.1 query_prune=0.4 n_cand=10 threads=48"
SINDI,0.9979083095,73.50,549.614327,3.8363079999999998,1819.46,1.0000,"doc_prune=0.1 query_prune=0.4 n_cand=20 threads=48"
SINDI,0.9999570201,73.50,549.873639,3.8381180000000001,1818.60,1.0000,"doc_prune=0.1 query_prune=0.4 n_cand=50 threads=48"
SINDI,0.9437106017,73.50,632.888395,4.4175610000000001,1580.06,1.0000,"doc_prune=0.1 query_prune=0.3 n_cand=10 threads=48"
SINDI,0.9985530086,73.50,634.204011,4.4267440000000002,1576.78,1.0000,"doc_prune=0.1 query_prune=0.3 n_cand=20 threads=48"
SINDI,0.9998710602,73.50,636.698424,4.4441550000000003,1570.60,1.0000,"doc_prune=0.1 query_prune=0.3 n_cand=50 threads=48"
SINDI,0.9469770774,73.50,719.976648,5.0254370000000002,1388.93,1.0000,"doc_prune=0.1 query_prune=0.2 n_cand=10 threads=48"
SINDI,0.9987106017,73.50,721.637536,5.0370299999999997,1385.74,1.0000,"doc_prune=0.1 query_prune=0.2 n_cand=20 threads=48"
SINDI,0.9999283668,73.50,723.453295,5.0497040000000002,1382.26,1.0000,"doc_prune=0.1 query_prune=0.2 n_cand=50 threads=48"
SINDI,0.9484527221,73.50,729.653438,5.0929810000000000,1370.51,1.0000,"doc_prune=0.1 query_prune=0.1 n_cand=10 threads=48"
SINDI,0.9988252149,73.50,730.534957,5.0991340000000003,1368.86,1.0000,"doc_prune=0.1 query_prune=0.1 n_cand=20 threads=48"
SINDI,0.9999283668,73.50,733.166619,5.1175030000000001,1363.95,1.0000,"doc_prune=0.1 query_prune=0.1 n_cand=50 threads=48"
SINDI,0.9485816619,73.50,799.242693,5.5787139999999997,1251.18,1.0000,"doc_prune=0.1 query_prune=0 n_cand=10 threads=48"
SINDI,0.9988681948,73.50,801.873782,5.5970789999999999,1247.08,1.0000,"doc_prune=0.1 query_prune=0 n_cand=20 threads=48"
SINDI,0.9999140401,73.50,803.429799,5.6079400000000001,1244.66,1.0000,"doc_prune=0.1 query_prune=0 n_cand=50 threads=48"
SINDI,0.8834957020,65.90,338.190544,2.3605700000000001,2956.91,1.0000,"doc_prune=0.2 query_prune=0.5 n_cand=10 threads=48"
SINDI,0.9853724928,65.90,339.843123,2.3721049999999999,2942.53,1.0000,"doc_prune=0.2 query_prune=0.5 n_cand=20 threads=48"
SINDI,0.9987535817,65.90,340.962034,2.3799150000000000,2932.88,1.0000,"doc_prune=0.2 query_prune=0.5 n_cand=50 threads=48"
SINDI,0.8904584527,65.90,398.487679,2.7814440000000000,2509.49,1.0000,"doc_prune=0.2 query_prune=0.4 n_cand=10 threads=48"
SINDI,0.9881661891,65.90,398.552722,2.7818980000000000,2509.08,1.0000,"doc_prune=0.2 query_prune=0.4 n_cand=20 threads=48"
SINDI,0.9989684814,65.90,400.185530,2.7932950000000001,2498.84,1.0000,"doc_prune=0.2 query_prune=0.4 n_cand=50 threads=48"
SINDI,0.8940830946,65.90,457.054441,3.1902400000000002,2187.92,1.0000,"doc_prune=0.2 query_prune=0.3 n_cand=10 threads=48"
SINDI,0.9885959885,65.90,457.537966,3.1936149999999999,2185.61,1.0000,"doc_prune=0.2 query_prune=0.3 n_cand=20 threads=48"
SINDI,0.9990830946,65.90,459.169914,3.2050060000000000,2177.84,1.0000,"doc_prune=0.2 query_prune=0.3 n_cand=50 threads=48"
SINDI,0.8956303725,65.90,515.569771,3.5986769999999999,1939.60,1.0000,"doc_prune=0.2 query_prune=0.2 n_cand=10 threads=48"
SINDI,0.9889111748,65.90,516.132808,3.6026069999999999,1937.49,1.0000,"doc_prune=0.2 query_prune=0.2 n_cand=20 threads=48"
SINDI,0.9990974212,65.90,517.732808,3.6137750000000000,1931.50,1.0000,"doc_prune=0.2 query_prune=0.2 n_cand=50 threads=48"
SINDI,0.8962177650,65.90,571.748711,3.9908060000000001,1749.02,1.0000,"doc_prune=0.2 query_prune=0.1 n_cand=10 threads=48"
SINDI,0.9888681948,65.90,573.839685,4.0054010000000000,1742.65,1.0000,"doc_prune=0.2 query_prune=0.1 n_cand=20 threads=48"
SINDI,0.9990974212,65.90,574.762751,4.0118440000000000,1739.85,1.0000,"doc_prune=0.2 query_prune=0.1 n_cand=50 threads=48"
SINDI,0.8963610315,65.90,633.888539,4.4245419999999998,1577.56,1.0000,"doc_prune=0.2 query_prune=0 n_cand=10 threads=48"
SINDI,0.9888395415,65.90,633.850430,4.4242759999999999,1577.66,1.0000,"doc_prune=0.2 query_prune=0 n_cand=20 threads=48"
SINDI,0.9990830946,65.90,636.885960,4.4454640000000003,1570.14,1.0000,"doc_prune=0.2 query_prune=0 n_cand=50 threads=48"
SINDI,0.8281518625,61.70,251.698854,1.7568580000000000,3973.00,0.9999,"doc_prune=0.3 query_prune=0.5 n_cand=10 threads=48"
SINDI,0.9589111748,61.70,253.822493,1.7716810000000001,3939.76,1.0000,"doc_prune=0.3 query_prune=0.5 n_cand=20 threads=48"
SINDI,0.9929512894,61.70,255.162178,1.7810319999999999,3919.08,1.0000,"doc_prune=0.3 query_prune=0.5 n_cand=50 threads=48"
SINDI,0.8322349570,61.70,296.031232,2.0662980000000002,3378.02,0.9999,"doc_prune=0.3 query_prune=0.4 n_cand=10 threads=48"
SINDI,0.9604441261,61.70,295.884097,2.0652710000000001,3379.70,1.0000,"doc_prune=0.3 query_prune=0.4 n_cand=20 threads=48"
SINDI,0.9933524355,61.70,297.629513,2.0774539999999999,3359.88,1.0000,"doc_prune=0.3 query_prune=0.4 n_cand=50 threads=48"
SINDI,0.8342550143,61.70,337.513324,2.3558430000000001,2962.85,1.0000,"doc_prune=0.3 query_prune=0.3 n_cand=10 threads=48"
SINDI,0.9615329513,61.70,338.338682,2.3616039999999998,2955.62,1.0000,"doc_prune=0.3 query_prune=0.3 n_cand=20 threads=48"
SINDI,0.9935386819,61.70,339.699140,2.3711000000000002,2943.78,1.0000,"doc_prune=0.3 query_prune=0.3 n_cand=50 threads=48"
SINDI,0.8346131805,61.70,379.922779,2.6518609999999998,2632.11,1.0000,"doc_prune=0.3 query_prune=0.2 n_cand=10 threads=48"
SINDI,0.9618194842,61.70,384.621347,2.6846570000000001,2599.96,1.0000,"doc_prune=0.3 query_prune=0.2 n_cand=20 threads=48"
SINDI,0.9936103152,61.70,382.460029,2.6695709999999999,2614.65,1.0000,"doc_prune=0.3 query_prune=0.2 n_cand=50 threads=48"
SINDI,0.8348567335,61.70,420.075358,2.9321259999999998,2380.53,1.0000,"doc_prune=0.3 query_prune=0.1 n_cand=10 threads=48"
SINDI,0.9620487106,61.70,420.654011,2.9361649999999999,2377.25,1.0000,"doc_prune=0.3 query_prune=0.1 n_cand=20 threads=48"
SINDI,0.9935959885,61.70,422.368911,2.9481350000000002,2367.60,1.0000,"doc_prune=0.3 query_prune=0.1 n_cand=50 threads=48"
SINDI,0.8348567335,61.70,465.544556,3.2495010000000000,2148.02,1.0000,"doc_prune=0.3 query_prune=0 n_cand=10 threads=48"
SINDI,0.9620630372,61.70,465.382951,3.2483730000000000,2148.77,1.0000,"doc_prune=0.3 query_prune=0 n_cand=20 threads=48"
SINDI,0.9935673352,61.70,466.024069,3.2528480000000002,2145.81,1.0000,"doc_prune=0.3 query_prune=0 n_cand=50 threads=48"
SINDI,0.7626217765,57.86,190.680229,1.3309480000000000,5244.38,0.9996,"doc_prune=0.4 query_prune=0.5 n_cand=10 threads=48"
SINDI,0.9113467049,57.86,190.858883,1.3321950000000000,5239.47,1.0000,"doc_prune=0.4 query_prune=0.5 n_cand=20 threads=48"
SINDI,0.9764756447,57.86,191.756734,1.3384620000000000,5214.94,1.0000,"doc_prune=0.4 query_prune=0.5 n_cand=50 threads=48"
SINDI,0.7647994269,57.86,220.800860,1.5411900000000001,4528.97,0.9996,"doc_prune=0.4 query_prune=0.4 n_cand=10 threads=48"
SINDI,0.9131232092,57.86,221.458739,1.5457820000000000,4515.51,1.0000,"doc_prune=0.4 query_prune=0.4 n_cand=20 threads=48"
SINDI,0.9771776504,57.86,222.599284,1.5537430000000001,4492.38,1.0000,"doc_prune=0.4 query_prune=0.4 n_cand=50 threads=48"
SINDI,0.7658022923,57.86,251.641977,1.7564610000000001,3973.90,0.9997,"doc_prune=0.4 query_prune=0.3 n_cand=10 threads=48"
SINDI,0.9136246418,57.86,251.857020,1.7579620000000000,3970.51,1.0000,"doc_prune=0.4 query_prune=0.3 n_cand=20 threads=48"
SINDI,0.9774641834,57.86,253.254011,1.7677130000000001,3948.60,1.0000,"doc_prune=0.4 query_prune=0.3 n_cand=50 threads=48"
SINDI,0.7658595989,57.86,281.942550,1.9679590000000000,3546.82,0.9997,"doc_prune=0.4 query_prune=0.2 n_cand=10 threads=48"
