alpha,beta,dataset_size,threads,pruning_time_sec,indexing_time_sec,searching_time_sec,recall
0.5,1,8841823,48,242.133304,858.344048,0.320177,63.3539
0.5,2,8841823,48,243.019967,856.749329,0.338149,77.3238
0.5,3,8841823,48,242.660281,856.121625,0.335766,81.9499
0.6,1,8841823,48,251.190339,994.815247,0.363027,70.7579
0.6,2,8841823,48,251.722547,998.070732,0.379311,83.8610
0.6,3,8841823,48,251.795022,1001.415518,0.378163,87.0989
0.7,1,8841823,48,263.784251,1145.561944,0.402640,77.7865
0.7,2,8841823,48,264.040570,1154.876956,0.416683,88.7650
0.7,3,8841823,48,263.760703,1159.293335,0.426192,90.6519
0.8,1,8841823,48,280.928262,1383.236140,0.473857,83.4771
0.8,2,8841823,48,281.226465,1362.966419,0.466653,91.3610
0.8,3,8841823,48,279.985872,1369.485237,0.475710,92.1519
0.9,1,8841823,48,306.345797,1710.241110,0.518916,88.2622
0.9,2,8841823,48,306.637548,1697.996515,0.522985,92.5000
0.9,3,8841823,48,306.689043,1700.855870,0.529950,92.5673
1,1,8841823,48,0.000000,2238.028234,0.617698,92.0387
